section_id,kind,identifiable,detected,status
1zPhldjbJnU_s1196,FROZEN,1,0,UNIDENTIFIABLE
1zPhldjbJnU_s3408,FROZEN,1,0,UNIDENTIFIABLE
1zPhldjbJnU_s5620,FROZEN,1,0,UNIDENTIFIABLE
3fT6aYz2N9w_s1339,FROZEN,1,0,UNIDENTIFIABLE
3fT6aYz2N9w_s5086,FROZEN,1,0,UNIDENTIFIABLE
50pp-OqYVok_s2750,FROZEN,1,0,UNIDENTIFIABLE
50pp-OqYVok_s5410,FROZEN,1,0,UNIDENTIFIABLE
7Ci3zQ5Vm4M_s2312,FROZEN,1,0,UNIDENTIFIABLE
UPco-jzOoEg_s2796,FROZEN,1,0,UNIDENTIFIABLE
acb-8Oh7-GrvKvE_s2630,FROZEN,1,0,UNIDENTIFIABLE
acb-8Oh7-GrvKvE_s6440,FROZEN,1,0,UNIDENTIFIABLE
eurocup-Y6POC6V1Y5E_s1221,FROZEN,1,0,UNIDENTIFIABLE
eurocup-Y6POC6V1Y5E_s3483,FROZEN,1,0,UNIDENTIFIABLE
eurocup-Y6POC6V1Y5E_s5745,FROZEN,1,0,UNIDENTIFIABLE
euroleague-AIPW_g_VZN0_s1153,FROZEN,1,0,UNIDENTIFIABLE
euroleague-AIPW_g_VZN0_s3279,FROZEN,1,0,UNIDENTIFIABLE
euroleague-AIPW_g_VZN0_s5405,FROZEN,1,0,UNIDENTIFIABLE
fiba-1DKl1QOo_b8_s1289,FROZEN,1,0,UNIDENTIFIABLE
fiba-1DKl1QOo_b8_s4886,FROZEN,1,0,UNIDENTIFIABLE
fiba-UG_eQNRDHiI_s1385,FROZEN,1,0,UNIDENTIFIABLE
fiba-UG_eQNRDHiI_s3975,FROZEN,1,0,UNIDENTIFIABLE
fiba-UG_eQNRDHiI_s90,FROZEN,1,0,UNIDENTIFIABLE
fiba-jFUMvm_epUE_s6740,FROZEN,1,0,UNIDENTIFIABLE
lnb-1CBY-LXG8VA_s6525,FROZEN,1,0,UNIDENTIFIABLE
lnb-ouDVA0vM20g_s1379,FROZEN,1,0,UNIDENTIFIABLE
nbl-kRQtUZmPm0E_s363,FROZEN,1,0,UNIDENTIFIABLE
nbl-kRQtUZmPm0E_s90,FROZEN,1,0,UNIDENTIFIABLE
ncaaw-lFZWLVzvCEs_s2232,FROZEN,1,0,UNIDENTIFIABLE
ncaaw-lFZWLVzvCEs_s4374,FROZEN,1,0,UNIDENTIFIABLE
ncaaw-lFZWLVzvCEs_s90,FROZEN,1,0,UNIDENTIFIABLE
1zPhldjbJnU_s1196,COAST,0,0,UNIDENTIFIABLE
1zPhldjbJnU_s3408,COAST,0,0,UNIDENTIFIABLE
1zPhldjbJnU_s5620,COAST,1,0,UNIDENTIFIABLE
3fT6aYz2N9w_s1339,COAST,1,0,UNIDENTIFIABLE
3fT6aYz2N9w_s5086,COAST,1,0,UNIDENTIFIABLE
50pp-OqYVok_s2750,COAST,1,0,UNIDENTIFIABLE
50pp-OqYVok_s5410,COAST,1,0,UNIDENTIFIABLE
7Ci3zQ5Vm4M_s2312,COAST,1,0,UNIDENTIFIABLE
UPco-jzOoEg_s2796,COAST,1,0,UNIDENTIFIABLE
