section_id,kind,identifiable,detected,status
0KIBu1jQBL8_s1205,FROZEN,1,0,UNIDENTIFIABLE
0KIBu1jQBL8_s3435,FROZEN,1,0,UNIDENTIFIABLE
0KIBu1jQBL8_s5665,FROZEN,1,0,UNIDENTIFIABLE
1E5Rw89keTg_s312,FROZEN,1,0,UNIDENTIFIABLE
1E5Rw89keTg_s90,FROZEN,1,0,UNIDENTIFIABLE
6FlZaoWSfFw_s584,FROZEN,1,0,UNIDENTIFIABLE
9F5q5jCbrMI_s1270,FROZEN,1,0,UNIDENTIFIABLE
9F5q5jCbrMI_s3630,FROZEN,1,0,UNIDENTIFIABLE
9F5q5jCbrMI_s90,FROZEN,1,0,UNIDENTIFIABLE
EqseleqhpTk_s2700,FROZEN,1,0,UNIDENTIFIABLE
EqseleqhpTk_s5310,FROZEN,1,0,UNIDENTIFIABLE
G8bPOW37Sp0_s320,FROZEN,1,0,UNIDENTIFIABLE
G8bPOW37Sp0_s90,FROZEN,1,0,UNIDENTIFIABLE
GNjSxoeDT-E_s2244,FROZEN,1,0,UNIDENTIFIABLE
GNjSxoeDT-E_s4398,FROZEN,1,0,UNIDENTIFIABLE
GNjSxoeDT-E_s90,FROZEN,1,0,UNIDENTIFIABLE
HUSo3PzP7lo_s402,FROZEN,1,0,UNIDENTIFIABLE
N-eE7ZwTuno_s1308,FROZEN,1,0,UNIDENTIFIABLE
N-eE7ZwTuno_s3744,FROZEN,1,0,UNIDENTIFIABLE
N-eE7ZwTuno_s90,FROZEN,1,0,UNIDENTIFIABLE
RIrGQJ_jsGQ_s2730,FROZEN,1,0,UNIDENTIFIABLE
RIrGQJ_jsGQ_s5370,FROZEN,1,0,UNIDENTIFIABLE
XCaGht2GmPg_s1416,FROZEN,1,0,UNIDENTIFIABLE
XCaGht2GmPg_s4068,FROZEN,1,0,UNIDENTIFIABLE
XCaGht2GmPg_s90,FROZEN,1,0,UNIDENTIFIABLE
XzIzQZBrPBY_s398,FROZEN,1,0,UNIDENTIFIABLE
eaKqXq9dfig_s259,FROZEN,1,0,UNIDENTIFIABLE
eaKqXq9dfig_s90,FROZEN,1,0,UNIDENTIFIABLE
fXLNra4sjjU_s90,FROZEN,1,0,UNIDENTIFIABLE
h6j_iLYRx8U_s2758,FROZEN,1,0,UNIDENTIFIABLE
0KIBu1jQBL8_s1205,COAST,1,0,UNIDENTIFIABLE
0KIBu1jQBL8_s3435,COAST,0,0,UNIDENTIFIABLE
0KIBu1jQBL8_s5665,COAST,1,0,UNIDENTIFIABLE
1E5Rw89keTg_s312,COAST,0,0,UNIDENTIFIABLE
1E5Rw89keTg_s90,COAST,0,0,UNIDENTIFIABLE
6FlZaoWSfFw_s584,COAST,0,0,UNIDENTIFIABLE
9F5q5jCbrMI_s1270,COAST,1,0,UNIDENTIFIABLE
9F5q5jCbrMI_s3630,COAST,1,0,UNIDENTIFIABLE
9F5q5jCbrMI_s90,COAST,1,0,UNIDENTIFIABLE
EqseleqhpTk_s2700,COAST,1,0,UNIDENTIFIABLE
EqseleqhpTk_s5310,COAST,1,0,UNIDENTIFIABLE
G8bPOW37Sp0_s320,COAST,1,0,UNIDENTIFIABLE
G8bPOW37Sp0_s90,COAST,0,0,UNIDENTIFIABLE
GNjSxoeDT-E_s2244,COAST,1,0,UNIDENTIFIABLE
GNjSxoeDT-E_s4398,COAST,0,0,UNIDENTIFIABLE
GNjSxoeDT-E_s90,COAST,1,0,UNIDENTIFIABLE
HUSo3PzP7lo_s402,COAST,1,0,UNIDENTIFIABLE
N-eE7ZwTuno_s1308,COAST,1,0,UNIDENTIFIABLE
N-eE7ZwTuno_s3744,COAST,0,0,UNIDENTIFIABLE
N-eE7ZwTuno_s90,COAST,1,0,UNIDENTIFIABLE
RIrGQJ_jsGQ_s2730,COAST,0,0,UNIDENTIFIABLE
RIrGQJ_jsGQ_s5370,COAST,1,0,UNIDENTIFIABLE
XCaGht2GmPg_s1416,COAST,1,0,UNIDENTIFIABLE
XCaGht2GmPg_s4068,COAST,1,0,UNIDENTIFIABLE
XCaGht2GmPg_s90,COAST,1,0,UNIDENTIFIABLE
