state_id,game_id,state_ts,ts,stratum
000000,401703374,2024-11-13T01:31:03+00:00,1731461463,p1_m0_3_c60_300
000001,401772992,2025-05-28T00:25:06+00:00,1748391906,p1_m0_3_c60_300
000002,401810027,2025-11-06T00:32:07+00:00,1762389127,p1_m0_3_c60_300
000003,401810422,2026-01-14T01:31:11+00:00,1768354271,p1_m0_3_c60_300
000004,401810786,2026-03-09T23:32:20+00:00,1773099140,p1_m0_3_c60_300
000005,401810042,2025-11-09T01:38:07+00:00,1762652287,p1_m0_3_ceq_0
000006,401810131,2025-11-23T23:36:04+00:00,1763940964,p1_m0_3_ceq_0
000007,401810278,2025-12-27T00:37:09+00:00,1766795829,p1_m0_3_ceq_0
000008,401810669,2026-02-22T01:40:22+00:00,1771724422,p1_m0_3_ceq_0
000009,401810673,2026-02-22T21:06:22+00:00,1771794382,p1_m0_3_ceq_0
000010,401704786,2024-11-14T00:49:02+00:00,1731545342,p1_m0_3_cgt_300
000011,401704925,2024-12-10T00:55:03+00:00,1733792103,p1_m0_3_cgt_300
000012,401769749,2025-05-12T23:56:06+00:00,1747094166,p1_m0_3_cgt_300
000013,401810386,2026-01-09T02:21:10+00:00,1767925270,p1_m0_3_cgt_300
000014,401810693,2026-02-25T01:13:26+00:00,1771982006,p1_m0_3_cgt_300
000015,401704725,2024-11-05T01:45:02+00:00,1730771102,p1_m0_3_clt_60
000016,401704884,2024-12-03T01:33:03+00:00,1733189583,p1_m0_3_clt_60
000017,401705112,2025-01-13T01:34:04+00:00,1736732044,p1_m0_3_clt_60
000018,401809774,2025-11-08T01:08:07+00:00,1762564087,p1_m0_3_clt_60
000019,401869414,2026-04-25T17:34:04+00:00,1777138444,p1_m0_3_clt_60
000020,401769742,2025-05-12T00:34:06+00:00,1747010046,p1_m10_plus_c60_300
000021,401809938,2025-10-23T00:35:03+00:00,1761179703,p1_m10_plus_c60_300
000022,401810661,2026-02-21T01:07:16+00:00,1771636036,p1_m10_plus_c60_300
000023,401812707,2025-10-12T23:40:04+00:00,1760312404,p1_m10_plus_c60_300
000024,401869393,2026-04-30T23:26:03+00:00,1777591563,p1_m10_plus_c60_300
000025,401704976,2024-12-27T00:39:03+00:00,1735259943,p1_m10_plus_ceq_0
000026,401705141,2025-01-17T03:38:03+00:00,1737085083,p1_m10_plus_ceq_0
000027,401705153,2025-01-19T00:38:03+00:00,1737247083,p1_m10_plus_ceq_0
000028,401809510,2025-11-08T00:42:05+00:00,1762562525,p1_m10_plus_ceq_0
000029,401812482,2025-10-04T02:41:10+00:00,1759545670,p1_m10_plus_ceq_0
000030,401705174,2025-01-22T00:55:04+00:00,1737507304,p1_m10_plus_cgt_300
000031,401767903,2025-04-22T23:49:05+00:00,1745365745,p1_m10_plus_cgt_300
000032,401810056,2025-11-11T00:52:12+00:00,1762822332,p1_m10_plus_cgt_300
000033,401810635,2026-02-12T00:55:13+00:00,1770857713,p1_m10_plus_cgt_300
000034,401869386,2026-04-29T01:58:04+00:00,1777427884,p1_m10_plus_cgt_300
000035,401809784,2025-11-15T01:37:06+00:00,1763170626,p1_m10_plus_clt_60
000036,401810069,2025-11-13T00:36:06+00:00,1762994166,p1_m10_plus_clt_60
000037,401810135,2025-11-24T00:38:07+00:00,1763944687,p1_m10_plus_clt_60
000038,401810183,2025-12-04T01:04:08+00:00,1764810248,p1_m10_plus_clt_60
000039,401810631,2026-02-12T00:43:13+00:00,1770856993,p1_m10_plus_clt_60
000040,401810126,2025-11-23T01:27:06+00:00,1763861226,p1_m4_9_c60_300
000041,401810353,2026-01-04T23:29:08+00:00,1767569348,p1_m4_9_c60_300
000042,401810909,2026-03-25T23:56:31+00:00,1774482991,p1_m4_9_c60_300
000043,401812716,2025-10-14T23:34:04+00:00,1760484844,p1_m4_9_c60_300
000044,401812731,2025-10-17T23:38:05+00:00,1760744285,p1_m4_9_c60_300
000045,401703374,2024-11-13T01:38:02+00:00,1731461882,p1_m4_9_ceq_0
000046,401703389,2024-11-16T03:37:03+00:00,1731728223,p1_m4_9_ceq_0
000047,401704701,2024-11-02T00:10:02+00:00,1730506202,p1_m4_9_ceq_0
000048,401705117,2025-01-14T01:35:03+00:00,1736818503,p1_m4_9_ceq_0
000049,401705242,2025-01-31T03:05:04+00:00,1738292704,p1_m4_9_ceq_0
000050,401705115,2025-01-14T00:52:03+00:00,1736815923,p1_m4_9_cgt_300
000051,401736800,2024-12-13T00:54:03+00:00,1734051243,p1_m4_9_cgt_300
000052,401810041,2025-11-09T01:17:06+00:00,1762651026,p1_m4_9_cgt_300
000053,401810226,2025-12-19T00:18:09+00:00,1766103489,p1_m4_9_cgt_300
000054,401810691,2026-02-25T01:20:36+00:00,1771982436,p1_m4_9_cgt_300
000055,401704962,2024-12-24T01:07:03+00:00,1735002423,p1_m4_9_clt_60
000056,401705045,2025-01-05T00:34:03+00:00,1736037243,p1_m4_9_clt_60
000057,401705078,2025-01-09T00:41:03+00:00,1736383263,p1_m4_9_clt_60
000058,401772992,2025-05-28T00:34:06+00:00,1748392446,p1_m4_9_clt_60
000059,401866754,2026-04-15T02:43:38+00:00,1776221018,p1_m4_9_clt_60
000060,401705070,2025-01-08T01:26:03+00:00,1736299563,p2_m0_3_c60_300
000061,401809820,2025-11-29T04:14:09+00:00,1764389649,p2_m0_3_c60_300
