state_id,game_id,state_ts,stratum,check,verdict,reason
000009,401810673,2026-02-22T21:06:22+00:00,p1_m0_3_ceq_0,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000009,401810673,2026-02-22T21:06:22+00:00,p1_m0_3_ceq_0,status,ACCEPTED,active_s309_mask
000009,401810673,2026-02-22T21:06:22+00:00,p1_m0_3_ceq_0,polarity,NOT_VERIFIED,side_or_home_column_absent
000009,401810673,2026-02-22T21:06:22+00:00,p1_m0_3_ceq_0,duplicate,ACCEPTED,unique_game_id_state_ts
000009,401810673,2026-02-22T21:06:22+00:00,p1_m0_3_ceq_0,settlement,ACCEPTED,final_tick_after_state
000010,401704786,2024-11-14T00:49:02+00:00,p1_m0_3_cgt_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000010,401704786,2024-11-14T00:49:02+00:00,p1_m0_3_cgt_300,status,ACCEPTED,active_s309_mask
000010,401704786,2024-11-14T00:49:02+00:00,p1_m0_3_cgt_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000010,401704786,2024-11-14T00:49:02+00:00,p1_m0_3_cgt_300,duplicate,ACCEPTED,unique_game_id_state_ts
000010,401704786,2024-11-14T00:49:02+00:00,p1_m0_3_cgt_300,settlement,ACCEPTED,final_tick_after_state
000011,401704925,2024-12-10T00:55:03+00:00,p1_m0_3_cgt_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000011,401704925,2024-12-10T00:55:03+00:00,p1_m0_3_cgt_300,status,ACCEPTED,active_s309_mask
000011,401704925,2024-12-10T00:55:03+00:00,p1_m0_3_cgt_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000011,401704925,2024-12-10T00:55:03+00:00,p1_m0_3_cgt_300,duplicate,ACCEPTED,unique_game_id_state_ts
000011,401704925,2024-12-10T00:55:03+00:00,p1_m0_3_cgt_300,settlement,ACCEPTED,final_tick_after_state
000012,401769749,2025-05-12T23:56:06+00:00,p1_m0_3_cgt_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000012,401769749,2025-05-12T23:56:06+00:00,p1_m0_3_cgt_300,status,ACCEPTED,active_s309_mask
000012,401769749,2025-05-12T23:56:06+00:00,p1_m0_3_cgt_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000012,401769749,2025-05-12T23:56:06+00:00,p1_m0_3_cgt_300,duplicate,ACCEPTED,unique_game_id_state_ts
000012,401769749,2025-05-12T23:56:06+00:00,p1_m0_3_cgt_300,settlement,ACCEPTED,final_tick_after_state
000013,401810386,2026-01-09T02:21:10+00:00,p1_m0_3_cgt_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000013,401810386,2026-01-09T02:21:10+00:00,p1_m0_3_cgt_300,status,ACCEPTED,active_s309_mask
000013,401810386,2026-01-09T02:21:10+00:00,p1_m0_3_cgt_300,polarity,NOT_VERIFIED,side_or_home_column_absent
000013,401810386,2026-01-09T02:21:10+00:00,p1_m0_3_cgt_300,duplicate,ACCEPTED,unique_game_id_state_ts
000013,401810386,2026-01-09T02:21:10+00:00,p1_m0_3_cgt_300,settlement,ACCEPTED,final_tick_after_state
000014,401810693,2026-02-25T01:13:26+00:00,p1_m0_3_cgt_300,availability,NOT_VERIFIED,tick_order_only_received_at_absent
000014,401810693,2026-02-25T01:13:26+00:00,p1_m0_3_cgt_300,status,ACCEPTED,active_s309_mask
