"snapshot_utc","scope","sport_or_subset","retained_tables","total_tables","retained_fraction"
"2026-09-02T22:59:52Z","overall","ALL","73","199","0.366834"
"2026-09-02T22:59:52Z","priority","gate_eligible","8","8","1"
"2026-09-02T22:59:52Z","priority","memo_cited","61","94","0.648936"
"2026-09-02T22:59:52Z","sport","baseball","13","36","0.361111"
"2026-09-02T22:59:52Z","sport","basketball","6","6","1"
"2026-09-02T22:59:52Z","sport","football","9","44","0.204545"
"2026-09-02T22:59:52Z","sport","kbo","13","37","0.351351"
"2026-09-02T22:59:52Z","sport","npb","8","25","0.32"
"2026-09-02T22:59:52Z","sport","soccer","7","26","0.269231"
"2026-09-02T22:59:52Z","sport","tennis","11","16","0.6875"
"2026-09-02T22:59:52Z","sport","UNKNOWN","2","2","1"
"2026-09-02T22:59:52Z","sport","wnba","4","7","0.571429"
