"snapshot_utc","table","sport","source_key","source_present","retained_locations","source_files","source_match_count","gate_eligible","memo_cited","committed_memo_paths"
"2026-09-02T22:59:52Z","football__Bsqeb795J0","football","football__Bsqeb795J0","False","","","0","False","False",""
"2026-09-02T22:59:52Z","football_17DHInPNTnY","football","football_17DHInPNTnY","False","","","0","False","True","docs/evidence/tracking/g35_gapfinder_2026-09-02.md"
"2026-09-02T22:59:52Z","football_20pezoC5jRQ","football","football_20pezoC5jRQ","True","data/footage_corpus","football__football_20pezoC5jRQ.mp4","1","False","True","docs/evidence/tracking/g109_eligible_table_census_2026-09-02.md;docs/evidence/tracking/g47_contract_rejection_census_2026-09-02.md;docs/evidence/tracking/reingest_720p_2026-09-02.md"
"2026-09-02T22:59:52Z","football_22iadGbRAyE","football","football_22iadGbRAyE","False","","","0","False","False",""
"2026-09-02T22:59:52Z","football_34GmmlakBYU","football","football_34GmmlakBYU","True","data/footage_corpus","soccer__football_34GmmlakBYU.mp4","1","False","True","docs/evidence/tracking/g108_relabel_and_recompute_2026-09-02.md;docs/evidence/tracking/g99_corpus_sport_audit_2026-09-02.md;docs/evidence/tracking/reingest_720p_2026-09-02.md"
"2026-09-02T22:59:52Z","football_5x9vPq9HsTI","football","football_5x9vPq9HsTI","True","data/footage_corpus","football__football_5x9vPq9HsTI.mp4","1","False","True","docs/evidence/tracking/reingest_720p_2026-09-02.md"
"2026-09-02T22:59:52Z","football_6oUm30M1HZ8","football","football_6oUm30M1HZ8","False","","","0","False","False",""
"2026-09-02T22:59:52Z","football_7Af2PqyvT8A","football","football_7Af2PqyvT8A","False","","","0","False","True","docs/evidence/tracking/g35_gapfinder_2026-09-02.md"
"2026-09-02T22:59:52Z","football_a7OUF22mt-I","football","football_a7OUF22mt-I","False","","","0","False","True","docs/evidence/tracking/g105_recover_lost_gpu_hours_2026-09-0X.md;docs/evidence/tracking/g35_gapfinder_2026-09-02.md"
"2026-09-02T22:59:52Z","football_aL_ZQEaQ_LY","football","football_aL_ZQEaQ_LY","False","","","0","False","False",""
"2026-09-02T22:59:52Z","football_B7znSVfBnM4","football","football_B7znSVfBnM4","True","data/footage_corpus","soccer__football_B7znSVfBnM4.mp4","1","False","True","docs/evidence/tracking/g108_relabel_and_recompute_2026-09-02.md;docs/evidence/tracking/g99_corpus_sport_audit_2026-09-02.md;docs/evidence/tracking/reingest_720p_2026-09-02.md"
"2026-09-02T22:59:52Z","football_B-aAcjvtu9I","football","football_B-aAcjvtu9I","False","","","0","False","False",""
"2026-09-02T22:59:52Z","football_bj9lY3FEDw0","football","football_bj9lY3FEDw0","False","","","0","False","False",""
"2026-09-02T22:59:52Z","football_cxbBz4nkovE","football","football_cxbBz4nkovE","False","","","0","False","True","docs/evidence/tracking/corpus_mislabel_2026-09-01.md"
"2026-09-02T22:59:52Z","football_DrxDFaRonuE","football","football_DrxDFaRonuE","False","","","0","False","True","docs/evidence/tracking/corpus_mislabel_2026-09-01.md"
"2026-09-02T22:59:52Z","football_eU55ugTsdz8","football","football_eU55ugTsdz8","False","","","0","False","False",""
"2026-09-02T22:59:52Z","football_fh9CTJ0-PpQ","football","football_fh9CTJ0-PpQ","False","","","0","False","False",""
"2026-09-02T22:59:52Z","football_gek9fXGlwas","football","football_gek9fXGlwas","True","data/footage_corpus","soccer__football_gek9fXGlwas.mp4","1","False","True","docs/evidence/tracking/g108_relabel_and_recompute_2026-09-02.md;docs/evidence/tracking/g99_corpus_sport_audit_2026-09-02.md;docs/evidence/tracking/reingest_720p_2026-09-02.md"
"2026-09-02T22:59:52Z","football_GU6CrRLjTkw","football","football_GU6CrRLjTkw","False","","","0","False","True","docs/evidence/tracking/corpus_mislabel_2026-09-01.md"
