"table","sport","source_present","tracking_csv_mtime_utc","corpus_policy_commit_utc","tracking_csv_mtime_before_corpus_policy"
"football__Bsqeb795J0","football","False","2026-09-01T13:55:42Z","2026-09-01T15:12:15Z","True"
"football_17DHInPNTnY","football","False","2026-09-01T03:47:15Z","2026-09-01T15:12:15Z","True"
"football_20pezoC5jRQ","football","True","2026-09-01T15:22:00Z","2026-09-01T15:12:15Z","False"
"football_22iadGbRAyE","football","False","2026-09-01T18:36:49Z","2026-09-01T15:12:15Z","False"
"football_34GmmlakBYU","football","True","2026-09-01T16:24:13Z","2026-09-01T15:12:15Z","False"
"football_5x9vPq9HsTI","football","True","2026-09-01T15:22:04Z","2026-09-01T15:12:15Z","False"
"football_6oUm30M1HZ8","football","False","2026-09-01T13:28:37Z","2026-09-01T15:12:15Z","True"
"football_7Af2PqyvT8A","football","False","2026-09-01T03:47:12Z","2026-09-01T15:12:15Z","True"
"football_a7OUF22mt-I","football","False","2026-09-01T03:49:29Z","2026-09-01T15:12:15Z","True"
"football_aL_ZQEaQ_LY","football","False","2026-09-01T13:53:08Z","2026-09-01T15:12:15Z","True"
"football_B7znSVfBnM4","football","True","2026-09-01T16:39:59Z","2026-09-01T15:12:15Z","False"
"football_B-aAcjvtu9I","football","False","2026-09-01T14:38:54Z","2026-09-01T15:12:15Z","True"
"football_bj9lY3FEDw0","football","False","2026-09-01T14:05:12Z","2026-09-01T15:12:15Z","True"
"football_cxbBz4nkovE","football","False","2026-09-01T15:42:22Z","2026-09-01T15:12:15Z","False"
"football_DrxDFaRonuE","football","False","2026-09-01T15:21:53Z","2026-09-01T15:12:15Z","False"
"football_eU55ugTsdz8","football","False","2026-09-01T08:06:17Z","2026-09-01T15:12:15Z","True"
"football_fh9CTJ0-PpQ","football","False","2026-09-01T12:42:15Z","2026-09-01T15:12:15Z","True"
"football_gek9fXGlwas","football","True","2026-09-01T16:53:46Z","2026-09-01T15:12:15Z","False"
"football_GU6CrRLjTkw","football","False","2026-09-01T15:41:46Z","2026-09-01T15:12:15Z","False"
"football_h-_3BmAh9po","football","True","2026-09-01T15:22:04Z","2026-09-01T15:12:15Z","False"
"football_iaDDTxNEOfE","football","False","2026-09-01T15:41:49Z","2026-09-01T15:12:15Z","False"
"football_J9WamaxtwdQ","football","False","2026-09-01T13:27:40Z","2026-09-01T15:12:15Z","True"
"football_jK1AuQzymVE","football","False","2026-09-01T14:38:56Z","2026-09-01T15:12:15Z","True"
"football_kXfNJsCLLIA","football","False","2026-09-01T14:03:58Z","2026-09-01T15:12:15Z","True"
"football_L3WOKdFhdkQ","football","False","2026-09-01T16:47:42Z","2026-09-01T15:12:15Z","False"
"football_lsYEcWf4Zbg","football","False","2026-09-01T12:41:41Z","2026-09-01T15:12:15Z","True"
"football_m8UWuQoflJo","football","False","2026-09-01T07:28:29Z","2026-09-01T15:12:15Z","True"
"football_O-vEbXeVc_0","football","False","2026-09-01T03:47:11Z","2026-09-01T15:12:15Z","True"
"football_owXX5PI64gU","football","False","2026-09-01T12:42:18Z","2026-09-01T15:12:15Z","True"
