"table","sport","source_present","retained_locations","source_files","committed_memo_paths"
"football_17DHInPNTnY","football","False","","","docs/evidence/tracking/g35_gapfinder_2026-09-02.md"
"football_20pezoC5jRQ","football","True","data/footage_corpus","football__football_20pezoC5jRQ.mp4","docs/evidence/tracking/g109_eligible_table_census_2026-09-02.md;docs/evidence/tracking/g47_contract_rejection_census_2026-09-02.md;docs/evidence/tracking/reingest_720p_2026-09-02.md"
"football_34GmmlakBYU","football","True","data/footage_corpus","soccer__football_34GmmlakBYU.mp4","docs/evidence/tracking/g108_relabel_and_recompute_2026-09-02.md;docs/evidence/tracking/g99_corpus_sport_audit_2026-09-02.md;docs/evidence/tracking/reingest_720p_2026-09-02.md"
"football_5x9vPq9HsTI","football","True","data/footage_corpus","football__football_5x9vPq9HsTI.mp4","docs/evidence/tracking/reingest_720p_2026-09-02.md"
"football_7Af2PqyvT8A","football","False","","","docs/evidence/tracking/g35_gapfinder_2026-09-02.md"
"football_a7OUF22mt-I","football","False","","","docs/evidence/tracking/g105_recover_lost_gpu_hours_2026-09-0X.md;docs/evidence/tracking/g35_gapfinder_2026-09-02.md"
"football_B7znSVfBnM4","football","True","data/footage_corpus","soccer__football_B7znSVfBnM4.mp4","docs/evidence/tracking/g108_relabel_and_recompute_2026-09-02.md;docs/evidence/tracking/g99_corpus_sport_audit_2026-09-02.md;docs/evidence/tracking/reingest_720p_2026-09-02.md"
"football_cxbBz4nkovE","football","False","","","docs/evidence/tracking/corpus_mislabel_2026-09-01.md"
"football_DrxDFaRonuE","football","False","","","docs/evidence/tracking/corpus_mislabel_2026-09-01.md"
"football_gek9fXGlwas","football","True","data/footage_corpus","soccer__football_gek9fXGlwas.mp4","docs/evidence/tracking/g108_relabel_and_recompute_2026-09-02.md;docs/evidence/tracking/g99_corpus_sport_audit_2026-09-02.md;docs/evidence/tracking/reingest_720p_2026-09-02.md"
"football_GU6CrRLjTkw","football","False","","","docs/evidence/tracking/corpus_mislabel_2026-09-01.md"
"football_h-_3BmAh9po","football","True","data/footage_corpus","soccer__football_h-_3BmAh9po.mp4","docs/evidence/tracking/g108_relabel_and_recompute_2026-09-02.md;docs/evidence/tracking/g99_corpus_sport_audit_2026-09-02.md;docs/evidence/tracking/reingest_720p_2026-09-02.md"
"football_iaDDTxNEOfE","football","False","","","docs/evidence/tracking/corpus_mislabel_2026-09-01.md"
"football_L3WOKdFhdkQ","football","False","","","docs/evidence/tracking/corpus_mislabel_2026-09-01.md"
"football_lsYEcWf4Zbg","football","False","","","docs/evidence/tracking/confounder_findings_2026-09-01.md"
"football_O-vEbXeVc_0","football","False","","","docs/evidence/tracking/g35_gapfinder_2026-09-02.md"
"football_VEoXn84p9o8","football","False","","","docs/evidence/tracking/corpus_mislabel_2026-09-01.md"
