captured_at,book,game_id,player_id,player_name,stat,line,over_price,under_price,start_time
2026-05-26T12:27,pin,1631142204,,Keldon Johnson,reb,3.5,157,-213,2026-05-27T00:35:00Z
2026-05-26T12:27,pin,1631142204,,Luguentz Dort,fg3m,1.5,128,-171,2026-05-27T00:35:00Z
2026-05-26T12:27,pin,1631142204,,Victor Wembanyama,reb,13.5,104,-138,2026-05-27T00:35:00Z
2026-05-26T12:27,pin,1631142204,,Julian Champagnie,reb,5.5,109,-145,2026-05-27T00:35:00Z
2026-05-26T12:27,pin,1631142204,,Chet Holmgren,ast,1.5,121,-162,2026-05-27T00:35:00Z
2026-05-26T12:27,pin,1631142204,,Isaiah Hartenstein,pts,6.5,-142,107,2026-05-27T00:35:00Z
2026-05-26T12:27,pin,1631142204,,Victor Wembanyama,fg3m,1.5,-176,131,2026-05-27T00:35:00Z
2026-05-26T12:27,pin,1631142204,,Shai Gilgeous-Alexander,fg3m,1.5,103,-136,2026-05-27T00:35:00Z
2026-05-26T12:27,pin,1631142204,,Stephon Castle,ast,6.5,-112,-118,2026-05-27T00:35:00Z
2026-05-26T12:27,pin,1631142204,,Dylan Harper,reb,3.5,114,-152,2026-05-27T00:35:00Z
2026-05-26T12:27,pin,1631142204,,Julian Champagnie,pts,8.5,-124,-107,2026-05-27T00:35:00Z
2026-05-26T12:27,pin,1631142204,,Jalen Williams,reb,3.5,-162,122,2026-05-27T00:35:00Z
2026-05-26T12:27,pin,1631142204,,Cason Wallace,pts,8.5,105,-139,2026-05-27T00:35:00Z
2026-05-26T12:27,pin,1631142204,,Shai Gilgeous-Alexander,pts,28.5,-147,111,2026-05-27T00:35:00Z
2026-05-26T12:27,pin,1631142204,,Stephon Castle,fg3m,1.5,114,-152,2026-05-27T00:35:00Z
2026-05-26T12:27,pin,1631142204,,Stephon Castle,pts,17.5,-103,-128,2026-05-27T00:35:00Z
2026-05-26T12:27,pin,1631142204,,Devin Vassell,ast,2.5,139,-187,2026-05-27T00:35:00Z
2026-05-26T12:27,pin,1631142204,,De'Aaron Fox,pts,13.5,-155,117,2026-05-27T00:35:00Z
2026-05-26T12:27,pin,1631142204,,Jalen Williams,ast,3.5,-157,118,2026-05-27T00:35:00Z
