frame,track_id,cls,x,y,ts_s,energy,confidence,coordinate_space,observation,calibration
1,0,motion_energy,342.4469401737681,180.84428449025265,0.03336666666666667,13.0,,image_px,observed,none
2,0,motion_energy,335.7154064193691,173.3838947539818,0.06673333333333334,16.0,,image_px,observed,none
3,0,motion_energy,333.21664879098006,173.7541699327283,0.10010000000000001,17.0,,image_px,observed,none
4,0,motion_energy,336.18503254954936,170.37117628652763,0.13346666666666668,14.0,,image_px,observed,none
5,0,motion_energy,327.54701948571005,163.9963258763016,0.16683333333333333,17.0,,image_px,observed,none
6,0,motion_energy,306.7434565565935,169.36907802566293,0.20020000000000002,16.0,,image_px,observed,none
7,0,motion_energy,301.8561392671714,172.95961224302744,0.23356666666666667,13.0,,image_px,observed,none
8,0,motion_energy,296.4536427277647,173.93976149232856,0.26693333333333336,17.0,,image_px,observed,none
9,0,motion_energy,295.89644202233603,175.3995054602512,0.3003,19.0,,image_px,observed,none
10,0,motion_energy,307.5903554873866,173.79808214706836,0.33366666666666667,17.0,,image_px,observed,none
11,0,motion_energy,309.4012118276444,173.05461584375206,0.3670333333333333,19.0,,image_px,observed,none
12,0,motion_energy,304.8752678938496,173.5576911381566,0.40040000000000003,19.0,,image_px,observed,none
13,0,motion_energy,314.5105465198656,170.7677084628277,0.4337666666666667,15.0,,image_px,observed,none
14,0,motion_energy,320.59871439853646,166.8203381951595,0.46713333333333334,19.0,,image_px,observed,none
15,0,motion_energy,303.5220032309695,160.88610272332042,0.5005000000000001,15.0,,image_px,observed,none
16,0,motion_energy,320.8654663212276,165.89641747374,0.5338666666666667,20.0,,image_px,observed,none
17,0,motion_energy,333.78885251593795,171.30261979842226,0.5672333333333334,23.0,,image_px,observed,none
18,0,motion_energy,348.37893502450646,170.03619829993733,0.6006,20.0,,image_px,observed,none
19,0,motion_energy,348.54088932060523,169.62494160607181,0.6339666666666667,24.0,,image_px,observed,none
20,0,motion_energy,341.00169327466557,172.63218153849428,0.6673333333333333,27.0,,image_px,observed,none
21,0,motion_energy,343.8684801895346,171.6576518684978,0.7007,21.0,,image_px,observed,none
22,0,motion_energy,330.25748571220464,175.4805345209264,0.7340666666666666,24.0,,image_px,observed,none
23,0,motion_energy,338.1016001983666,177.14727433419287,0.7674333333333333,23.0,,image_px,observed,none
24,0,motion_energy,348.28307521500585,181.0576945417765,0.8008000000000001,18.0,,image_px,observed,none
25,0,motion_energy,348.6445792221508,178.8823835450381,0.8341666666666667,18.0,,image_px,observed,none
26,0,motion_energy,345.14299771431956,164.05543380814822,0.8675333333333334,17.0,,image_px,observed,none
27,0,motion_energy,340.3442841283013,158.1934960142008,0.9009,16.0,,image_px,observed,none
28,0,motion_energy,337.89298053507645,155.76745183922074,0.9342666666666667,15.0,,image_px,observed,none
29,0,motion_energy,330.05716838103797,151.13399187595485,0.9676333333333333,11.0,,image_px,observed,none
229,0,snap,307.5081087583497,176.85923701665905,7.6409666666666665,5.0,0.0,image_px,observed,none
709,0,snap,288.98996468459904,204.90369809415625,23.656966666666666,2.5,0.0,image_px,observed,none
897,0,snap,338.45318072893446,236.81785694382523,29.9299,12.0,1.0,image_px,observed,none
1072,0,snap,307.35374945534517,191.7554662760019,35.76906666666667,2.5,0.0,image_px,observed,none
1320,0,snap,323.7313317460808,151.878383476083,44.044000000000004,2.5,0.0,image_px,observed,none
