input_kind,absolute_path,bytes,resolution_px
frame,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g278_census_stratified_followup_artifact\part_a\frames\part_a_000.jpg,222374,1920x1080
frame,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g278_census_stratified_followup_artifact\part_a\frames\part_a_004.jpg,211330,1920x1080
frame,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g278_census_stratified_followup_artifact\part_a\frames\part_a_009.jpg,238212,1920x1080
frame,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g278_census_stratified_followup_artifact\part_a\frames\part_a_013.jpg,232732,1920x1080
frame,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g278_census_stratified_followup_artifact\part_a\frames\part_a_017.jpg,235365,1920x1080
frame,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g278_census_stratified_followup_artifact\part_a\frames\part_a_021.jpg,189994,1920x1080
frame,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g278_census_stratified_followup_artifact\part_a\frames\part_a_025.jpg,229527,1920x1080
frame,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g278_census_stratified_followup_artifact\part_a\frames\part_a_030.jpg,193354,1920x1080
frame,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g278_census_stratified_followup_artifact\part_a\frames\part_a_033.jpg,180621,1920x1080
frame,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g278_census_stratified_followup_artifact\part_a\frames\part_a_037.jpg,235294,1920x1080
frame,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g278_census_stratified_followup_artifact\part_a\frames\part_a_042.jpg,232799,1920x1080
frame,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g278_census_stratified_followup_artifact\part_a\frames\part_a_046.jpg,204441,1920x1080
frame,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g278_census_stratified_followup_artifact\part_a\frames\part_a_049.jpg,177028,1920x1080
frame,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g278_census_stratified_followup_artifact\part_a\frames\part_a_054.jpg,218086,1920x1080
frame,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g278_census_stratified_followup_artifact\part_a\frames\part_a_060.jpg,191776,1920x1080
located_feet,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g285b_locate_then_match_recall_artifact\located_feet.csv,5550,csv
g267_footpoints,C:\Users\neelj\nba-track-a5\docs\evidence\tracking\g267_court_space_physical_plausibility_artifact\g267_measurement.json,12446681,json
