clip,frame_index,role,visible,baseline_detected,enlarged_detected,stable_detected,outcome,baseline_group_indices,enlarged_group_indices,stable_group_indices,group_outcomes,endpoints
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,baseline,true,false,false,false,,,,,,"[[0,188],[0,287]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,free_throw,true,false,false,false,,,,,,"[[215,199],[215,272]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,lane_left,true,true,true,true,SURVIVED,21,24,21,SURVIVED,"[[0,188],[215,199]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,lane_right,true,true,true,true,SURVIVED,16;17;41,19;20;39;49,16;17;41;72;78,SURVIVED;SURVIVED;ABSORBED,"[[0,287],[215,272]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,baseline,true,false,false,false,,,,,,"[[0,188],[0,287]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,free_throw,true,true,true,true,ABSORBED,25,7,25,ABSORBED,"[[215,199],[215,272]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,lane_left,true,true,true,true,ABSORBED,18;37,25;44,18;37;65;76,ABSORBED;ABSORBED,"[[0,188],[215,199]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,lane_right,true,true,true,true,SURVIVED,0;31,38;39,0;31,ABSORBED;SURVIVED,"[[0,287],[215,272]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,baseline,true,false,false,false,,,,,,"[[0,198],[0,303]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,free_throw,true,false,false,false,,,,,,"[[240,207],[240,278]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,lane_left,true,true,true,true,SURVIVED,30,38,30,SURVIVED,"[[0,198],[240,207]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,lane_right,true,true,true,true,SURVIVED,12;16;20;45,17;21;56,12;16;20;45;61;63;81,ABSORBED;ABSORBED;ABSORBED;SURVIVED,"[[0,303],[240,278]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,baseline,true,false,false,false,,,,,,"[[0,188],[0,284]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,free_throw,true,false,false,false,,,,,,"[[243,194],[243,272]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,lane_left,true,false,false,false,,,,,,"[[0,188],[243,194]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,lane_right,true,true,true,true,ABSORBED,8,29,8;60;63,ABSORBED,"[[0,284],[243,272]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,baseline,true,false,false,false,,,,,,"[[0,171],[0,283]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,free_throw,true,false,true,true,,,23,52;55,,"[[254,188],[254,267]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,lane_left,true,false,false,false,,,,,,"[[0,171],[254,188]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,lane_right,true,false,true,true,,,44,52;58;72,,"[[0,283],[254,267]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,baseline,true,true,true,true,ABSORBED,19,20,19,ABSORBED,"[[565,137],[565,238]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,free_throw,true,false,false,false,,,,,,"[[390,177],[390,226]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,lane_left,true,true,true,true,ABSORBED,11,11,11,ABSORBED,"[[565,137],[390,177]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,lane_right,true,true,false,true,ABSORBED,4;24,,4;24,ABSORBED;ABSORBED,"[[565,238],[390,226]]"
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,baseline,true,false,false,false,,,,,,"[[638,155],[638,293]]"
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,free_throw,true,false,false,false,,,,,,"[[355,197],[355,277]]"
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,lane_left,true,false,false,false,,,,,,"[[638,155],[355,197]]"
