game,timestamp,date,outcome,pitcher_id,z,z_std,beta,weight,p_incumbent,p_candidate,market_prob,loss_incumbent,loss_candidate,loss_differential,cluster_id
KXMLBGAME-26JUL121340SEATB,2026-07-11T00:05:21Z,2026-07-11,0.0,607259,0.06575938958909917,1.0493833603421612,1.0,1.0,0.74,0.74,0.59,0.5476,0.5476,0.0,KXMLBGAME-26JUL121340SEATB
KXMLBGAME-26JUL121340SEATB,2026-07-11T00:06:48Z,2026-07-11,0.0,607259,0.06575938958909917,1.0493833603421612,1.0,1.0,0.74,0.74,0.59,0.5476,0.5476,0.0,KXMLBGAME-26JUL121340SEATB
KXMLBGAME-26JUL121340SEATB,2026-07-11T00:08:06Z,2026-07-11,0.0,622491,0.06176046919922702,0.9841706336081895,1.0,1.0,0.74,0.74,0.59,0.5476,0.5476,0.0,KXMLBGAME-26JUL121340SEATB
KXMLBGAME-26JUL121340SEATB,2026-07-11T00:09:29Z,2026-07-11,0.0,622491,0.06176046919922702,0.9841706336081895,1.0,1.0,0.74,0.74,0.59,0.5476,0.5476,0.0,KXMLBGAME-26JUL121340SEATB
KXMLBGAME-26JUL102010LAAMIN,2026-07-11T00:10:51Z,2026-07-11,0.0,805673,-0.11418734551708849,-1.8851129834386113,1.0,1.0,0.535112,0.4450000000001153,0.5950000000001153,0.28634485254400005,0.19802500000010262,0.08831985254389743,KXMLBGAME-26JUL102010LAAMIN
KXMLBGAME-26JUL121340SEATB,2026-07-11T00:10:51Z,2026-07-11,0.0,622491,-0.06176046919922702,-1.030157339037364,1.0,1.0,0.74,0.74,0.59,0.5476,0.5476,0.0,KXMLBGAME-26JUL121340SEATB
KXMLBGAME-26JUL102010LAAMIN,2026-07-11T00:12:18Z,2026-07-11,0.0,805673,-0.11418734551708849,-1.8851129834386113,1.0,1.0,0.535112,0.4450000000001153,0.5950000000001153,0.28634485254400005,0.19802500000010262,0.08831985254389743,KXMLBGAME-26JUL102010LAAMIN
KXMLBGAME-26JUL121340SEATB,2026-07-11T00:12:18Z,2026-07-11,0.0,622491,-0.06176046919922702,-1.030157339037364,1.0,1.0,0.74,0.74,0.59,0.5476,0.5476,0.0,KXMLBGAME-26JUL121340SEATB
KXMLBGAME-26JUL102010LAAMIN,2026-07-11T00:15:16Z,2026-07-11,0.0,805673,-0.11418734551708849,-1.8851129834386113,1.0,1.0,0.535112,0.46499999999990616,0.6149999999999062,0.28634485254400005,0.21622499999991274,0.07011985254408731,KXMLBGAME-26JUL102010LAAMIN
KXMLBGAME-26JUL121340SEATB,2026-07-11T00:15:16Z,2026-07-11,0.0,607259,0.06575938958909917,1.0493833603421612,1.0,1.0,0.74,0.74,0.59,0.5476,0.5476,0.0,KXMLBGAME-26JUL121340SEATB
