geometry,sigma_px,draw,seed,baseline_gap_px,a_gap_px,b_gap_px,a_improvement_px,b_improvement_px,n_supports,n_kept,rounds_run,n_fev,status
G1_SYNTH_QUAD,0.25,4,2396125475,0.416564,0.223220,0.269131,0.193344,0.147433,547,547,2,8,ok
G1_SYNTH_QUAD,0.25,5,146026649,0.222582,0.237709,0.234604,-0.015127,-0.012022,546,546,2,7,ok
G1_SYNTH_QUAD,0.25,6,2399610425,0.148901,0.152866,0.128848,-0.003964,0.020054,547,547,2,7,ok
G1_SYNTH_QUAD,0.25,7,3490205761,0.282502,0.206432,0.208574,0.076070,0.073929,546,546,2,7,ok
G1_SYNTH_QUAD,0.25,8,3843121417,0.392777,0.166339,0.249212,0.226437,0.143565,546,546,2,7,ok
G1_SYNTH_QUAD,0.25,9,1379403738,0.205917,0.235742,0.233131,-0.029825,-0.027214,548,548,2,7,ok
G1_SYNTH_QUAD,0.25,10,414957538,0.413159,0.298779,0.328603,0.114380,0.084555,547,547,2,7,ok
G1_SYNTH_QUAD,0.25,11,1985773882,0.229360,0.275318,0.245277,-0.045957,-0.015917,547,547,2,8,ok
G1_SYNTH_QUAD,0.25,12,4006806223,0.365279,0.224410,0.261576,0.140869,0.103703,547,547,2,7,ok
G1_SYNTH_QUAD,0.25,13,3612590485,0.144793,0.164959,0.154799,-0.020166,-0.010006,546,546,2,8,ok
G1_SYNTH_QUAD,0.25,14,2892731326,0.221715,0.170584,0.201322,0.051131,0.020393,546,546,2,6,ok
G1_SYNTH_QUAD,0.25,15,2016146132,0.194965,0.177922,0.187493,0.017044,0.007473,546,546,2,5,ok
G1_SYNTH_QUAD,0.25,16,2746933136,0.201185,0.218499,0.211070,-0.017313,-0.009884,546,546,2,7,ok
G1_SYNTH_QUAD,0.25,17,2922865684,0.474939,0.321512,0.364418,0.153427,0.110520,547,547,3,9,ok
G1_SYNTH_QUAD,0.25,18,101687510,0.074904,0.125282,0.099131,-0.050377,-0.024227,547,547,2,7,ok
G1_SYNTH_QUAD,0.25,19,4169051090,0.257267,0.222187,0.214469,0.035079,0.042798,546,546,2,7,ok
G1_SYNTH_QUAD,0.25,20,2772784641,0.387575,0.273873,0.305044,0.113702,0.082531,546,546,2,7,ok
G1_SYNTH_QUAD,0.25,21,3038646164,0.400984,0.263370,0.315890,0.137614,0.085094,546,546,2,7,ok
G1_SYNTH_QUAD,0.25,22,426593962,0.220854,0.216262,0.222825,0.004592,-0.001971,547,547,2,7,ok
G1_SYNTH_QUAD,0.25,23,2678719441,0.560429,0.322723,0.366122,0.237706,0.194307,546,546,2,7,ok
G1_SYNTH_QUAD,0.25,24,536199592,0.274179,0.248136,0.263491,0.026042,0.010688,547,547,2,7,ok
G1_SYNTH_QUAD,0.25,25,1060205759,0.195299,0.180079,0.172573,0.015220,0.022725,547,547,2,7,ok
G1_SYNTH_QUAD,0.25,26,2282081102,0.093002,0.070017,0.061910,0.022985,0.031092,546,546,2,7,ok
