geometry,state,init_fail,baseline_gap_px,a_gap_px,b_gap_px,a_improvement_px,b_improvement_px,bar_px,n_strokes,n_fit_strokes,n_val_strokes,n_supports,n_kept,rounds_run,n_fev,status,base_val_forward_px,base_val_inverse_px,b_val_forward_px,b_val_inverse_px
G1_SYNTH_QUAD,VALID,0,1.6516,1.1000,1.1287,0.5517,0.5229,1.0,48,35,13,1242,831,3,15,ok,5.8740,4.6486,6.1443,4.6486
G2_WIDE,INIT_FAIL,1,469.2083,469.3300,469.3808,-0.1217,-0.1725,1.0,54,38,16,1449,1053,3,33,ok,12.4957,4.2343,13.1804,3.9640
G3_TIGHT,REFUSED,0,2.0160,2.1991,1.1165,-0.1832,0.8995,1.0,41,28,13,891,637,3,19,ok,19.5143,5.0629,19.3879,4.6486
G4_OFF_AXIS,REFUSED,0,1.8003,0.5992,0.7636,1.2011,1.0367,1.0,48,32,16,1280,1018,3,17,ok,20.4693,4.6486,19.9286,4.2343
