opaque_id,frame_key,card,card_sha256,native_sha256,card_width,card_height,native_scale
G387_001,9sq-YMlIo9Q_s2346:000040,G387_001.jpg,8ade69cb2a3ea38b8b4e1aed3c8463733bd56a76fcda42fda19151f3e0e12a58,80d9748c7cf3de81b42afdc83f9aeb2d78dec0bb482a1e529f3e4f30cc19d903,1920,1080,1.0
G387_002,9sq-YMlIo9Q_s2346:002003,G387_002.jpg,5739b657df956b40215147e034b94cb196ce8199c1474fb663748293aee9c2ba,a49cde1512374246b403da7bc85fcfab86c88459deb9c14adeae24e905e6a88d,1920,1080,1.0
G387_003,9sq-YMlIo9Q_s2346:002964,G387_003.jpg,7ab15e32df97f9ed0da835dd61e7f532d6f65a1bcc9a0355fbbb8448d1e5461d,362b7052075945816625229c19c24ef3a9cece02fff2ba1413b897f8ad498b43,1920,1080,1.0
G387_004,GtwFiAa1gXI_s3762:001049,G387_004.jpg,716a5090d01e3d975badb6dabae2e975e8f19af8fb63f07a87c4d49cbe53a9e1,2af7576a07b971e018acada551367e26165077406e1870e49c3134335c9ae591,1920,1080,1.0
G387_005,GtwFiAa1gXI_s3762:002984,G387_005.jpg,82416a30074fe5b49723d3b46433986c897a80c49eebfe42f687120298c8361c,ddf223cd3466d086a0dccbb205cd0c7b76d5f89466bd83a005546d830b6e0571,1920,1080,1.0
G387_006,UCVSlzgun0o_s2298:000039,G387_006.jpg,2b0b11caebc8793b39b2085e9f6522b20f76c3e8b67a7fec93da3d5d6fcab2d9,4908d93642b7fe9954d1be586da99cb621f98a820fee37d50dad72081cf33db3,1920,1080,1.0
G387_007,UCVSlzgun0o_s2298:001974,G387_007.jpg,5aa96f301b3a40dff546a8e8b44cc7e27f148b96a6e1df84b36aa266badd799d,17eac1cd6ff4205198310ba5fa999be1fff29236cfe30731ed1043419fae25f5,1920,1080,1.0
G387_008,UCVSlzgun0o_s2298:003909,G387_008.jpg,b82764ab56cc76be80f0ea96425fde8a317577b7973260a87659f7194f93faf9,e99f25ccaf75e960e40d17eebf1e3945b2650d895fffe83bfec2470bccc6f82a,1920,1080,1.0
G387_009,UzaYBYy3GZg_s90:000042,G387_009.jpg,6635038313fdd101e3eae14beabd485d693e1e8d3a76ce8cdbc253f56ea0bcaa,bcc631cf3693c0d639d382a0787e22525d2c541250025c72a34467f3d1ef588a,1920,1080,1.0
G387_010,UzaYBYy3GZg_s90:002097,G387_010.jpg,84ac214fef1e379f6ce38e5a21dcae310daa12e31e54adf46e78003d736e469b,3ff9d023b7694747e4bc5b4b4e71c40cf966cc9780d34d67a7176ee8fff2b81d,1920,1080,1.0
G387_011,X5w3V6rh26s_s1376:000042,G387_011.jpg,ae9ec165cc940db05ca32ba853776b2cb00d32e790e65a18fc4e1c5329441acc,b7aac1e6bedd91f04a2f50c0c48f4d0ced718c955b1e0e2d6087032a09330a8d,1920,1080,1.0
G387_012,X5w3V6rh26s_s1376:001088,G387_012.jpg,8f0a3bda283c118c1741a37fe4a4c615f2609c8a2cb70e66bbfefbcc8b0e9e93,f8881f6022c45d5fa630629c216689fb6bba5fa6b0e0112723db6473eb1a1e3c,1920,1080,1.0
G387_013,X5w3V6rh26s_s1376:003097,G387_013.jpg,0edf3f653a9d1cf27d644ea06fe36b7f2fb19a3e61374cbdf2c1ae113a06bafc,6e6d3c8bdb88b7b5e1ca99ee9882237c3fb4af354331d8cad65eb2e68f38d711,1920,1080,1.0
G387_014,Y1cgaIWW8gk_s2784:001084,G387_014.jpg,8f9bf507327565e5b123896eb88528efb150d5bac72112a3e7b0794e32e88d7d,aa02bc0e373db34265fcd635d57343f8bd715637e3223411e3c80d2e41ab3fbe,1920,1080,1.0
G387_015,Y1cgaIWW8gk_s2784:002085,G387_015.jpg,4b2dc57ea2aff7ee593b545d11018e0cb9354ce6b843409a50ec12630dca1457,a5bc137b2251db375ca11b9df19f4cd17bfec425887bc45366241ecd537803c9,1920,1080,1.0
G387_016,_fl2i6vToTM_s90:000081,G387_016.jpg,bc65b7c98247a93410929ddd0ef1dcd69c6d8cfeeb6b3a54716c9f6a31af96b7,0daedfb478006329e8ec6f123a90b3cc70d854a1f8868bbcfe194d585d461a41,1920,1080,1.0
G387_017,_fl2i6vToTM_s90:002101,G387_017.jpg,e203bcdcc78fd109167a70c9c0bb5a7706be8bdf5dd620573d66ff2b84f64c46,7e35bcf6442e73d11fd704d7735595f1062e732d0433f4273ac0d357e0200c53,1920,1080,1.0
G387_018,_fl2i6vToTM_s90:005978,G387_018.jpg,ead66920c9f0afdb2badf3ad356e62058ac1af3e7bff8c2731a3621daa92c107,97f2410d53de4b8d0200dba2aa65e57f6240160a2e50c493d5ea7843912c477d,1920,1080,1.0
G387_019,i2y-_7B0IUg_s490:001819,G387_019.jpg,cdcdc7bfcf1daaac963fa47b4371a4013d9f70c65b728390298b1299fb985c0c,e0bb258877e6e289f575e09dd929b93f4c8964739a37635dcae162c69e42085c,1920,1080,1.0
G387_020,i2y-_7B0IUg_s490:003498,G387_020.jpg,4f35829a8c18e09a0cce845b1da15ffc8ca6256725d9b011041a8827f815dc83,ad1dff8d21b7938cc873136802c3eff77f8f1da7980145e2ec924813766b8620,1920,1080,1.0
G387_021,iwbowtaIIz8_s90:000068,G387_021.jpg,7e6b671fcb31417cdd62313dc64e1ebb565ff0fbb9d434dd3793d416f5f9b684,dc3c43cf9d081729a169645ddba93527c66c9f8b643c67256fe346e3d62250ec,1920,1080,1.0
G387_022,iwbowtaIIz8_s90:003399,G387_022.jpg,980142b00fdfc0cb8d85dca7e7e3aa2034ad15b6cd57ffb1dfced68d7251b652,169f714f40296bb57094828ee1d2ee52bf2a1925638f73087926adbae7b607b0,1920,1080,1.0
G387_023,iwbowtaIIz8_s90:005031,G387_023.jpg,dbcc3f62553c015ec00b1165c52a1958aa7f4ca4df5d7a8733fe92c71f40ed6f,4b306e902f9c631f2a0421e8a9aa37f4d74788d86060e5454440bbd3e9af389e,1920,1080,1.0
G387_024,qrWmO434a0k_s2804:001084,G387_024.jpg,7666253208c7e11dd655d7bbbf73ba1952d2baa96f3c33cc2e414996e27a2307,e65d0ddeb7aa32a4289566a4bc21bb24c54afd2de52113cd130662b9c2a23af3,1920,1080,1.0
G387_025,qrWmO434a0k_s2804:003086,G387_025.jpg,a4379393eef31fea08fbae4492f374b767a943dd9b536cbeaf00c594cdd67562,c7e637f9d104330c63c406c5af2bc55566f74950dc5916b805224e1a3a95892b,1920,1080,1.0
G387_026,tZeqmc_-_sA_s1332:000040,G387_026.jpg,82764d6d23e4baf39485aa7ad8c8a396ac86c8e8f911d8ef62a4994c5cc061ad,2a0e26946e9adcd0b4ec121122658827d7808491dd627eaa21cc3cb1b3284b71,1920,1080,1.0
G387_027,tZeqmc_-_sA_s1332:002025,G387_027.jpg,0fde36425ecadfeab255c8354788d8f9107408a61e1f7e704f05a8a9335c96b8,d1a155e0d3dd86b042b363a437831d450bedc8e47167842c404c3ea51aa6f045,1920,1080,1.0
