section_identity,measured_class,decoded_pts_count,first_pts,last_pts,sealed_start_pts,sealed_stop_pts,sealed_start_frame,sealed_stop_frame,sealed_source_frames,pod_pts_constant_rate
cba-cW8E3iYZVBI_s5720,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
cba-cW8E3iYZVBI_s90,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
e3E_WApsLV4_s1222,720p30,3901,0.0,130.066667,64.033333,66.033333,1921,1981,60,0
e3E_WApsLV4_s2354,720p30,3901,0.0,130.0,64.0,66.0,1920,1980,60,1
e3E_WApsLV4_s3486,720p30,3901,0.0,130.0,64.0,66.0,1920,1980,60,1
e3E_WApsLV4_s4618,720p30,3901,0.0,130.0,64.0,66.0,1920,1980,60,1
e3E_WApsLV4_s5750,720p30,3901,0.0,130.0,64.0,66.0,1920,1980,60,1
e3E_WApsLV4_s90,720p30,3901,0.0,130.066667,64.033333,66.033333,1921,1981,60,0
euroleague-QmoPpJI7OCI_s10670,720p25,3251,0.0,130.0,64.0,66.0,1600,1651,51,0
euroleague-QmoPpJI7OCI_s2206,720p25,3251,0.0,130.04,64.0,66.0,1600,1650,50,0
euroleague-QmoPpJI7OCI_s4322,720p25,3251,0.0,130.0,64.0,66.0,1600,1650,50,0
euroleague-QmoPpJI7OCI_s6438,720p25,3251,0.0,130.04,64.0,66.0,1600,1650,50,0
euroleague-QmoPpJI7OCI_s8554,720p25,3251,0.0,130.16,64.08,66.08,1602,1652,50,0
euroleague-QmoPpJI7OCI_s90,720p25,3251,0.0,130.04,64.0,66.0,1600,1650,50,0
fiba-6BYeUynVAqI_s1600,1080p30,3901,0.0,130.0,64.0,66.0,1920,1980,60,1
fiba-6BYeUynVAqI_s3110,1080p30,3901,0.0,130.0,64.0,66.0,1920,1980,60,1
fiba-6BYeUynVAqI_s4620,1080p30,3901,0.0,130.0,64.0,66.0,1920,1980,60,1
fiba-6BYeUynVAqI_s6130,1080p30,3901,0.0,130.0,64.0,66.0,1920,1980,60,1
fiba-6BYeUynVAqI_s7640,1080p30,3901,0.0,130.0,64.0,66.0,1920,1980,60,1
fiba-6BYeUynVAqI_s90,1080p30,3901,0.0,130.0,64.0,66.0,1920,1980,60,1
gleague-TUXsofc3mgg_s1771,1080p60,7801,0.0,130.0,64.0,66.0,3840,3960,120,1
gleague-TUXsofc3mgg_s3452,1080p60,7801,0.0,130.066667,64.033333,66.033333,3842,3962,120,0
gleague-TUXsofc3mgg_s5133,1080p60,7801,0.0,130.0,64.0,66.0,3840,3960,120,1
gleague-TUXsofc3mgg_s6814,1080p60,7801,0.0,130.0,64.0,66.0,3840,3960,120,1
gleague-TUXsofc3mgg_s8495,1080p60,7801,0.0,130.0,64.0,66.0,3840,3960,120,1
gleague-TUXsofc3mgg_s90,1080p60,7801,0.0,130.0,64.0,66.0,3840,3960,120,1
gleague-YuLn6qQVEv0_s1254,720p25,3251,0.0,130.0,64.0,66.0,1600,1650,50,1
gleague-YuLn6qQVEv0_s2418,720p25,3251,0.0,130.0,64.0,66.0,1600,1650,50,1
gleague-YuLn6qQVEv0_s3582,720p25,3251,0.0,130.0,64.0,66.0,1600,1650,50,1
gleague-YuLn6qQVEv0_s4746,720p25,3251,0.0,130.08,64.04,66.04,1601,1651,50,0
gleague-YuLn6qQVEv0_s90,720p25,3251,0.0,130.04,64.0,66.0,1600,1650,50,0
gleague-Z9LZwPvEMTU_s1877,1080p60,7801,0.0,130.0,64.0,66.0,3840,3960,120,1
gleague-Z9LZwPvEMTU_s3664,1080p60,7801,0.0,130.05,64.033333,66.033333,3842,3962,120,0
gleague-Z9LZwPvEMTU_s5451,1080p60,7801,0.0,130.0,64.0,66.0,3840,3960,120,1
gleague-Z9LZwPvEMTU_s7238,1080p60,7801,0.0,130.0,64.0,66.0,3840,3960,120,1
gleague-Z9LZwPvEMTU_s90,1080p60,7801,0.0,130.0,64.0,66.0,3840,3960,120,1
gleague-Z9LZwPvEMTU_s9025,1080p60,7801,0.0,130.0,64.0,66.0,3840,3960,120,1
gleague-a0FMMvE3B5k_s1722,1080p60,7801,0.0,130.0,64.0,66.0,3840,3960,120,1
gleague-a0FMMvE3B5k_s3354,1080p60,7801,0.0,130.066667,64.033333,66.033333,3842,3962,120,0
gleague-a0FMMvE3B5k_s4986,1080p60,7801,0.0,130.066667,64.033333,66.033333,3842,3962,120,0
gleague-a0FMMvE3B5k_s6618,1080p60,7801,0.0,130.066667,64.033333,66.033333,3842,3962,120,0
gleague-a0FMMvE3B5k_s8250,1080p60,7801,0.0,130.05,64.033333,66.033333,3842,3962,120,0
gleague-a0FMMvE3B5k_s90,1080p60,7801,0.0,130.0,64.0,66.0,3840,3960,120,1
gleague-cl9uwvP1Fe8_s1659,1080p60,7801,0.0,130.0,64.0,66.0,3840,3960,120,1
gleague-cl9uwvP1Fe8_s3228,1080p60,7801,0.0,130.0,64.0,66.0,3840,3960,120,1
gleague-cl9uwvP1Fe8_s4797,1080p60,7801,0.0,130.0,64.0,66.0,3840,3960,120,1
gleague-cl9uwvP1Fe8_s6366,1080p60,7801,0.0,130.066667,64.033333,66.033333,3842,3962,120,0
gleague-cl9uwvP1Fe8_s7935,1080p60,7801,0.0,130.0,64.0,66.0,3840,3960,120,1
gleague-cl9uwvP1Fe8_s90,1080p60,7801,0.0,130.0,64.0,66.0,3840,3960,120,1
gleague-dd_QSkmUWyU_s1675,1080p30,3901,0.0,130.0,64.0,66.0,1920,1980,60,1
gleague-dd_QSkmUWyU_s3260,1080p30,3901,0.0,130.0,64.0,66.0,1920,1980,60,1
gleague-dd_QSkmUWyU_s4845,1080p30,3901,0.0,130.0,64.0,66.0,1920,1980,60,1
gleague-dd_QSkmUWyU_s6430,1080p30,3901,0.0,130.0,64.0,66.0,1920,1980,60,1
gleague-dd_QSkmUWyU_s8015,1080p30,3901,0.0,130.066667,64.033333,66.033333,1921,1981,60,0
gleague-dd_QSkmUWyU_s90,1080p30,3901,0.0,130.0,64.0,66.0,1920,1980,60,1
gleague-iUn3klfUOkM_s1390,720p30,3897,0.0,130.0299,63.998267,65.998267,1919,1978,59,0
gleague-iUn3klfUOkM_s2690,720p30,3897,0.0,129.996533,63.998267,65.998267,1919,1978,59,1
gleague-iUn3klfUOkM_s3990,720p30,3897,0.0,130.096633,64.031633,66.031633,1920,1979,59,0
gleague-iUn3klfUOkM_s90,720p30,3897,0.0,129.996533,63.998267,65.998267,1919,1978,59,1
gleague-oA9IHkrPNws_s1190,720p60,7793,0.0,130.046578,64.031633,66.031633,3839,3958,119,0
gleague-oA9IHkrPNws_s2290,720p60,7793,0.0,130.046578,64.031633,66.031633,3839,3958,119,0
gleague-oA9IHkrPNws_s3390,720p60,7794,0.0,130.013211,64.014944,66.014944,3838,3957,119,1
gleague-oA9IHkrPNws_s4490,720p60,7794,0.0,130.079944,64.048311,66.048311,3840,3959,119,0
gleague-oA9IHkrPNws_s90,720p60,7793,0.0,130.0299,64.014944,66.014944,3838,3957,119,0
mn5dZWT3HBQ_s1785,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
mn5dZWT3HBQ_s3480,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
mn5dZWT3HBQ_s90,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
