section_identity,requested_format_id,fetch_receipt_status,pod_sha256,pc_sha256,digest_match,probe_agreement,measured_width,measured_height,measured_fps,avg_frame_rate_rational,r_frame_rate_rational,codec_name,itag_consistency,actual_format_id,actual_rendition,format_join_status,measured_class,measured_fps_bin,source_height,source_fps
2nn-umdCxXo_s1162,232,BOUND,691650ec6fe6eff58f3c6373d8f7b905cce09c48bfe2f9409869b30d1d38cb6b,691650ec6fe6eff58f3c6373d8f7b905cce09c48bfe2f9409869b30d1d38cb6b,1,AGREE,1280,720,29.97002997002997,30000/1001,30000/1001,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,720p30,30,720,29.97002997002997
2nn-umdCxXo_s2234,232,BOUND,e34b7a57e5cae7e156fb8dbf8bc8703762fe4be95c0014c2deb1fa06343b1072,e34b7a57e5cae7e156fb8dbf8bc8703762fe4be95c0014c2deb1fa06343b1072,1,AGREE,1280,720,29.97002997002997,30000/1001,30000/1001,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,720p30,30,720,29.97002997002997
2nn-umdCxXo_s3306,232,BOUND,fac24843ca9e865765a871bef4b5e643a93626ec919a10070d0d184d7ecc32a4,fac24843ca9e865765a871bef4b5e643a93626ec919a10070d0d184d7ecc32a4,1,AGREE,1280,720,29.97002997002997,30000/1001,30000/1001,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,720p30,30,720,29.97002997002997
2nn-umdCxXo_s4378,232,BOUND,d7d7ca1e420a74366fa60ce0218aff1abca0457e2daac4fc5fae01d8e491a3ef,d7d7ca1e420a74366fa60ce0218aff1abca0457e2daac4fc5fae01d8e491a3ef,1,AGREE,1280,720,29.97002997002997,30000/1001,30000/1001,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,720p30,30,720,29.97002997002997
2nn-umdCxXo_s5450,232,BOUND,8dd3b08160c68619da3e3bdf929b4bec401873c6f7671f6dcdc3dc7b17e9f794,8dd3b08160c68619da3e3bdf929b4bec401873c6f7671f6dcdc3dc7b17e9f794,1,AGREE,1280,720,29.97002997002997,30000/1001,30000/1001,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,720p30,30,720,29.97002997002997
2nn-umdCxXo_s90,232,BOUND,d780f4f86dc1720b3c7ce26bf3fbd252a047bd93303ba548c4092979580f1613,d780f4f86dc1720b3c7ce26bf3fbd252a047bd93303ba548c4092979580f1613,1,AGREE,1280,720,29.97002997002997,30000/1001,30000/1001,h264,CONSISTENT,,UNRESOLVED,UNRESOLVED,720p30,30,720,29.97002997002997
HnNYinCzPFU_s1413,270,BOUND,33a82e766df59806212b58e400fee507fed3f94a6d0936c6740b631559755fcc,33a82e766df59806212b58e400fee507fed3f94a6d0936c6740b631559755fcc,1,AGREE,1280,720,30.0,30/1,30/1,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p30,30,720,30.0
HnNYinCzPFU_s2736,270,BOUND,21a487ca1ef08a1e3eda4e6206047d3aba03ff1b894cfe78307465cc294e00a6,21a487ca1ef08a1e3eda4e6206047d3aba03ff1b894cfe78307465cc294e00a6,1,AGREE,1280,720,30.0,30/1,30/1,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p30,30,720,30.0
HnNYinCzPFU_s90,270,BOUND,ccf32b238daaefcf09a3b5ef41916f4d8e984506ae7f6ef2e6d653df80bcc17b,ccf32b238daaefcf09a3b5ef41916f4d8e984506ae7f6ef2e6d653df80bcc17b,1,AGREE,1280,720,30.0,30/1,30/1,h264,MISMATCH_RESOLUTION,,UNRESOLVED,UNRESOLVED,720p30,30,720,30.0
I33o9UnUe1A_s1505,270,BOUND,PRUNED,UNKNOWN,0,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN_MEASUREMENT,,UNRESOLVED,UNRESOLVED,UNKNOWN,UNKNOWN,720,30.0
