measured_class,ordinal,section_identity,card_kind,card,class_decision_set,cards_for_class
1080p30,0,fiba-6BYeUynVAqI_s1600,NATIVE_FRAME,1080p30__00__fiba-6BYeUynVAqI_s1600.jpg,22,22
1080p30,1,fiba-6BYeUynVAqI_s3110,NATIVE_FRAME,1080p30__01__fiba-6BYeUynVAqI_s3110.jpg,22,22
1080p30,2,fiba-6BYeUynVAqI_s4620,NATIVE_FRAME,1080p30__02__fiba-6BYeUynVAqI_s4620.jpg,22,22
1080p30,3,fiba-6BYeUynVAqI_s6130,NATIVE_FRAME,1080p30__03__fiba-6BYeUynVAqI_s6130.jpg,22,22
1080p30,4,fiba-6BYeUynVAqI_s7640,NATIVE_FRAME,1080p30__04__fiba-6BYeUynVAqI_s7640.jpg,22,22
1080p30,5,fiba-6BYeUynVAqI_s90,NATIVE_FRAME,1080p30__05__fiba-6BYeUynVAqI_s90.jpg,22,22
1080p30,6,cba-Dys4JeucBBk_s1533,NATIVE_FRAME,1080p30__06__cba-Dys4JeucBBk_s1533.jpg,22,22
1080p30,7,cba-Dys4JeucBBk_s2976,NATIVE_FRAME,1080p30__07__cba-Dys4JeucBBk_s2976.jpg,22,22
1080p30,8,cba-Dys4JeucBBk_s4419,NATIVE_FRAME,1080p30__08__cba-Dys4JeucBBk_s4419.jpg,22,22
1080p30,9,cba-Dys4JeucBBk_s5862,NATIVE_FRAME,1080p30__09__cba-Dys4JeucBBk_s5862.jpg,22,22
1080p30,10,cba-Dys4JeucBBk_s7305,NATIVE_FRAME,1080p30__10__cba-Dys4JeucBBk_s7305.jpg,22,22
1080p30,11,cba-Dys4JeucBBk_s90,NATIVE_FRAME,1080p30__11__cba-Dys4JeucBBk_s90.jpg,22,22
1080p30,12,gleague-dd_QSkmUWyU_s1675,NATIVE_FRAME,1080p30__12__gleague-dd_QSkmUWyU_s1675.jpg,22,22
1080p30,13,gleague-dd_QSkmUWyU_s3260,NATIVE_FRAME,1080p30__13__gleague-dd_QSkmUWyU_s3260.jpg,22,22
1080p30,14,gleague-dd_QSkmUWyU_s4845,NATIVE_FRAME,1080p30__14__gleague-dd_QSkmUWyU_s4845.jpg,22,22
1080p30,15,gleague-dd_QSkmUWyU_s6430,NATIVE_FRAME,1080p30__15__gleague-dd_QSkmUWyU_s6430.jpg,22,22
1080p30,16,gleague-dd_QSkmUWyU_s8015,NATIVE_FRAME,1080p30__16__gleague-dd_QSkmUWyU_s8015.jpg,22,22
1080p30,17,gleague-dd_QSkmUWyU_s90,NATIVE_FRAME,1080p30__17__gleague-dd_QSkmUWyU_s90.jpg,22,22
1080p30,18,a2pEHm9YzFo_s1501,NATIVE_FRAME,1080p30__18__a2pEHm9YzFo_s1501.jpg,22,22
1080p30,19,a2pEHm9YzFo_s2912,NATIVE_FRAME,1080p30__19__a2pEHm9YzFo_s2912.jpg,22,22
1080p30,20,a2pEHm9YzFo_s4323,NATIVE_FRAME,1080p30__20__a2pEHm9YzFo_s4323.jpg,22,22
1080p30,21,a2pEHm9YzFo_s90,NATIVE_FRAME,1080p30__21__a2pEHm9YzFo_s90.jpg,22,22
1080p60,0,gleague-TUXsofc3mgg_s1771,NATIVE_FRAME,1080p60__00__gleague-TUXsofc3mgg_s1771.jpg,24,24
1080p60,1,gleague-TUXsofc3mgg_s3452,NATIVE_FRAME,1080p60__01__gleague-TUXsofc3mgg_s3452.jpg,24,24
1080p60,2,gleague-TUXsofc3mgg_s5133,NATIVE_FRAME,1080p60__02__gleague-TUXsofc3mgg_s5133.jpg,24,24
1080p60,3,gleague-TUXsofc3mgg_s6814,NATIVE_FRAME,1080p60__03__gleague-TUXsofc3mgg_s6814.jpg,24,24
1080p60,4,gleague-TUXsofc3mgg_s8495,NATIVE_FRAME,1080p60__04__gleague-TUXsofc3mgg_s8495.jpg,24,24
1080p60,5,gleague-TUXsofc3mgg_s90,NATIVE_FRAME,1080p60__05__gleague-TUXsofc3mgg_s90.jpg,24,24
1080p60,6,gleague-Z9LZwPvEMTU_s1877,NATIVE_FRAME,1080p60__06__gleague-Z9LZwPvEMTU_s1877.jpg,24,24
1080p60,7,gleague-Z9LZwPvEMTU_s3664,NATIVE_FRAME,1080p60__07__gleague-Z9LZwPvEMTU_s3664.jpg,24,24
1080p60,8,gleague-Z9LZwPvEMTU_s5451,NATIVE_FRAME,1080p60__08__gleague-Z9LZwPvEMTU_s5451.jpg,24,24
1080p60,9,gleague-Z9LZwPvEMTU_s7238,NATIVE_FRAME,1080p60__09__gleague-Z9LZwPvEMTU_s7238.jpg,24,24
1080p60,10,gleague-Z9LZwPvEMTU_s90,NATIVE_FRAME,1080p60__10__gleague-Z9LZwPvEMTU_s90.jpg,24,24
1080p60,11,gleague-Z9LZwPvEMTU_s9025,NATIVE_FRAME,1080p60__11__gleague-Z9LZwPvEMTU_s9025.jpg,24,24
1080p60,12,gleague-a0FMMvE3B5k_s1722,NATIVE_FRAME,1080p60__12__gleague-a0FMMvE3B5k_s1722.jpg,24,24
1080p60,13,gleague-a0FMMvE3B5k_s3354,NATIVE_FRAME,1080p60__13__gleague-a0FMMvE3B5k_s3354.jpg,24,24
1080p60,14,gleague-a0FMMvE3B5k_s4986,NATIVE_FRAME,1080p60__14__gleague-a0FMMvE3B5k_s4986.jpg,24,24
1080p60,15,gleague-a0FMMvE3B5k_s6618,NATIVE_FRAME,1080p60__15__gleague-a0FMMvE3B5k_s6618.jpg,24,24
