draw_j,source_name,frame_index,kind,previous_pts_s,pts_s,step_s,native_interval_s,dropped_ordinal
0,basketball__acb-jHcR5UxPGuE_s90.mp4,7800,dropped,129.983333,130.016667,0.033334,0.016667,1
2,nba__1rZZ_7buX_Y_s5474.mp4,140,duplicate,2.320644,2.320656,0.000012,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,142,dropped,2.337344,2.370733,0.033389,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,444,duplicate,7.396022,7.396033,0.000011,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,446,dropped,7.412722,7.446122,0.033400,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,748,duplicate,12.471400,12.471411,0.000011,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,753,dropped,12.538189,12.571589,0.033400,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,1052,duplicate,17.546789,17.546789,0.000000,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,1057,dropped,17.613567,17.646967,0.033400,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,1356,duplicate,22.622167,22.622167,0.000000,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,1359,dropped,22.655556,22.688956,0.033400,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,1660,duplicate,27.697544,27.697544,0.000000,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,1662,dropped,27.714244,27.747633,0.033389,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,1964,duplicate,32.772922,32.772933,0.000011,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,1969,dropped,32.839711,32.873100,0.033389,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,2268,duplicate,37.848300,37.848311,0.000011,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,2269,dropped,37.848311,37.881700,0.033389,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,2572,duplicate,42.923678,42.923689,0.000011,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,2573,dropped,42.923689,42.957078,0.033389,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,2876,duplicate,47.999056,47.999067,0.000011,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,2877,dropped,47.999067,48.032456,0.033389,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,3180,duplicate,53.074444,53.074444,0.000000,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,3181,dropped,53.074444,53.107833,0.033389,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,3484,duplicate,58.149822,58.149822,0.000000,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,3488,dropped,58.199911,58.233300,0.033389,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,3788,duplicate,63.225200,63.225200,0.000000,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,3792,dropped,63.275289,63.308678,0.033389,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,4092,duplicate,68.300578,68.300589,0.000011,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,4097,dropped,68.367367,68.400756,0.033389,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,4396,duplicate,73.375956,73.375967,0.000011,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,4401,dropped,73.442744,73.476133,0.033389,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,4700,duplicate,78.451333,78.451344,0.000011,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,4705,dropped,78.518122,78.551511,0.033389,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,5004,duplicate,83.526722,83.526722,0.000000,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,5009,dropped,83.593500,83.626900,0.033400,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,5308,duplicate,88.602100,88.602100,0.000000,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,5313,dropped,88.668889,88.702278,0.033389,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,5612,duplicate,93.677478,93.677478,0.000000,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,5617,dropped,93.744267,93.777656,0.033389,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,5916,duplicate,98.752856,98.752867,0.000011,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,5921,dropped,98.819644,98.853033,0.033389,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,6220,duplicate,103.828233,103.828244,0.000011,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,6225,dropped,103.895022,103.928411,0.033389,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,6524,duplicate,108.903611,108.903622,0.000011,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,6529,dropped,108.970400,109.003789,0.033389,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,6828,duplicate,113.978989,113.979000,0.000011,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,6829,dropped,113.979000,114.012389,0.033389,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,7132,duplicate,119.054378,119.054378,0.000000,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,7137,dropped,119.121156,119.154556,0.033400,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,7436,duplicate,124.129756,124.129756,0.000000,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,7438,dropped,124.146456,124.179844,0.033388,0.016683,1
2,nba__1rZZ_7buX_Y_s5474.mp4,7740,duplicate,129.205133,129.205133,0.000000,0.016683,
2,nba__1rZZ_7buX_Y_s5474.mp4,7741,dropped,129.205133,129.238533,0.033400,0.016683,1
3,nba__3gBeJyl7Szg_s1196.mp4,121,duplicate,2.000000,2.000000,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,122,dropped,2.000000,2.033333,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,248,duplicate,4.116667,4.116667,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,250,dropped,4.133333,4.166667,0.033334,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,289,duplicate,4.800000,4.800000,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,293,dropped,4.850000,4.883333,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,593,duplicate,9.866667,9.866667,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,599,dropped,9.950000,9.983333,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,897,duplicate,14.933333,14.933333,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,901,dropped,14.983333,15.016667,0.033334,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,1201,duplicate,20.000000,20.000000,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,1203,dropped,20.016667,20.050000,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,1505,duplicate,25.066667,25.066667,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,1506,dropped,25.066667,25.100000,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,1809,duplicate,30.133333,30.133333,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,1811,dropped,30.150000,30.183333,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,2113,duplicate,35.200000,35.200000,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,2117,dropped,35.250000,35.283333,0.033333,0.016667,1
3,nba__3gBeJyl7Szg_s1196.mp4,2145,duplicate,35.733333,35.733333,0.000000,0.016667,
3,nba__3gBeJyl7Szg_s1196.mp4,2150,dropped,35.800000,35.833333,0.033333,0.016667,1
