frame,evaluated,status,calibration_provenance,emitted_player_rows,camera_lock_id,fresh_solve_count,drift_residual_px,drift_evidence_count
147,True,calibration_unavailable,unavailable,0,34,1,,0
148,True,calibration_unavailable,unavailable,0,34,1,,0
149,True,calibration_unavailable,unavailable,0,34,1,,0
150,True,calibration_unavailable,unavailable,0,35,0,,0
151,True,calibration_unavailable,unavailable,0,36,0,,0
152,True,calibration_unavailable,unavailable,0,37,0,,0
153,True,calibration_unavailable,unavailable,0,38,0,,0
154,True,calibration_unavailable,unavailable,0,39,0,,0
155,True,calibration_unavailable,unavailable,0,39,0,,0
156,True,calibration_unavailable,unavailable,0,39,0,,0
157,True,calibration_unavailable,unavailable,0,39,0,,0
158,True,calibration_unavailable,unavailable,0,40,0,,0
159,True,calibration_unavailable,unavailable,0,40,0,,0
160,True,calibration_unavailable,unavailable,0,40,0,,0
161,True,calibration_unavailable,unavailable,0,40,0,,0
162,True,calibration_unavailable,unavailable,0,40,0,,0
163,True,calibration_unavailable,unavailable,0,40,0,,0
164,True,calibration_unavailable,unavailable,0,41,0,,0
165,True,calibration_unavailable,unavailable,0,41,0,,0
166,True,calibration_unavailable,unavailable,0,41,0,,0
167,True,calibration_unavailable,unavailable,0,42,0,,0
168,True,emitted_players,solved,2,42,1,0.0,4
169,True,calibration_unavailable,unavailable,0,42,1,,0
170,True,emitted_players,solved,2,42,2,0.0,4
171,True,calibration_unavailable,unavailable,0,43,0,,0
172,True,calibration_unavailable,unavailable,0,44,0,,0
173,True,calibration_unavailable,unavailable,0,44,0,,0
174,True,calibration_unavailable,unavailable,0,44,0,,0
175,True,calibration_unavailable,unavailable,0,45,0,,0
176,True,calibration_unavailable,unavailable,0,45,0,,0
177,True,calibration_unavailable,unavailable,0,45,0,,0
178,True,calibration_unavailable,unavailable,0,45,0,,0
179,True,calibration_unavailable,unavailable,0,45,0,,0
180,True,calibration_unavailable,unavailable,0,45,0,,0
181,True,calibration_unavailable,unavailable,0,45,0,,0
182,True,calibration_unavailable,unavailable,0,45,0,,0
183,True,calibration_unavailable,unavailable,0,45,0,,0
184,True,calibration_unavailable,unavailable,0,45,0,,0
185,True,calibration_unavailable,unavailable,0,45,0,,0
186,True,calibration_unavailable,unavailable,0,45,0,,0
187,True,calibration_unavailable,unavailable,0,45,0,,0
188,True,calibration_unavailable,unavailable,0,46,0,,0
189,True,calibration_unavailable,unavailable,0,46,0,,0
190,True,calibration_unavailable,unavailable,0,47,0,,0
191,True,emitted_players,solved,2,47,1,0.0,4
192,True,calibration_unavailable,unavailable,0,47,1,,0
193,True,calibration_unavailable,unavailable,0,47,1,,0
194,True,calibration_unavailable,unavailable,0,47,1,,0
