source_row,frame,track_id,bbox_x1,bbox_y1,bbox_x2,bbox_y2,geometry_evaluable,off_frame,off_frame_reasons
1,1710,4,-2.0,193.0,128.0,433.0,True,True,x_min_lt_0
2,1710,5,698.0,147.0,835.0,307.0,True,False,
3,1716,4,-6.0,196.0,125.0,433.0,True,True,x_min_lt_0
4,1716,5,702.0,144.0,838.0,304.0,True,False,
5,1722,4,-6.0,198.0,125.0,433.0,True,True,x_min_lt_0
6,1722,5,712.0,146.0,839.0,301.0,True,False,
7,1728,4,-6.0,197.0,125.0,433.0,True,True,x_min_lt_0
8,1728,5,725.0,150.0,840.0,295.0,True,False,
9,1734,5,602.0,-15.0,1155.0,666.0,True,True,y_min_lt_0
10,1734,6,979.0,129.0,1065.0,287.0,True,False,
11,1734,8,1224.0,248.0,1295.0,390.0,True,True,x_max_gt_width
12,1734,9,655.0,231.0,750.0,334.0,True,False,
13,1740,5,602.0,-15.0,1160.0,666.0,True,True,y_min_lt_0
14,1740,6,991.0,136.0,1086.0,282.0,True,False,
15,1740,9,662.0,216.0,749.0,318.0,True,False,
16,1740,10,999.0,116.0,1234.0,567.0,True,False,
17,1746,5,608.0,-14.0,1171.0,667.0,True,True,y_min_lt_0
18,1746,6,1001.0,126.0,1104.0,284.0,True,False,
19,1746,9,653.0,216.0,750.0,320.0,True,False,
20,1746,10,1005.0,112.0,1237.0,548.0,True,False,
21,1752,2,1011.0,113.0,1247.0,493.0,True,False,
22,1752,6,1008.0,125.0,1118.0,282.0,True,False,
23,1752,9,649.0,179.0,739.0,321.0,True,False,
24,1752,10,1011.0,112.0,1245.0,656.0,True,False,
25,1758,6,1000.0,125.0,1123.0,299.0,True,False,
26,1758,9,656.0,188.0,749.0,324.0,True,False,
27,1758,10,1024.0,111.0,1263.0,663.0,True,False,
28,1758,2,1128.6969,57.861023,1447.7401,537.72766,True,True,x_max_gt_width
29,1764,9,660.0,181.0,758.0,365.0,True,False,
30,1764,10,1041.0,109.0,1279.0,668.0,True,False,
31,1764,2,1324.922,51.34778,1643.9652,531.2144,True,True,x_max_gt_width
32,1770,9,668.0,173.0,765.0,365.0,True,False,
33,1770,10,1058.0,111.0,1293.0,668.0,True,True,x_max_gt_width
34,1770,2,1521.1471,44.834534,1840.1903,524.7012,True,True,x_max_gt_width
35,1776,1,635.0,-13.0,1191.0,666.0,True,True,y_min_lt_0
36,1776,10,1100.0,117.0,1294.0,669.0,True,True,x_max_gt_width
37,1782,10,1124.0,125.0,1294.0,671.0,True,True,x_max_gt_width
38,1782,1,640.2086,-13.00766,1195.842,666.38745,True,True,y_min_lt_0
39,1782,9,677.8477,189.16496,773.9173,363.6513,True,False,
40,1788,9,685.0,183.0,819.0,325.0,True,False,
41,1788,10,1148.0,122.0,1295.0,670.0,True,True,x_max_gt_width
42,1788,1,645.5129,-12.799316,1201.1462,666.5958,True,True,y_min_lt_0
43,1794,4,1011.0,128.0,1123.0,317.0,True,False,
44,1794,9,689.0,183.0,816.0,323.0,True,False,
45,1794,10,1165.0,125.0,1294.0,669.0,True,True,x_max_gt_width
46,1800,8,-3.0,199.0,123.0,431.0,True,True,x_min_lt_0
47,1800,9,694.0,181.0,811.0,322.0,True,False,
48,1800,4,1133.5184,112.93355,1248.4379,309.38928,True,False,
49,1806,8,-4.0,198.0,116.0,433.0,True,True,x_min_lt_0
50,1806,9,695.0,182.0,810.0,321.0,True,False,
51,1806,4,1261.2603,101.25319,1376.1797,297.70892,True,True,x_max_gt_width
52,1812,1,699.0,-4.0,1172.0,667.0,True,True,y_min_lt_0
53,1812,8,-6.0,198.0,113.0,433.0,True,True,x_min_lt_0
54,1812,9,697.1608,178.61618,814.96173,319.8127,True,False,
55,1818,8,2.0,190.0,135.0,428.0,True,False,
56,1818,1,694.12994,-3.9960938,1184.2778,668.74603,True,True,y_min_lt_0
57,1818,9,699.0211,177.12656,816.822,318.3231,True,False,
58,1824,3,1225.0,183.0,1295.0,497.0,True,True,x_max_gt_width
59,1824,8,0.0,199.0,130.0,429.0,True,False,
60,1824,9,700.8814,175.63693,818.6823,316.83347,True,False,
61,1830,9,728.0,152.0,851.0,417.0,True,False,
62,1830,3,1225.0,183.0,1295.0,497.0,True,True,x_max_gt_width
63,1836,10,5.0,173.0,136.0,434.0,True,False,
64,1836,3,1225.0,183.0,1295.0,497.0,True,True,x_max_gt_width
65,1842,5,1161.0,126.0,1289.0,397.0,True,True,x_max_gt_width
66,1842,10,1.0,166.0,136.0,436.0,True,False,
67,1848,7,202.0,-14.0,704.0,665.0,True,True,y_min_lt_0
68,1848,9,693.0,109.0,840.0,418.0,True,False,
69,1848,5,1161.0,126.0,1289.0,397.0,True,True,x_max_gt_width
70,1854,2,614.0,-2.0,1123.0,668.0,True,True,y_min_lt_0
71,1854,6,993.0,142.0,1117.0,358.0,True,False,
72,1854,7,195.0,-15.0,693.0,668.0,True,True,y_min_lt_0
73,1860,10,618.0,-5.0,1121.0,667.0,True,True,y_min_lt_0
74,1860,2,614.0,-2.0,1123.0,668.0,True,True,y_min_lt_0
75,1866,1,624.0,-4.0,1117.0,667.0,True,True,y_min_lt_0
76,1866,10,1083.0,184.0,1252.0,449.0,True,False,
77,1872,10,1.0,182.0,128.0,435.0,True,False,
78,1872,1,661.90015,40.122284,1070.1462,624.8395,True,False,
79,1878,10,-1.0,175.0,133.0,435.0,True,True,x_min_lt_0
80,1878,1,677.8842,53.433655,1086.1304,638.1509,True,False,
81,1884,3,1225.0,162.0,1294.0,390.0,True,True,x_max_gt_width
82,1884,9,623.0,-1.0,1112.0,667.0,True,True,y_min_lt_0
83,1890,7,582.0,178.0,710.0,452.0,True,False,
84,1890,9,669.0,98.0,832.0,489.0,True,False,
85,1890,1,608.5711,45.15213,839.95624,443.17398,True,False,
86,1896,7,586.0,180.0,709.0,453.0,True,False,
87,1896,9,664.0,102.0,827.0,526.0,True,False,
88,1896,1,580.1601,28.450806,811.5452,426.47266,True,False,
89,1902,1,666.0,104.0,813.0,417.0,True,False,
90,1902,7,593.0,176.0,711.0,454.0,True,False,
91,1902,9,661.0,104.0,811.0,523.0,True,False,
92,1908,7,593.0,178.0,712.0,477.0,True,False,
93,1908,9,660.0,108.0,811.0,504.0,True,False,
94,1908,1,641.152,85.5479,814.69165,425.28778,True,False,
95,1914,7,591.0,179.0,711.0,454.0,True,False,
96,1914,9,655.0,111.0,814.0,510.0,True,False,
97,1914,1,633.63513,83.269165,807.1748,423.00903,True,False,
98,1920,1,662.0,106.0,811.0,394.0,True,False,
99,1920,7,599.0,177.0,714.0,458.0,True,False,
100,1920,9,659.0,109.0,814.0,506.0,True,False,
101,1926,7,611.0,176.0,714.0,467.0,True,False,
102,1926,9,664.0,112.0,809.0,461.0,True,False,
103,1926,1,656.156,95.39879,812.8596,399.6411,True,False,
104,1932,7,615.0,177.0,715.0,470.0,True,False,
105,1932,9,668.0,110.0,813.0,469.0,True,False,
106,1932,1,655.4884,92.87048,812.1919,397.11282,True,False,
107,1938,7,613.0,178.0,711.0,462.0,True,False,
108,1938,9,660.0,113.0,809.0,477.0,True,False,
109,1938,1,654.8207,90.34218,811.5243,394.58453,True,False,
110,1944,9,663.0,115.0,825.0,486.0,True,False,
111,1944,7,613.2983,177.34598,715.61176,464.9056,True,False,
112,1944,1,654.1531,87.81387,810.85657,392.0562,True,False,
113,1950,6,987.0,134.0,1122.0,380.0,True,False,
114,1950,7,614.1254,177.354,716.4389,464.91364,True,False,
115,1950,1,653.48535,85.28557,810.18896,389.5279,True,False,
116,1956,6,987.0,134.0,1122.0,380.0,True,False,
117,1956,1,652.81775,82.75726,809.52124,386.9996,True,False,
118,1962,6,987.0,134.0,1122.0,380.0,True,False,
119,1962,1,652.15,80.22896,808.85364,384.4713,True,False,
120,1968,6,989.0,129.0,1118.0,368.0,True,False,
121,1968,7,608.0,119.0,821.0,509.0,True,False,
122,1968,1,651.4824,77.70065,808.1859,381.943,True,False,
123,1974,7,590.0,116.0,805.0,518.0,True,False,
124,1974,6,988.4695,126.250946,1117.9495,365.81094,True,False,
125,1974,9,676.3501,124.47945,831.6727,492.73505,True,False,
126,1980,7,578.0,105.0,793.0,525.0,True,False,
127,1980,6,988.16943,123.70094,1117.6494,363.26093,True,False,
128,1980,9,678.7762,126.609055,834.0988,494.86462,True,False,
129,1986,7,578.0,119.0,780.0,519.0,True,False,
130,1986,6,987.8694,121.15094,1117.3494,360.71094,True,False,
131,1992,7,572.0,119.0,768.0,446.0,True,False,
132,1992,6,987.56934,118.60094,1117.0493,358.16095,True,False,
133,1992,9,683.62836,130.86827,838.951,499.12384,True,False,
134,1998,7,572.0,118.0,765.0,435.0,True,False,
135,2004,7,573.0,118.0,758.0,367.0,True,False,
136,2010,7,579.0,120.0,753.0,326.0,True,False,
137,2016,7,581.0,119.0,748.0,321.0,True,False,
138,2022,7,588.0,118.0,745.0,313.0,True,False,
139,2028,7,591.0,93.0,744.0,311.0,True,False,
140,2034,7,256.0,-9.0,740.0,666.0,True,True,y_min_lt_0
141,2034,9,594.0,119.0,747.0,311.0,True,False,
142,2040,9,601.0,118.0,750.0,316.0,True,False,
143,2040,7,320.20016,110.38605,641.92285,555.0429,True,False,
144,2046,7,249.0,-10.0,735.0,666.0,True,True,y_min_lt_0
145,2046,9,605.0,119.0,754.0,330.0,True,False,
146,2052,7,245.0,-9.0,734.0,667.0,True,True,y_min_lt_0
147,2052,9,607.0,118.0,756.0,381.0,True,False,
148,2058,7,239.0,-10.0,731.0,667.0,True,True,y_min_lt_0
149,2058,9,608.0,117.0,756.0,384.0,True,False,
150,2064,9,601.0,119.0,768.0,392.0,True,False,
151,2064,7,228.99037,13.260254,703.34076,667.9927,True,False,
152,2070,9,567.0,120.0,808.0,376.0,True,False,
153,2076,1,977.0,100.0,1143.0,369.0,True,False,
154,2076,9,589.8221,124.61034,789.2424,383.70972,True,False,
155,2082,1,977.0,100.0,1143.0,369.0,True,False,
156,2082,9,592.1201,126.43918,791.5404,385.53857,True,False,
157,2088,9,572.0,120.0,761.0,367.0,True,False,
158,2088,1,977.0,100.0,1143.0,369.0,True,False,
159,2094,6,674.0,103.0,799.0,321.0,True,False,
160,2094,9,585.0,108.0,732.0,431.0,True,False,
161,2094,1,977.0,100.0,1143.0,369.0,True,False,
162,2100,9,585.0,107.0,752.0,430.0,True,False,
163,2100,6,674.0,103.0,799.0,321.0,True,False,
164,2100,1,977.0,100.0,1143.0,369.0,True,False,
165,2106,9,576.0,108.0,738.0,380.0,True,False,
166,2106,6,674.0,103.0,799.0,321.0,True,False,
167,2106,1,977.0,100.0,1143.0,369.0,True,False,
168,2112,9,565.0,109.0,735.0,519.0,True,False,
169,2112,6,674.0,103.0,799.0,321.0,True,False,
170,2112,1,977.0,100.0,1143.0,369.0,True,False,
171,2118,9,558.0,123.0,729.0,552.0,True,False,
172,2118,6,674.0,103.0,799.0,321.0,True,False,
173,2118,1,977.0,100.0,1143.0,369.0,True,False,
174,2124,9,576.0,122.0,727.0,524.0,True,False,
175,2124,2,636.0,110.0,752.0,421.0,True,False,
176,2124,6,674.0,103.0,799.0,321.0,True,False,
177,2130,1,1008.0,125.0,1138.0,375.0,True,False,
178,2130,9,558.0,123.0,725.0,544.0,True,False,
179,2130,6,674.0,103.0,799.0,321.0,True,False,
180,2136,9,559.0,123.0,725.0,561.0,True,False,
181,2136,1,1008.33844,126.17524,1140.661,377.40106,True,False,
182,2136,6,674.0,103.0,799.0,321.0,True,False,
183,2142,9,560.0,122.0,730.0,558.0,True,False,
184,2142,1,1009.85223,127.980095,1142.1748,379.2059,True,False,
185,2142,6,674.0,103.0,799.0,321.0,True,False,
186,2148,9,563.0,124.0,730.0,533.0,True,False,
187,2148,2,636.0,110.0,752.0,421.0,True,False,
188,2154,9,568.0,125.0,730.0,538.0,True,False,
189,2160,7,967.0,125.0,1141.0,409.0,True,False,
190,2160,9,572.0,103.0,730.0,531.0,True,False,
191,2160,1,1014.3936,133.39462,1146.7162,384.62045,True,False,
192,2166,1,965.0,125.0,1138.0,393.0,True,False,
193,2166,9,572.0,124.0,732.0,546.0,True,False,
194,2166,7,967.0,125.0,1141.0,409.0,True,False,
195,2172,7,997.0,125.0,1137.0,387.0,True,False,
196,2172,9,593.0,126.0,743.0,551.0,True,False,
197,2172,1,965.25336,128.18515,1130.0115,392.78647,True,False,
198,2178,7,1006.0,124.0,1134.0,380.0,True,False,
199,2178,9,600.0,126.0,750.0,549.0,True,False,
200,2178,1,961.08954,129.65338,1125.8477,394.2547,True,False,
201,2184,6,526.0,157.0,641.0,329.0,True,False,
202,2184,9,598.0,126.0,752.0,544.0,True,False,
203,2184,7,1007.31006,118.116745,1141.448,377.35815,True,False,
204,2184,1,956.9257,131.12161,1121.6838,395.72293,True,False,
205,2190,6,524.0,156.0,641.0,330.0,True,False,
206,2190,7,1017.0,126.0,1126.0,402.0,True,False,
207,2190,9,592.0,126.0,755.0,549.0,True,False,
208,2190,1,952.7619,132.58984,1117.52,397.19116,True,False,
209,2196,9,594.0,126.0,759.0,547.0,True,False,
210,2196,6,523.6684,156.08696,640.49445,329.91302,True,False,
211,2196,1,948.5981,134.05807,1113.3562,398.6594,True,False,
212,2202,9,594.0,126.0,760.0,545.0,True,False,
213,2202,6,523.2033,156.08696,640.02936,329.91302,True,False,
214,2202,1,944.43427,135.5263,1109.1924,400.12762,True,False,
215,2208,6,537.0,156.0,642.0,327.0,True,False,
216,2208,9,596.0,126.0,759.0,550.0,True,False,
217,2208,1,940.2704,136.99454,1105.0286,401.59586,True,False,
218,2214,6,542.0,161.0,639.0,321.0,True,False,
219,2214,9,600.0,127.0,755.0,545.0,True,False,
220,2220,6,545.0,163.0,644.0,312.0,True,False,
221,2220,9,601.0,126.0,746.0,548.0,True,False,
222,2226,9,580.0,126.0,746.0,551.0,True,False,
223,2226,6,546.276,158.1517,646.8368,315.14395,True,False,
224,2232,6,953.0,38.0,1149.0,391.0,True,False,
225,2232,9,586.0,128.0,747.0,555.0,True,False,
226,2238,9,586.0,131.0,751.0,510.0,True,False,
227,2238,6,1077.1042,70.76729,1235.1028,345.7218,True,False,
228,2244,2,288.0,-14.0,1248.0,669.0,True,True,y_min_lt_0
229,2244,9,585.0387,118.83191,747.551,520.8351,True,False,
230,2244,8,574.5469,114.00406,680.8081,415.49954,True,False,
231,2250,9,570.0,328.0,675.0,462.0,True,False,
232,2250,10,312.0,-15.0,1285.0,669.0,True,True,x_max_gt_width;y_min_lt_0
233,2250,2,288.0,-14.0,1248.0,669.0,True,True,y_min_lt_0
234,2256,9,561.0,330.0,679.0,469.0,True,False,
235,2256,10,479.9003,114.02376,1118.8461,582.63916,True,False,
236,2256,2,288.0,-14.0,1248.0,669.0,True,True,y_min_lt_0
237,2262,9,557.0,327.0,684.0,473.0,True,False,
238,2262,10,482.18033,143.47588,1121.1261,612.09125,True,False,
239,2262,2,288.0,-14.0,1248.0,669.0,True,True,y_min_lt_0
240,2268,9,543.0,322.0,694.0,480.0,True,False,
241,2268,10,484.46036,172.928,1123.4061,641.5434,True,False,
242,2268,2,288.0,-14.0,1248.0,669.0,True,True,y_min_lt_0
243,2274,9,543.28644,329.67184,681.27826,491.95352,True,False,
244,2274,2,288.0,-14.0,1248.0,669.0,True,True,y_min_lt_0
245,2280,7,396.0,370.0,552.0,630.0,True,False,
246,2280,9,531.0,323.0,646.0,486.0,True,False,
247,2280,6,2159.5425,11.206299,2317.541,286.16083,True,True,x_max_gt_width
248,2286,7,396.0,370.0,552.0,630.0,True,False,
249,2286,9,517.96967,326.4011,642.16095,489.11392,True,False,
250,2292,7,396.0,370.0,552.0,630.0,True,False,
251,2298,7,396.0,370.0,552.0,630.0,True,False,
252,2304,7,396.0,370.0,552.0,630.0,True,False,
253,2310,7,396.0,370.0,552.0,630.0,True,False,
254,2310,9,475.41348,333.93295,599.6048,496.64578,True,False,
255,2316,7,408.0,371.0,570.0,666.0,True,False,
256,2316,9,464.77444,335.81592,588.96576,498.52875,True,False,
257,2322,7,433.0,381.0,598.0,661.0,True,False,
258,2322,9,454.1354,337.69888,578.3267,500.4117,True,False,
259,2328,6,620.0,397.0,719.0,502.0,True,False,
260,2328,7,434.0,391.0,601.0,640.0,True,False,
261,2328,9,443.49634,339.58185,567.6877,502.29468,True,False,
262,2334,6,619.0,392.0,715.0,492.0,True,False,
