class,draw_kind,section_id,frame,player_id,render,decoded_index_reported,decode_status,on_sealed_class_draw,render_width,render_height,sha256
CLAMP,1080p30,3eeaJz1PJTM_s2572,3029,1,CLAMP_3eeaJz1PJTM_s2572_f3029_p1.jpg,3029,OK,1,1920,1080,d0f2482f987a75700c108446646494599c7ec60715934545ebd8fe1d48dbf991
CLAMP,1080p30,3eeaJz1PJTM_s3813,2993,10,CLAMP_3eeaJz1PJTM_s3813_f2993_p10.jpg,2993,OK,0,1920,1080,cab0803acfe3a2fa63577e71a9955b3f1232956019783ee1106ce92b3fe7025a
CLAMP,1080p30,4JS090XPhmM_s3537,2537,1,CLAMP_4JS090XPhmM_s3537_f2537_p1.jpg,2537,OK,1,1920,1080,3ddcdd48699198092713c3a2eea1cb37780f7bc70feadc10f2dc2627988ed2bc
CLAMP,1080p30,4JS090XPhmM_s4686,2820,2,CLAMP_4JS090XPhmM_s4686_f2820_p2.jpg,2820,OK,1,1920,1080,29404f49d5963c5f4f8b2a6c8f913895efacdb1941a8e91b40d8be158990e4d1
CLAMP,1080p30,9sq-YMlIo9Q_s2346,127,1,CLAMP_9sq-YMlIo9Q_s2346_f127_p1.jpg,127,OK,1,1920,1080,1428ffea0b0b1578fd8b074f93d98ae5dc69bb78c131ee1c2f3dafc3d9a37f3c
CLAMP,1080p30,9sq-YMlIo9Q_s2346,394,1,CLAMP_9sq-YMlIo9Q_s2346_f394_p1.jpg,394,OK,0,1920,1080,a854ac41d3a424d75866fdeb95d7d5e75411611fb4ab31234ef6d5231007ed1a
CLAMP,1080p30,J8pMOFvFlsU_s1384,3301,7,CLAMP_J8pMOFvFlsU_s1384_f3301_p7.jpg,3301,OK,1,1920,1080,f96bbd9bd39fd01acbd7b7dfd507c5e325d302378e1be9b8842270bdfe3f7baa
CLAMP,1080p30,J8pMOFvFlsU_s3972,3649,6,CLAMP_J8pMOFvFlsU_s3972_f3649_p6.jpg,3649,OK,1,1920,1080,7bd9d312209fcb3f323a27918948472547571ff6c6e9fc81b1c0625a419dcb7e
CLAMP,1080p30,UCVSlzgun0o_s2298,546,4,CLAMP_UCVSlzgun0o_s2298_f546_p4.jpg,546,OK,1,1920,1080,b30309c58e86b8c27b78fb3d2db407be2c36315df815626e47c82deb2aec0880
CLAMP,1080p30,UCVSlzgun0o_s90,784,6,CLAMP_UCVSlzgun0o_s90_f784_p6.jpg,784,OK,0,1920,1080,34cc1c8de9d324af3e142c21c62870ad2515b397489325c6c167e8acc7cd2be2
