draw_kind,section_id,frame,player_id,position_source,source_branch,matched_event_id,x_position,y_position,bbox_x1,bbox_y1,bbox_x2,bbox_y2,native_width,native_height,topcut_px,detector_frame_height,archived_head_x,archived_foot_y,archived_foot_clipped,stored_box_bottom_minus_projected_foot_px,homography_valid,predecessor_frame,position_retained,box_moved,box_foot_dx_px,box_foot_dy_px,box_l2_px,retained_position_age,box_identical_age,predecessor_status,role
1080p30,3eeaJz1PJTM_s2572,3029,1,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,117,506,312.0,362.0,424.0,581.0,1920,1080,60,1020,368,566,0,15.000,1,3017,1,1,-1504.000,473.000,1576.625,2,0,PRESENT,SELECTED
1080p30,3eeaJz1PJTM_s2572,3017,1,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,117,506,1815.0,-9.0,1929.0,108.0,1920,1080,60,1020,1872,93,0,15.000,1,,,,,,,,,IS_PREDECESSOR_OF_SELECTED,PREDECESSOR
1080p30,3eeaJz1PJTM_s2572,3029,10,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,1722,372,543.0,50.0,646.0,150.0,1920,1080,60,1020,594,135,0,15.000,1,3026,1,1,62.500,-2.000,62.532,25,0,PRESENT,SELECTED
1080p30,3eeaJz1PJTM_s2572,3026,10,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,1722,372,479.0,45.0,585.0,152.0,1920,1080,60,1020,532,137,0,15.000,1,,,,,,,,,IS_PREDECESSOR_OF_SELECTED,PREDECESSOR
1080p30,3eeaJz1PJTM_s2572,3029,2,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,2547,1496,309.29248,369.55756,426.18018,569.1633,1920,1080,60,1020,367,554,0,15.163,1,3026,1,1,28.236,-7.837,29.304,38,0,PRESENT,SELECTED
1080p30,3eeaJz1PJTM_s2572,3026,2,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,2547,1496,283.0,357.0,396.0,577.0,1920,1080,60,1020,339,562,0,15.000,1,,,,,,,,,IS_PREDECESSOR_OF_SELECTED,PREDECESSOR
1080p30,3eeaJz1PJTM_s2572,3029,3,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,608,820,1203.0,453.0,1355.0,782.0,1920,1080,60,1020,1279,767,0,15.000,1,3026,1,1,-20.000,2.000,20.100,6,0,PRESENT,SELECTED
1080p30,3eeaJz1PJTM_s2572,3026,3,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,608,820,1209.0,441.0,1389.0,780.0,1920,1080,60,1020,1299,765,0,15.000,1,,,,,,,,,IS_PREDECESSOR_OF_SELECTED,PREDECESSOR
1080p30,3eeaJz1PJTM_s2572,3029,5,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,2436,1388,1403.4987,188.90508,1582.5602,382.4325,1920,1080,60,1020,1492,367,0,15.433,1,3026,1,1,198.976,35.454,202.109,36,0,PRESENT,SELECTED
1080p30,3eeaJz1PJTM_s2572,3026,5,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,2436,1388,1204.5231,153.45148,1383.5846,346.9789,1920,1080,60,1020,1293,331,0,15.979,1,,,,,,,,,IS_PREDECESSOR_OF_SELECTED,PREDECESSOR
1080p30,3eeaJz1PJTM_s2572,3029,6,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,2894,1279,820.0,151.0,958.0,439.0,1920,1080,60,1020,889,424,0,15.000,1,3020,1,1,62.000,-19.000,64.846,25,0,PRESENT,SELECTED
1080p30,3eeaJz1PJTM_s2572,3020,6,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,2894,1279,722.0,146.0,932.0,458.0,1920,1080,60,1020,827,443,0,15.000,1,,,,,,,,,IS_PREDECESSOR_OF_SELECTED,PREDECESSOR
1080p30,3eeaJz1PJTM_s2572,3029,7,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,1029,690,975.0,79.0,1161.0,348.0,1920,1080,60,1020,1068,333,0,15.000,1,3026,1,1,50.500,5.000,50.747,47,0,PRESENT,SELECTED
1080p30,3eeaJz1PJTM_s2572,3026,7,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,1029,690,917.0,53.0,1118.0,343.0,1920,1080,60,1020,1017,328,0,15.000,1,,,,,,,,,IS_PREDECESSOR_OF_SELECTED,PREDECESSOR
1080p30,3eeaJz1PJTM_s2572,3029,8,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,1427,957,1527.0,116.0,1731.0,381.0,1920,1080,60,1020,1629,366,0,15.000,1,3026,1,1,18.000,1.000,18.028,43,0,PRESENT,SELECTED
1080p30,3eeaJz1PJTM_s2572,3026,8,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,1427,957,1530.0,104.0,1692.0,380.0,1920,1080,60,1020,1611,365,0,15.000,1,,,,,,,,,IS_PREDECESSOR_OF_SELECTED,PREDECESSOR
1080p30,3eeaJz1PJTM_s3813,2993,1,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,300,833,520.0,262.0,646.0,529.0,1920,1080,60,1020,583,514,0,15.000,1,2990,1,0,0.000,0.000,0.000,3,4,PRESENT,SELECTED
1080p30,3eeaJz1PJTM_s3813,2990,1,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,300,833,520.0,262.0,646.0,529.0,1920,1080,60,1020,583,514,0,15.000,1,,,,,,,,,IS_PREDECESSOR_OF_SELECTED,PREDECESSOR
1080p30,3eeaJz1PJTM_s3813,2993,10,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,3373,1000,56.0,233.0,172.0,531.0,1920,1080,60,1020,114,516,0,15.000,1,2990,1,0,0.000,0.000,0.000,3,2,PRESENT,SELECTED
