draw_kind,section_id,frame,slot,player_id,landed_position_source,derived_same_invocation_state,derived_branch,stored_box_derived_branch,trace_box_derived_branch,current_box_projection_minus_prior_position_px,branch_guard_px,stored_box_y1,stored_box_x1,stored_box_y2,stored_box_x2,pre_call_box_y2,stored_pre_call_box_y1,stored_pre_call_box_x1,stored_pre_call_box_y2,stored_pre_call_box_x2,stored_box_projection_x,stored_box_projection_y,trace_box_projection_x,trace_box_projection_y,archived_head_x,archived_foot_y,archived_foot_clipped,observed_x,observed_y,expected_x,expected_y,position_equals_current_box_projection,position_equals_prior_evaluated_tick,backprojected_image_x,backprojected_image_y,backprojected_minus_archived_foot_y,backprojection_inside_stored_box,frame_w,frame_h,map_w,map_h,classification_reason,classification
1080p30,3eeaJz1PJTM_s2572,3029,0,1,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,NON_BOX_WRITE,DETECTION_FRESH_BOX,18.028,750,453.0,1203.0,782.0,1355.0,780.0,441.0,1209.0,780.0,1389.0,1056,350,1038,351,1279,767,0,1038,351,1038,351,1,0,1278.830,765.339,-1.661,1,1920,1020,3404,1711,,BRANCH_MISMATCH
1080p30,3eeaJz1PJTM_s2572,3029,4,5,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,NON_BOX_WRITE,DETECTION_FRESH_BOX,24.083,750,362.0,312.0,581.0,424.0,577.0,357.0,283.0,577.0,396.0,185,236,209,238,368,566,0,209,238,209,238,1,0,367.412,565.095,-0.905,1,1920,1020,3404,1711,,BRANCH_MISMATCH
1080p30,3eeaJz1PJTM_s2572,3029,6,7,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,NON_BOX_WRITE,DETECTION_FRESH_BOX,15.033,750,116.0,1527.0,381.0,1731.0,380.0,104.0,1530.0,380.0,1692.0,1207,145,1222,146,1629,366,0,1222,146,1222,146,1,0,1628.116,365.446,-0.554,1,1920,1020,3404,1711,,BRANCH_MISMATCH
1080p30,3eeaJz1PJTM_s2572,3029,7,8,CLAMP,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,7.211,750,46.7786,296.8,153.612,406.467,154.393,47.5595,291.333,154.393,401.0,203,50,207,50,351,138,0,206,56,207,50,0,0,349.639,152.768,14.768,1,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,3eeaJz1PJTM_s2572,3029,8,9,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,NON_BOX_WRITE,DETECTION_FRESH_BOX,3.162,750,151.0,820.0,439.0,958.0,437.0,151.0,807.0,437.0,981.0,637,170,634,171,889,424,0,634,171,634,171,1,0,889.015,423.516,-0.484,1,1920,1020,3404,1711,,BRANCH_MISMATCH
1080p30,3eeaJz1PJTM_s2572,3029,10,0,,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,7.280,750,46.0,1011.0,311.0,1137.0,311.0,46.0,1011.0,311.0,1137.0,764,114,764,114,1074,296,0,766,121,764,114,0,1,1073.127,310.549,14.549,1,1920,1020,3404,1711,,STALE_BOX
1080p30,3eeaJz1PJTM_s3813,2993,2,3,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,98.087,750,263.891,532.032,542.78,725.414,542.909,264.02,524.571,542.909,717.954,297,880,299,890,628,527,0,391,859,299,890,0,0,627.161,541.919,14.919,1,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,3eeaJz1PJTM_s3813,2993,4,5,,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,62.936,750,188.778,40.5171,493.088,157.221,497.066,192.757,51.6567,497.066,168.361,85,588,73,588,98,478,0,120,569,73,588,0,0,94.936,492.716,14.716,1,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,3eeaJz1PJTM_s3813,2993,8,9,SUBPIXEL,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,55.714,750,102.0,109.0,517.0,242.0,517.0,102.0,109.0,517.0,242.0,149,591,149,591,175,502,0,201,571,149,591,0,1,173.488,516.840,14.840,1,1920,1020,3404,1711,,STALE_BOX
1080p30,3eeaJz1PJTM_s3813,2993,9,10,CLAMP,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,88.544,750,258.0,547.0,518.0,657.0,518.0,258.0,547.0,518.0,657.0,157,904,157,904,602,503,0,241,876,157,904,0,1,601.693,517.890,14.890,1,1920,1020,3404,1711,,STALE_BOX
1080p30,3eeaJz1PJTM_s90,3256,4,5,SUBPIXEL,RETAINED_PRIOR_POSITION,SUBPIXEL_UNMOVED_FRESH_WRITE,SUBPIXEL_UNMOVED_FRESH_WRITE,SUBPIXEL_UNMOVED_FRESH_WRITE,0.000,750,951.0,1137.0,1035.0,1206.0,1034.0,951.0,1137.0,1034.0,1206.0,349,1006,349,1006,1171,1020,0,349,1006,349,1006,1,1,1089.495,1020.046,0.046,0,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,3eeaJz1PJTM_s90,3256,6,7,DETECTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,NON_BOX_WRITE,DETECTION_FRESH_BOX,9.055,750,768.0,390.0,916.0,471.0,918.0,762.0,390.0,918.0,473.0,153,1017,144,1018,430,901,0,144,1018,144,1018,1,0,424.526,902.795,1.795,1,1920,1020,3404,1711,,BRANCH_MISMATCH
1080p30,3eeaJz1PJTM_s90,3256,10,0,,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,49.366,750,768.0,435.0,903.0,504.0,903.0,768.0,435.0,903.0,504.0,143,1022,143,1022,469,888,0,192,1016,143,1022,0,1,463.652,904.548,16.548,0,1920,1020,3404,1711,,STALE_BOX
1080p30,3eeaJz1PJTM_s90,3382,4,5,SUBPIXEL,RETAINED_PRIOR_POSITION,SUBPIXEL_UNMOVED_FRESH_WRITE,SUBPIXEL_UNMOVED_FRESH_WRITE,SUBPIXEL_UNMOVED_FRESH_WRITE,0.000,750,951.0,1137.0,1035.0,1205.0,1033.0,952.0,1137.0,1033.0,1205.0,349,1006,349,1006,1171,1020,0,349,1006,349,1006,1,1,1089.495,1020.046,0.046,0,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,3eeaJz1PJTM_s90,3382,6,7,,RETAINED_PRIOR_POSITION,SUBPIXEL_UNMOVED_FRESH_WRITE,SUBPIXEL_UNMOVED_FRESH_WRITE,SUBPIXEL_UNMOVED_FRESH_WRITE,0.000,750,774.0,390.0,918.0,467.0,918.0,771.0,389.0,918.0,468.0,149,1017,149,1017,428,903,0,149,1017,149,1017,1,1,419.925,905.525,2.525,1,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,4JS090XPhmM_s3537,2507,1,2,PREDICTION,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,,750,289.219,892.873,769.935,1121.9,771.275,290.559,874.181,771.275,1103.21,3268,405,3261,407,1006,754,0,3280,400,3261,407,0,0,658.038,688.715,-65.285,0,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,4JS090XPhmM_s3537,2507,2,3,DETECTION,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,NON_BOX_WRITE,DETECTION_FRESH_BOX,23.409,750,181.0,1168.0,684.0,1477.0,724.0,220.0,1227.0,724.0,1506.0,3176,438,3154,446,1322,669,0,3154,446,3154,446,1,0,948.731,645.597,-23.403,0,1920,1020,3404,1711,,BRANCH_MISMATCH
1080p30,4JS090XPhmM_s3537,2507,3,4,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,NON_BOX_WRITE,DETECTION_FRESH_BOX,32.894,750,546.0,247.0,902.0,550.0,908.0,582.0,234.0,908.0,547.0,2458,697,2427,708,398,887,0,2427,708,2427,708,1,0,415.697,936.617,49.617,0,1920,1020,3404,1711,,BRANCH_MISMATCH
1080p30,4JS090XPhmM_s3537,2507,7,8,,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,NON_BOX_WRITE,DETECTION_FRESH_BOX,,750,-12.0,1128.0,267.0,1352.0,297.0,-11.0,1116.0,297.0,1323.0,2988,505,2982,507,1240,252,0,2982,507,2982,507,1,0,631.136,480.274,228.274,0,1920,1020,3404,1711,,BRANCH_MISMATCH
1080p30,4JS090XPhmM_s3537,2507,8,9,PREDICTION,FRESH_NON_BOX_POSITION,NON_BOX_WRITE,NON_BOX_WRITE,NON_BOX_WRITE,11.705,750,-57.377,441.321,314.541,603.301,334.396,-37.5225,397.032,334.396,559.012,2820,564,2837,558,522,299,0,2843,556,2837,558,0,0,432.423,430.486,131.486,0,1920,1020,3404,1711,,FRAME_MISMATCH
1080p30,4JS090XPhmM_s3537,2537,0,1,CLAMP,RETAINED_PRIOR_POSITION,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,RETAINED_WITHOUT_GUARD,10.198,750,-13.0,790.0,441.0,1044.0,441.0,-13.0,790.0,441.0,1044.0,119,159,119,159,917,426,0,121,169,119,159,0,1,916.754,440.021,14.021,1,1920,1020,3404,1711,,STALE_BOX
1080p30,4JS090XPhmM_s3537,2537,1,2,CLAMP,FRESH_BOX_PROJECTION,DETECTION_FRESH_BOX,NON_BOX_WRITE,DETECTION_FRESH_BOX,2752.142,750,63.0,1044.0,788.0,1437.0,757.879,277.163,1061.1,757.879,1290.13,454,355,528,372,1240,773,0,528,372,528,372,1,0,1239.272,771.461,-1.539,1,1920,1020,3404,1711,,BRANCH_MISMATCH
