class,j,draw_kind,section_id,frame
CLAMP,0,1080p30,9sq-YMlIo9Q_s2346,127
CLAMP,1,1080p30,UCVSlzgun0o_s2298,546
CLAMP,2,1080p30,UCVSlzgun0o_s90,850
CLAMP,3,1080p30,Vm0FqeGo-8g_s1317,1080
CLAMP,4,1080p30,X5w3V6rh26s_s90,1247
CLAMP,5,1080p30,Y1cgaIWW8gk_s2784,1424
CLAMP,6,1080p30,tFnl0NVn6FA_s2774,1622
CLAMP,7,1080p30,tFnl0NVn6FA_s90,1915
CLAMP,8,1080p30,tZeqmc_-_sA_s2574,2088
CLAMP,9,1080p30,yZ5u2sOpiNU_s90,2398
CLAMP,10,1080p30,4JS090XPhmM_s3537,2537
CLAMP,11,1080p30,4JS090XPhmM_s4686,2820
CLAMP,12,1080p30,3eeaJz1PJTM_s2572,3029
CLAMP,13,1080p30,J8pMOFvFlsU_s1384,3301
CLAMP,14,1080p30,J8pMOFvFlsU_s3972,3649
CLAMP,15,720p60,3gBeJyl7Szg_s2302,775
CLAMP,16,720p60,3gBeJyl7Szg_s90,1266
CLAMP,17,720p60,Kh7Fj4ogPN4_s5950,1920
CLAMP,18,720p60,Ktu6yFS9iMo_s6195,2001
CLAMP,19,720p60,L7o4UCIIqS4_s5222,2729
CLAMP,20,720p60,6rQ2sV4upfc_s1509,3108
CLAMP,21,720p60,6rQ2sV4upfc_s90,3741
CLAMP,22,720p60,7blRl4zVfrY_s90,4110
CLAMP,23,720p60,Ge4uewCFUFQ_s2382,4525
CLAMP,24,720p60,KZK9rv9TnGE_s1474,4987
CLAMP,25,720p60,KZK9rv9TnGE_s90,5649
CLAMP,26,720p60,dAy3tnlu3EQ_s4326,6164
CLAMP,27,720p60,s-0Y7aLxXgM_s1275,6422
CLAMP,28,720p60,s-0Y7aLxXgM_s4830,6931
CLAMP,29,720p60,xv0WyG7_99c_s4530,7557
SUBPIXEL,0,1080p30,9sq-YMlIo9Q_s2346,394
SUBPIXEL,1,1080p30,UCVSlzgun0o_s2298,594
SUBPIXEL,2,1080p30,UCVSlzgun0o_s90,784
SUBPIXEL,3,1080p30,Vm0FqeGo-8g_s1317,1056
SUBPIXEL,4,1080p30,Y1cgaIWW8gk_s2784,1340
SUBPIXEL,5,1080p30,tFnl0NVn6FA_s2774,1787
SUBPIXEL,6,1080p30,tZeqmc_-_sA_s2574,1938
SUBPIXEL,7,1080p30,yZ5u2sOpiNU_s5214,2113
SUBPIXEL,8,1080p30,yZ5u2sOpiNU_s90,2311
SUBPIXEL,9,1080p30,4JS090XPhmM_s3537,2507
SUBPIXEL,10,1080p30,4JS090XPhmM_s4686,2790
SUBPIXEL,11,1080p30,3eeaJz1PJTM_s3813,2993
SUBPIXEL,12,1080p30,3eeaJz1PJTM_s90,3256
SUBPIXEL,13,1080p30,3eeaJz1PJTM_s90,3382
SUBPIXEL,14,1080p30,J8pMOFvFlsU_s3972,3391
SUBPIXEL,15,720p60,acb-jHcR5UxPGuE_s1393,628
SUBPIXEL,16,720p60,acb-jHcR5UxPGuE_s90,885
SUBPIXEL,17,720p60,3gBeJyl7Szg_s2302,1171
SUBPIXEL,18,720p60,3gBeJyl7Szg_s90,1512
SUBPIXEL,19,720p60,Kh7Fj4ogPN4_s3606,1533
SUBPIXEL,20,720p60,Ktu6yFS9iMo_s6195,2013
SUBPIXEL,21,720p60,oL9Uaie2v2A_s2438,3027
SUBPIXEL,22,720p60,6rQ2sV4upfc_s1509,3096
SUBPIXEL,23,720p60,7blRl4zVfrY_s90,4260
SUBPIXEL,24,720p60,Ge4uewCFUFQ_s4674,4968
SUBPIXEL,25,720p60,KZK9rv9TnGE_s1474,5143
SUBPIXEL,26,720p60,KZK9rv9TnGE_s4242,5429
SUBPIXEL,27,720p60,dAy3tnlu3EQ_s4326,5816
SUBPIXEL,28,720p60,s-0Y7aLxXgM_s1275,6512
SUBPIXEL,29,720p60,xv0WyG7_99c_s4530,7095
