draw_kind,section_id,retained_path,retained_status,retained_bytes,retained_sha256,matches_g402_receipt,g402_sha256,pod_source_path,replay_start_frame,replay_frames,g402_width,g402_height,g402_avg_fps,readback_status,readback_width,readback_height,readback_frames,readback_fps_rational,readback_fps_float,dimensions_agree
1080p30,3eeaJz1PJTM_s2572,C:/Users/neelj/g402_receiver/wnba__3eeaJz1PJTM_s2572.mp4,RETAINED,70877597,4c5c274f4afcb100f7f923a90789f97adfbee2ad7b79757993db866f0a1e6cad,1,4c5c274f4afcb100f7f923a90789f97adfbee2ad7b79757993db866f0a1e6cad,/workspace/g402_scratch/srcs/wnba__3eeaJz1PJTM_s2572.mp4,2789,300,1920,1080,30.0,OK,1920,1080,4028,30/1,30.000000,1
1080p30,3eeaJz1PJTM_s3813,C:/Users/neelj/g402_receiver/wnba__3eeaJz1PJTM_s3813.mp4,RETAINED,67932625,3a5c08bd887cea3503f9b777920ca1ef3817e931e2093a9a56a099708ff35ea6,1,3a5c08bd887cea3503f9b777920ca1ef3817e931e2093a9a56a099708ff35ea6,/workspace/g402_scratch/srcs/wnba__3eeaJz1PJTM_s3813.mp4,2906,300,1920,1080,30.0,OK,1920,1080,3924,30/1,30.000000,1
1080p30,3eeaJz1PJTM_s90,C:/Users/neelj/g402_receiver/wnba__3eeaJz1PJTM_s90.mp4,RETAINED,68766082,049a0328fc4000ff937c6ae9f43540110e7f6564555e70287718efb85a34e48f,1,049a0328fc4000ff937c6ae9f43540110e7f6564555e70287718efb85a34e48f,/workspace/g402_scratch/srcs/wnba__3eeaJz1PJTM_s90.mp4,3136,300,1920,1080,30.0,OK,1920,1080,4007,30/1,30.000000,1
1080p30,J8pMOFvFlsU_s1384,C:/Users/neelj/g402_receiver/wnba__J8pMOFvFlsU_s1384.mp4,RETAINED,42176869,4c1d058692f70800de83c62d500663c409836f17583b63eee686417819291104,1,4c1d058692f70800de83c62d500663c409836f17583b63eee686417819291104,/workspace/data/footage_corpus/wnba__J8pMOFvFlsU_s1384.mp4,3253,300,1920,1080,30.0,OK,1920,1080,3923,30/1,30.000000,1
1080p30,J8pMOFvFlsU_s3972,C:/Users/neelj/g402_receiver/wnba__J8pMOFvFlsU_s3972.mp4,RETAINED,44234735,3de8f9f051dcc218266201eb853db4a06f52025bdd70cadd3e6532e1d1b422f2,1,3de8f9f051dcc218266201eb853db4a06f52025bdd70cadd3e6532e1d1b422f2,/workspace/data/footage_corpus/wnba__J8pMOFvFlsU_s3972.mp4,3370,300,1920,1080,30.0,OK,1920,1080,4075,30/1,30.000000,1
720p60,acb-jHcR5UxPGuE_s1393,C:/Users/neelj/g402_receiver/basketball__acb-jHcR5UxPGuE_s1393.mp4,RETAINED,56995485,cc7a0d0220ddacd665990cc9d7b480a8642d3bc5b528dcac63e8bd463a0f67dc,1,cc7a0d0220ddacd665990cc9d7b480a8642d3bc5b528dcac63e8bd463a0f67dc,/workspace/data/footage_corpus/basketball__acb-jHcR5UxPGuE_s1393.mp4,232,600,1280,720,60.0,OK,1280,720,8061,60/1,60.000000,1
720p60,acb-jHcR5UxPGuE_s90,C:/Users/neelj/g402_receiver/basketball__acb-jHcR5UxPGuE_s90.mp4,RETAINED,55642588,ac6851c4ec10a7af7a9835c7a23e052ade96195ed63eff715915fd7be28e8eed,1,ac6851c4ec10a7af7a9835c7a23e052ade96195ed63eff715915fd7be28e8eed,/workspace/data/footage_corpus/basketball__acb-jHcR5UxPGuE_s90.mp4,465,600,1280,720,60.0,OK,1280,720,7827,60/1,60.000000,1
720p60,3gBeJyl7Szg_s2302,C:/Users/neelj/g402_receiver/nba__3gBeJyl7Szg_s2302.mp4,RETAINED,50300132,c5b29bf4785c36f82b93ae763cec6a3eafb62aad11f25cb598fecfb69b11c4c0,1,c5b29bf4785c36f82b93ae763cec6a3eafb62aad11f25cb598fecfb69b11c4c0,/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s2302.mp4,697,600,1280,720,60.0,OK,1280,720,7905,60/1,60.000000,1
720p60,3gBeJyl7Szg_s90,C:/Users/neelj/g402_receiver/nba__3gBeJyl7Szg_s90.mp4,RETAINED,53285520,72e32ee1bee191d1175bd2fe2615adcba2ff37276822f17aa28c8a9e80c53fbb,1,72e32ee1bee191d1175bd2fe2615adcba2ff37276822f17aa28c8a9e80c53fbb,/workspace/data/footage_corpus/nba__3gBeJyl7Szg_s90.mp4,930,600,1280,720,60.0,OK,1280,720,8033,60/1,60.000000,1
720p60,Kh7Fj4ogPN4_s3606,C:/Users/neelj/g402_receiver/nba__Kh7Fj4ogPN4_s3606.mp4,RETAINED,54541208,04ea3cc7355238a1635dae07c262371876d546c912a51ddce47dbda2602819eb,1,04ea3cc7355238a1635dae07c262371876d546c912a51ddce47dbda2602819eb,/workspace/data/footage_corpus/nba__Kh7Fj4ogPN4_s3606.mp4,1161,600,1280,720,59.940065,OK,1280,720,7870,54006/901,59.940065,1
