draw_j,source_id,ytid,competition,tag,query,duration_s,dur,title,discovered_at,membership_count,query_memberships,fmt
0,0pKftc-Z0_k,0pKftc-Z0_k,basketball,bleague,B.League full game,7106,7106,【バスケ】千葉Jvs横浜BC | 第100回天皇杯 2次ラウンド 広島会場 DAY2 | 2024.9.22,2026-09-11T17:23:55Z,1,basketball/B.League full game,270
1,UPlzuJyGLX0,UPlzuJyGLX0,basketball,bleague,B.League full game,8465,8465,OSAKA EVESSA vs LEVANGA HOKKAIDO | 2025-11-01 | RESONA GROUP,2026-09-11T17:23:55Z,1,basketball/B.League full game,270
2,tPLwS9QjGHw,tPLwS9QjGHw,basketball,bleague,B.League full game,8770,8770,ALVARK TOKYO vs LEVANGA HOKKAIDO | 2025-12-20 | RESONA GROUP,2026-09-11T17:23:55Z,1,basketball/B.League full game,270
3,StaR8HvV_jM,StaR8HvV_jM,basketball,bcl,Basketball Champions League full game,8910,8910,Karhu Basket Kauhajoki v BC Juventus Utena | Full Basketball,2026-09-11T17:23:12Z,1,basketball/Basketball Champions League full game,270
4,g0lXjTWhxQo,g0lXjTWhxQo,basketball,bcl,Basketball Champions League full game,8870,8870,Filou Oostende v Hapoel Atsmon Holon | Full Game | Basketbal,2026-09-11T17:23:12Z,1,basketball/Basketball Champions League full game,270
5,97AypcBJNUE,97AypcBJNUE,basketball,betclic,Betclic Elite match complet basket,6271,6271,[MATCH COMPLET] Le Mans-LDLC ASVEL / Finale Coupe de France ,2026-09-11T17:23:25Z,1,basketball/Betclic Elite match complet basket,270
6,mAl_gEPhp3s,mAl_gEPhp3s,basketball,betclic,Betclic Elite match complet basket,9096,9096,AS Monaco Basketball vs Paris Basketball - 8e de finale de l,2026-09-11T17:23:25Z,1,basketball/Betclic Elite match complet basket,270
7,EIcNJX8JyA0,EIcNJX8JyA0,basketball,eurocup,EuroCup full game replay,10815,10815,THRILLING OVERTIME NIGHT! | London - Paris | 2023-24 EuroCup,2026-09-11T17:23:08Z,1,basketball/EuroCup full game replay,270
8,prxLSgEkawg,prxLSgEkawg,basketball,eurocup,EuroCup full game replay,9182,9182,50-POINTS SECOND HALF makes the DIFFERENCE! | Besiktas - Bou,2026-09-11T17:23:08Z,1,basketball/EuroCup full game replay,270
9,_PA1xPaXG4E,_PA1xPaXG4E,basketball,eurobasket,FIBA EuroBasket 2025 full game,8441,8441,Group Phase | Czechia v Estonia | Full Basketball Game | FIB,2026-09-11T17:23:38Z,1,basketball/FIBA EuroBasket 2025 full game,270
