draw_j,source_id,competition,tag,query,discovered_at,format_probe_at,compatible_30fps,qualifying_format_ids,listing_qualifying_ids,metadata_qualifying_ids,listing_complete,metadata_complete,listing_formats,metadata_formats,probe_status,raw_inventory_digest,error,hls_h264_720_1080_fps_set,720p30,1080p30,720p60,1080p60
0,0pKftc-Z0_k,basketball,bleague,B.League full game,2026-09-11T17:23:55Z,2026-09-11T17:28:27Z,YES,232|270,232|270,232|270,True,True,14,19,OK,92b92c96ca73a4d0777e0edf4cb221f210fceb425af5383003417b7634346a3c,,30,True,True,False,False
1,UPlzuJyGLX0,basketball,bleague,B.League full game,2026-09-11T17:23:55Z,2026-09-11T17:28:45Z,YES,232|270,232|270,232|270,True,True,35,47,OK,c4b4a92f988b65549ffb0ea17c8b7f672ffae7a185f9915abfd927ae990b054a,,30,True,True,False,False
2,tPLwS9QjGHw,basketball,bleague,B.League full game,2026-09-11T17:23:55Z,2026-09-11T17:29:04Z,YES,232|270,232|270,232|270,True,True,36,48,OK,557daceda0e4da58482f3e28973aae7efda7f14ecd1fd6fb55f6c15e80228d66,,30,True,True,False,False
3,StaR8HvV_jM,basketball,bcl,Basketball Champions League full game,2026-09-11T17:23:12Z,2026-09-11T17:29:21Z,NO,,,,True,True,28,40,OK,0bb3af347e28b38fb668ddc209a91a66d986b6939f0331332f73fa7cb27ff16f,,60,False,False,True,True
4,g0lXjTWhxQo,basketball,bcl,Basketball Champions League full game,2026-09-11T17:23:12Z,2026-09-11T17:29:39Z,YES,232|270,232|270,232|270,True,True,29,41,OK,7f243c9579f2d6849ed32ae76b03664904c500e5b5d5b612cf66d6cf8b70840d,,30,True,True,False,False
5,97AypcBJNUE,basketball,betclic,Betclic Elite match complet basket,2026-09-11T17:23:25Z,2026-09-11T17:29:56Z,NO,,,,True,True,11,23,OK,22a408b6da674f8f950321d358b15f8e7afa602ebd20bfbe1ed906c36209ae60,,25,False,False,False,False
6,mAl_gEPhp3s,basketball,betclic,Betclic Elite match complet basket,2026-09-11T17:23:25Z,2026-09-11T17:30:14Z,UNKNOWN,,,,False,False,0,0,INCOMPLETE,3864795974de3230325a01e76d95593fcfe1d3b2768ebbc4dd13509a42a7ab0b,listing_rc=1 formats=0 metadata_rc=1 formats=0 empty,none,False,False,False,False
7,EIcNJX8JyA0,basketball,eurocup,EuroCup full game replay,2026-09-11T17:23:08Z,2026-09-11T17:30:33Z,NO,,,,True,True,29,41,OK,ee0a1792550da4644cda198566634c69ee060f5ace4783ac5f6c5a907d3ad6f8,,25,False,False,False,False
8,prxLSgEkawg,basketball,eurocup,EuroCup full game replay,2026-09-11T17:23:08Z,2026-09-11T17:30:50Z,NO,,,,True,True,29,41,OK,b739a1d80150db70fb44668d512542202a53c5931b95449bc14228932d1dcf6d,,25,False,False,False,False
9,_PA1xPaXG4E,basketball,eurobasket,FIBA EuroBasket 2025 full game,2026-09-11T17:23:38Z,2026-09-11T17:31:08Z,YES,232|270,232|270,232|270,True,True,35,47,OK,3db30f7fe8066fcf8047ea362334fb420318fa44805172c521650825c2877549,,30,True,True,False,False
