order,competition,tag,query,source_id,ytid,duration_s,dur,title,discovered_at
89,basketball,euroleague,EuroLeague full game 2025,nwGs5Gp5l2Q,nwGs5Gp5l2Q,8997,8997,200+ Point Thriller | Barcelona - Bayern Munich | EUROLEAGUE,2026-09-11T17:22:34Z
104,basketball,fiba,FIBA full game 2025,6BYeUynVAqI,6BYeUynVAqI,7831,7831,Group Phase | Lithuania v Germany | Full Basketball Game | F,2026-09-11T17:22:42Z
119,basketball,acb,Liga ACB partido completo,YtHBKLgw_X0,YtHBKLgw_X0,5524,5524,Supercopa Endesa 2017: Herbalife Gran Canaria - Valencia Bas,2026-09-11T17:22:46Z
146,basketball,cba,CBA basketball full game,Dys4JeucBBk,Dys4JeucBBk,7495,7495,China v Japan | Full Basketball Game | FIBA Asia Cup 2025 Qu,2026-09-11T17:22:55Z
151,basketball,gleague,NBA G League full game,oA9IHkrPNws,oA9IHkrPNws,4683,4683,Cooper Flagg vs Bronny James - NBA Summer League (Mavericks ,2026-09-11T17:22:59Z
152,basketball,gleague,NBA G League full game,TUXsofc3mgg,TUXsofc3mgg,8685,8685,FINAL | Unicaja v NBA G League United | Full Basketball Game,2026-09-11T17:22:59Z
153,basketball,gleague,NBA G League full game,Z9LZwPvEMTU,Z9LZwPvEMTU,9215,9215,NBA G League United v Tasmania JackJumpers | Full Basketball,2026-09-11T17:22:59Z
157,basketball,gleague,NBA G League full game,dd_QSkmUWyU,dd_QSkmUWyU,8206,8206,NBA G League Ignite v Al Ahly | Full Basketball Game | FIBA ,2026-09-11T17:22:59Z
158,basketball,gleague,NBA G League full game,cl9uwvP1Fe8,cl9uwvP1Fe8,8126,8126,NBA G League United v Quimsa | Full Basketball Game | FIBA I,2026-09-11T17:22:59Z
160,basketball,gleague,NBA G League full game,a0FMMvE3B5k,a0FMMvE3B5k,8441,8441,Group Phase | NBA League United v Illawarra Hawks | Full Bas,2026-09-11T17:22:59Z
161,basketball,gleague,NBA G League full game,iUn3klfUOkM,iUn3klfUOkM,4181,4181,"NBA G League Ignite vs Al Manama | FULL GAME | September 24,",2026-09-11T17:22:59Z
164,basketball,gleague,NBA G League full game,qxhmhuwYmks,qxhmhuwYmks,8446,8446,NBA G League Ignite v Sesi Franca Basquete | Full Basketball,2026-09-11T17:22:59Z
167,wnba,.,WNBA full game replay 2025,a2pEHm9YzFo,a2pEHm9YzFo,4513,4513,"Indiana Fever vs Minnesota Lynx Full Game Aug 02, 2026 | WNB",2026-09-11T17:23:04Z
172,wnba,.,WNBA full game replay 2025,OdGDLXvM76w,OdGDLXvM76w,5119,5119,"Indiana Fever vs Chicago Sky Full Game Aug 08, 2026 | WNBA 2",2026-09-11T17:23:04Z
173,wnba,.,WNBA full game replay 2025,z2byjGVKZWQ,z2byjGVKZWQ,4595,4595,Indiana Fever vs Golden State Valkyries | FULL Game | July 1,2026-09-11T17:23:04Z
174,wnba,.,WNBA full game replay 2025,VmJZP_FQnHY,VmJZP_FQnHY,5492,5492,"Indiana Fever vs Portland Fire Full Game July 31, 2026 | WNB",2026-09-11T17:23:04Z
175,wnba,.,WNBA full game replay 2025,Wp45H1C3gnU,Wp45H1C3gnU,4278,4278,"Dallas Wings vs Seattle Storm | FULL Game | June 1,2026 | WN",2026-09-11T17:23:04Z
177,wnba,.,WNBA full game replay 2025,Vg1rHZcYo1U,Vg1rHZcYo1U,4534,4534,"Washington Mystics Vs Indiana Fever | FULL Game | May 8,2026",2026-09-11T17:23:04Z
180,basketball,eurocup,EuroCup full game replay,EIcNJX8JyA0,EIcNJX8JyA0,10815,10815,THRILLING OVERTIME NIGHT! | London - Paris | 2023-24 EuroCup,2026-09-11T17:23:08Z
181,basketball,eurocup,EuroCup full game replay,T1LZvhP3AeM,T1LZvhP3AeM,9546,9546,MVP SHORTS leads PARIS to the TRIUMPH! | Bourg - Paris | 202,2026-09-11T17:23:08Z
182,basketball,eurocup,EuroCup full game replay,zyV1NxdXo2c,zyV1NxdXo2c,9398,9398,TEODOSIC leads VIRTUS to the EuroCup title | Virtus - Frutti,2026-09-11T17:23:08Z
183,basketball,eurocup,EuroCup full game replay,vq17CRazqJo,vq17CRazqJo,8703,8703,SPECTACULAR FIRST HALF boosts the hometeam! | Paris - Bourg ,2026-09-11T17:23:08Z
184,basketball,eurocup,EuroCup full game replay,2UNJe2grSzo,2UNJe2grSzo,9770,9770,Sevilla v Roma (1-1) (Sevilla win 4-1 on penalties) | Europa,2026-09-11T17:23:08Z
185,basketball,eurocup,EuroCup full game replay,df0jesjE3yk,df0jesjE3yk,9480,9480,Valencia BECOMES FIRST-EVER EuroCup Champion | Game 2 vs Krk,2026-09-11T17:23:08Z
186,basketball,eurocup,EuroCup full game replay,OFbyNU6UQQs,OFbyNU6UQQs,5989,5989,FULL MATCH: Portugal v Spain | 2018 FIFA World Cup,2026-09-11T17:23:08Z
187,basketball,eurocup,EuroCup full game replay,rOdFBZJRwEo,rOdFBZJRwEo,9671,9671,RESILIENCE right to THE END! | Gran Canaria - Turk Telekom |,2026-09-11T17:23:08Z
188,basketball,eurocup,EuroCup full game replay,1MQ38PsSviw,1MQ38PsSviw,8726,8726,Lietuvos Rytas MAKES HISTORY! 📖 2009 EuroCup Final vs. Khimk,2026-09-11T17:23:08Z
190,basketball,eurocup,EuroCup full game replay,-sZHSUp1WV4,-sZHSUp1WV4,6923,6923,Joventut’s DEFENSIVE MASTERCLASS 🔒 | 2008 EuroCup Final vs. ,2026-09-11T17:23:08Z
191,basketball,eurocup,EuroCup full game replay,prxLSgEkawg,prxLSgEkawg,9182,9182,50-POINTS SECOND HALF makes the DIFFERENCE! | Besiktas - Bou,2026-09-11T17:23:08Z
193,basketball,eurocup,EuroCup full game replay,adN6aEmgK5Y,adN6aEmgK5Y,9584,9584,Dynamo Moscow CROWNED EuroCup KING 👑 | 2006 Final vs. Aris |,2026-09-11T17:23:08Z
195,basketball,bcl,Basketball Champions League full game,Y8Twp7LgPb8,Y8Twp7LgPb8,8115,8115,Limoges CSP v BAXI Manresa | Full Game | Basketball Champion,2026-09-11T17:23:12Z
196,basketball,bcl,Basketball Champions League full game,iiBVytTmfKw,iiBVytTmfKw,8285,8285,Hapoel Atsmon Holon v Hapoel Jerusalem | Full Game | Basketb,2026-09-11T17:23:12Z
198,basketball,bcl,Basketball Champions League full game,pYCgIuP6-e0,pYCgIuP6-e0,9069,9069,MHP Riesen Ludwigsburg v BAXI Manresa | Semi-Final | Full Ga,2026-09-11T17:23:12Z
199,basketball,bcl,Basketball Champions League full game,y8UQxPOVdbE,y8UQxPOVdbE,7534,7534,BAXI Manresa v Darüssafaka - Full Game | Basketball Champion,2026-09-11T17:23:12Z
200,basketball,bcl,Basketball Champions League full game,5_sp7Q8AHcU,5_sp7Q8AHcU,7184,7184,JDA Bourgogne Dijon v Unicaja | Full Game | Basketball Champ,2026-09-11T17:23:12Z
201,basketball,bcl,Basketball Champions League full game,g0lXjTWhxQo,g0lXjTWhxQo,8870,8870,Filou Oostende v Hapoel Atsmon Holon | Full Game | Basketbal,2026-09-11T17:23:12Z
202,basketball,bcl,Basketball Champions League full game,WE47jDv_JLs,WE47jDv_JLs,10387,10387,AS Monaco v AEK - Final - Full Game - Basketball Champions L,2026-09-11T17:23:12Z
203,basketball,bcl,Basketball Champions League full game,mxV9XV3uwVs,mxV9XV3uwVs,7500,7500,BAXI Manresa v Nutribullet Treviso | Full Game| Basketball C,2026-09-11T17:23:12Z
204,basketball,bcl,Basketball Champions League full game,StaR8HvV_jM,StaR8HvV_jM,8910,8910,Karhu Basket Kauhajoki v BC Juventus Utena | Full Basketball,2026-09-11T17:23:12Z
205,basketball,bcl,Basketball Champions League full game,S8Ya8Stakb0,S8Ya8Stakb0,10239,10239,BAXI Manresa v Lenovo Tenerife | Final | Full Game - BCL FIN,2026-09-11T17:23:12Z
206,basketball,bcl,Basketball Champions League full game,fixywKCSSpw,fixywKCSSpw,7297,7297,Hapoel Jerusalem v Iberostar Tenerife - Full Game - Qtr-Fina,2026-09-11T17:23:12Z
207,basketball,bcl,Basketball Champions League full game,UjX5lMFlwhA,UjX5lMFlwhA,7500,7500,Stelmet Zielona Gora v MHP RIESEN Ludwigsburg - Full Game - ,2026-09-11T17:23:12Z
208,basketball,bcl,Basketball Champions League full game,PDVNoSynU7Y,PDVNoSynU7Y,7471,7471,Darüssafaka v BAXI Manresa - Full Game | Basketball Champion,2026-09-11T17:23:12Z
209,basketball,bcl,Basketball Champions League full game,GCxAsvG3HsQ,GCxAsvG3HsQ,7560,7560,Semi-Finals 2 | Bursaspor Basketbol v PAOK mateco | Full Bas,2026-09-11T17:23:12Z
210,basketball,nbl,NBL Australia full game replay,5IfsjfYqSnA,5IfsjfYqSnA,7695,7695,NBL26 Round 4 | Adelaide 36ers vs Sydney Kings,2026-09-11T17:23:17Z
211,basketball,nbl,NBL Australia full game replay,CdviIms2akE,CdviIms2akE,9621,9621,NBL26 Championship Series Game 5 | Sydney Kings vs Adelaide ,2026-09-11T17:23:17Z
212,basketball,nbl,NBL Australia full game replay,UgmcyE8wkRM,UgmcyE8wkRM,6720,6720,NBL26 Round 6 | New Zealand Breakers vs Brisbane Bullets,2026-09-11T17:23:17Z
213,basketball,nbl,NBL Australia full game replay,E-uB5sc8O5Y,E-uB5sc8O5Y,7201,7201,NBL22 Grand Final Game 1 | Sydney Kings vs Tasmania JackJump,2026-09-11T17:23:17Z
214,basketball,nbl,NBL Australia full game replay,vG_-W_z8QjQ,vG_-W_z8QjQ,7395,7395,NBL26 Playoffs Game 3 | Adelaide 36ers vs South East Melbour,2026-09-11T17:23:17Z
215,basketball,nbl,NBL Australia full game replay,vWF_p2syAoY,vWF_p2syAoY,6283,6283,Best of NBL20 | LaMelo Ball's First Triple Double vs Cairns,2026-09-11T17:23:17Z
216,basketball,nbl,NBL Australia full game replay,OMKX2_OvVDc,OMKX2_OvVDc,8122,8122,NBL - Round 1 - Melbourne United Vs Adaleide 36ers (Full Gam,2026-09-11T17:23:17Z
217,basketball,nbl,NBL Australia full game replay,0RJl9fOJpc0,0RJl9fOJpc0,7555,7555,NBL26 Playoffs Game 1 | Adelaide 36ers vs South East Melbour,2026-09-11T17:23:17Z
219,basketball,nbl,NBL Australia full game replay,ETFgvV4t-n4,ETFgvV4t-n4,7150,7150,NBL26 Championship Series Game 4 | Adelaide 36ers vs Sydney ,2026-09-11T17:23:17Z
221,basketball,nbl,NBL Australia full game replay,DwAu4-eWqFs,DwAu4-eWqFs,6998,6998,NBL Rewind | 2014 Perth Wildcats vs Melbourne Tigers,2026-09-11T17:23:17Z
225,basketball,lba,Lega Basket Serie A partita completa,37Lw3KKzlns,37Lw3KKzlns,6580,6580,Finale Scudetto 2023-24 Virtus Bologna - Olimpia Milano G1 (,2026-09-11T17:23:21Z
227,basketball,lba,Lega Basket Serie A partita completa,v1bhXMQvmDE,v1bhXMQvmDE,5746,5746,UMANA REYER - VIRTUS BOLOGNA: Coppa Italia 2022/23 - FULL GA,2026-09-11T17:23:21Z
228,basketball,lba,Lega Basket Serie A partita completa,jsj-imsL_PM,jsj-imsL_PM,6006,6006,Umana Reyer Venezia - Virtus Olidata Bologna: 15^ giornata L,2026-09-11T17:23:21Z
229,basketball,lba,Lega Basket Serie A partita completa,Q8DsF852LJ8,Q8DsF852LJ8,6727,6727,Olimpia Milano - Virtus Bologna Finale Scudetto 2023 G7 (FUL,2026-09-11T17:23:21Z
230,basketball,lba,Lega Basket Serie A partita completa,xfeLrkVamaU,xfeLrkVamaU,7200,7200,Olimpia Milano - Virtus Bologna Finale Scudetto 2023 G1 (FUL,2026-09-11T17:23:21Z
232,basketball,lba,Lega Basket Serie A partita completa,X_dBf9OZzFw,X_dBf9OZzFw,6246,6246,Finale Scudetto 2023-24 Olimpia Milano - Virtus Bologna G3 (,2026-09-11T17:23:21Z
233,basketball,lba,Lega Basket Serie A partita completa,EWkUDuh3chc,EWkUDuh3chc,5022,5022,G4 LBA V. BOLOGNA - DINAMO BDS | FULL GAME,2026-09-11T17:23:21Z
234,basketball,lba,Lega Basket Serie A partita completa,nIE_L75oknQ,nIE_L75oknQ,7844,7844,Olimpia Milano - Virtus Bologna Finale 2022 G6 (FULL GAME),2026-09-11T17:23:21Z
235,basketball,lba,Lega Basket Serie A partita completa,9XC8JHgQKXk,9XC8JHgQKXk,5439,5439,"Reyer Venezia - Virtus Bologna, 8 dic 2018 - 9a giornata",2026-09-11T17:23:21Z
236,basketball,lba,Lega Basket Serie A partita completa,GY44SgZtESk,GY44SgZtESk,7084,7084,Pallacanestro Openjobmetis Varese-Germani Brescia. 20a giorn,2026-09-11T17:23:21Z
237,basketball,lba,Lega Basket Serie A partita completa,jXbV5rbuK9I,jXbV5rbuK9I,7562,7562,Finale Scudetto 2023-24 Olimpia Milano - Virtus Bologna G4 (,2026-09-11T17:23:21Z
241,basketball,betclic,Betclic Elite match complet basket,NcMzL7oTSKg,NcMzL7oTSKg,8941,8941,Paris vs. ASVEL | Betclic Élite J30 | En direct GRATUITEMENT,2026-09-11T17:23:25Z
242,basketball,betclic,Betclic Elite match complet basket,p88B21T8vMw,p88B21T8vMw,7404,7404,🍿 Le replay de l'incroyable Lyon-Villeurbanne - Monaco | Bet,2026-09-11T17:23:25Z
243,basketball,betclic,Betclic Elite match complet basket,7TW8IGY_yqU,7TW8IGY_yqU,9591,9591,Paris vs. Nanterre | Match en direct | Betclic Élite 2025-20,2026-09-11T17:23:25Z
244,basketball,betclic,Betclic Elite match complet basket,mAl_gEPhp3s,mAl_gEPhp3s,9096,9096,AS Monaco Basketball vs Paris Basketball - 8e de finale de l,2026-09-11T17:23:25Z
245,basketball,betclic,Betclic Elite match complet basket,Bapg5HZTKN4,Bapg5HZTKN4,8771,8771,Leaders Cup | Finale : Le Mans vs. Monaco,2026-09-11T17:23:25Z
248,basketball,betclic,Betclic Elite match complet basket,ItDCY8fUKiI,ItDCY8fUKiI,8060,8060,[REPLAY] FINALE COUPE DE FRANCE MASCULINE | Le Mans (Betclic,2026-09-11T17:23:25Z
249,basketball,betclic,Betclic Elite match complet basket,97AypcBJNUE,97AypcBJNUE,6271,6271,[MATCH COMPLET] Le Mans-LDLC ASVEL / Finale Coupe de France ,2026-09-11T17:23:25Z
254,basketball,betclic,Betclic Elite match complet basket,NGrKcY4Wm6E,NGrKcY4Wm6E,5486,5486,Terry Allen Full Game: ESSM Le Portel vs Limoges CSP Elite B,2026-09-11T17:23:25Z
257,ncaa_basketball,ncaaw,NCAA women basketball full game replay,Obs04D_5250,Obs04D_5250,4561,4561,UConn vs. Oklahoma - 2025 NCAA women’s Sweet 16 | FULL REPLA,2026-09-11T17:23:29Z
259,ncaa_basketball,ncaaw,NCAA women basketball full game replay,XHFzkMfAhRs,XHFzkMfAhRs,4609,4609,South Carolina vs. NC State  - 2024 NCAA women’s Final Four ,2026-09-11T17:23:29Z
260,ncaa_basketball,ncaaw,NCAA women basketball full game replay,nHihPhDQ5_0,nHihPhDQ5_0,6136,6136,UCLA vs. LSU - 2025 NCAA women’s Elite Eight | FULL REPLAY,2026-09-11T17:23:29Z
261,ncaa_basketball,ncaaw,NCAA women basketball full game replay,gv_3kxDm8RU,gv_3kxDm8RU,5837,5837,LSU vs. Iowa - 2023 NCAA women’s national championship | FUL,2026-09-11T17:23:29Z
262,ncaa_basketball,ncaaw,NCAA women basketball full game replay,nIAfdY5FYOM,nIAfdY5FYOM,6000,6000,Iowa vs. LSU - 2024 NCAA women's basketball Elite Eight | FU,2026-09-11T17:23:29Z
263,ncaa_basketball,ncaaw,NCAA women basketball full game replay,e4g-N7Tj4ik,e4g-N7Tj4ik,4489,4489,Iowa vs. Holy Cross - 2024 NCAA women's first round | FULL R,2026-09-11T17:23:29Z
264,ncaa_basketball,ncaaw,NCAA women basketball full game replay,u9LUsIrxfbk,u9LUsIrxfbk,5406,5406,Iowa vs. Louisville - 2023 NCAA women’s Elite Eight | FULL R,2026-09-11T17:23:29Z
265,ncaa_basketball,ncaaw,NCAA women basketball full game replay,KPCQ9EO4PMk,KPCQ9EO4PMk,4231,4231,UConn vs. Arkansas State: 2025 NCAA women's first round | FU,2026-09-11T17:23:29Z
266,ncaa_basketball,ncaaw,NCAA women basketball full game replay,Y2-M4kLQFN4,Y2-M4kLQFN4,7380,7380,UConn vs. NC State: 2022 NCAA women's Elite Eight | FULL REP,2026-09-11T17:23:29Z
268,ncaa_basketball,ncaaw,NCAA women basketball full game replay,ZUF61y_9P3U,ZUF61y_9P3U,4527,4527,LSU vs. Virginia Tech - 2023 NCAA women’s Final Four | FULL ,2026-09-11T17:23:29Z
269,ncaa_basketball,ncaaw,NCAA women basketball full game replay,wYEldEDV3dQ,wYEldEDV3dQ,5001,5001,Iowa vs. South Carolina - 2023 NCAA women’s Final Four | FUL,2026-09-11T17:23:29Z
270,nba,summerleague,NBA Summer League full game 2025,oA9IHkrPNws,oA9IHkrPNws,4683,4683,Cooper Flagg vs Bronny James - NBA Summer League (Mavericks ,2026-09-11T17:23:34Z
271,nba,summerleague,NBA Summer League full game 2025,u1OWyy1C_i8,u1OWyy1C_i8,7068,7068,Milwaukee Bucks vs Chicago Bulls  Full  Game Jul 16 2025 NBA,2026-09-11T17:23:34Z
272,nba,summerleague,NBA Summer League full game 2025,qJ8-NFqWhqU,qJ8-NFqWhqU,5666,5666,Charlotte Hornets vs Dallas Mavericks FULL Game  Jul 14 2025,2026-09-11T17:23:34Z
