arm,slot,batch,ms_per_frame_us,tensor_shape,dtype,boxes_total,zero_box_frames
single,000001,000001,044832,000001-000003-000352-000640,torch.float16,000040,000000
single,000002,000001,044947,000001-000003-000352-000640,torch.float16,000040,000000
single,000003,000001,047427,000001-000003-000352-000640,torch.float16,000507,000000
single_repeat,000001,000001,049756,000001-000003-000352-000640,torch.float16,000040,000000
single_repeat,000002,000001,044804,000001-000003-000352-000640,torch.float16,000040,000000
single_repeat,000003,000001,049926,000001-000003-000352-000640,torch.float16,000507,000000
batch2,000001,000002,052632,000002-000003-000352-000640,torch.float16,000040,000000
batch2,000002,000002,032417,000002-000003-000352-000640,torch.float16,000040,000000
batch2,000003,000002,032576,000002-000003-000352-000640,torch.float16,000507,000000
batch8,000001,000008,047821,000008-000003-000352-000640,torch.float16,000040,000000
batch8,000002,000008,015006,000008-000003-000352-000640,torch.float16,000040,000000
batch8,000003,000008,017397,000008-000003-000352-000640,torch.float16,000507,000000
pad,000001,000008,015304,000008-000003-000352-000640,torch.float16,000040,000000
pad,000002,000008,015003,000008-000003-000352-000640,torch.float16,000040,000000
pad,000003,000008,017611,000008-000003-000352-000640,torch.float16,000507,000000
fp32,000001,000008,052388,000008-000003-000352-000640,torch.float32,000040,000000
fp32,000002,000008,015302,000008-000003-000352-000640,torch.float32,000040,000000
fp32,000003,000008,015251,000008-000003-000352-000640,torch.float32,000507,000000
nmsord,000001,000008,014820,000008-000003-000352-000640,torch.float16,000040,000000
nmsord,000002,000008,015226,000008-000003-000352-000640,torch.float16,000040,000000
nmsord,000003,000008,015291,000008-000003-000352-000640,torch.float16,000507,000000
