frame_index,arm,box_index,x1,y1,x2,y2,score,class,slot,n_boxes
000000,single_repeat,000000,001971/000004,000048/000001,005901/000004,000984/000001,001837/002048,000000,000001,000001
000206,single_repeat,000000,001965/000004,000081/000002,005805/000004,000804/000001,001889/002048,000000,000001,000001
000412,single_repeat,000000,001011/000002,000099/000002,003099/000002,001743/000002,001835/002048,000000,000001,000001
000619,single_repeat,000000,000513/000001,000048/000001,001542/000001,001002/000001,001849/002048,000000,000001,000001
000825,single_repeat,000000,000513/000001,000048/000001,001539/000001,001995/000002,000231/000256,000000,000001,000001
001031,single_repeat,000000,001029/000002,000051/000001,001554/000001,000864/000001,001835/002048,000000,000001,000001
001237,single_repeat,000000,004107/000008,000045/000001,001536/000001,001995/000002,000459/000512,000000,000001,000001
001444,single_repeat,000000,000516/000001,000087/000002,003099/000002,000849/000001,000921/001024,000000,000001,000001
001650,single_repeat,000000,001035/000002,000147/000004,001554/000001,003465/000004,001849/002048,000000,000001,000001
001856,single_repeat,000000,000516/000001,000048/000001,003069/000002,003933/000004,001829/002048,000000,000001,000001
002062,single_repeat,000000,000987/000002,000063/000001,003045/000002,001002/000001,000907/001024,000000,000001,000001
002269,single_repeat,000000,004179/000008,000207/000004,001536/000001,003495/000004,001819/002048,000000,000001,000001
002475,single_repeat,000000,000525/000001,000105/000002,001539/000001,000852/000001,001843/002048,000000,000001,000001
002681,single_repeat,000000,000513/000001,000297/000004,001539/000001,003957/000004,000923/001024,000000,000001,000001
002887,single_repeat,000000,002049/000004,000057/000001,006123/000004,001983/000002,000029/000032,000000,000001,000001
003093,single_repeat,000000,001029/000002,000051/000001,001530/000001,001977/000002,001853/002048,000000,000001,000001
003300,single_repeat,000000,001029/000002,000090/000001,003069/000002,003927/000004,001823/002048,000000,000001,000001
003506,single_repeat,000000,000516/000001,000129/000002,003063/000002,000999/000001,000929/001024,000000,000001,000001
003712,single_repeat,000000,000510/000001,000255/000004,003069/000002,000996/000001,000923/001024,000000,000001,000001
003918,single_repeat,000000,000513/000001,000183/000004,003075/000002,003699/000004,000007/000008,000000,000001,000001
004125,single_repeat,000000,000513/000001,000225/000004,003081/000002,003459/000004,001819/002048,000000,000001,000001
004331,single_repeat,000000,004071/000008,000060/000001,003069/000002,001002/000001,001811/002048,000000,000001,000001
004537,single_repeat,000000,001029/000002,000261/000004,003093/000002,001689/000002,001833/002048,000000,000001,000001
004743,single_repeat,000000,000510/000001,000006/000001,003093/000002,001005/000001,001787/002048,000000,000001,000001
004950,single_repeat,000000,000903/000002,000006/000001,001665/000001,001008/000001,001763/002048,000000,000001,000001
005156,single_repeat,000000,000501/000001,000099/000002,001551/000001,001977/000002,001833/002048,000000,000001,000001
005362,single_repeat,000000,004083/000008,000177/000004,001548/000001,003975/000004,000903/001024,000000,000001,000001
005568,single_repeat,000000,000510/000001,000081/000004,003069/000002,000999/000001,000921/001024,000000,000001,000001
005774,single_repeat,000000,000513/000001,000060/000001,001542/000001,003975/000004,000913/001024,000000,000001,000001
005981,single_repeat,000000,004071/000008,000093/000002,003063/000002,001989/000002,000459/000512,000000,000001,000001
006187,single_repeat,000000,000504/000001,000183/000004,001512/000001,003951/000004,000919/001024,000000,000001,000001
006393,single_repeat,000000,002037/000004,000045/000001,006093/000004,001983/000002,001865/002048,000000,000001,000001
006599,single_repeat,000000,000510/000001,000177/000004,001518/000001,003945/000004,000923/001024,000000,000001,000001
006806,single_repeat,000000,000510/000001,000051/000001,003051/000002,000993/000001,000057/000064,000000,000001,000001
007012,single_repeat,000000,001023/000002,000093/000002,003045/000002,001983/000002,000455/000512,000000,000001,000001
007218,single_repeat,000000,000513/000001,000099/000002,001518/000001,000993/000001,000929/001024,000000,000001,000001
007424,single_repeat,000000,002055/000004,000048/000001,006081/000004,000993/000001,001847/002048,000000,000001,000001
007631,single_repeat,000000,002061/000004,000231/000004,006081/000004,001983/000002,000915/001024,000000,000001,000001
007837,single_repeat,000000,004125/000008,000267/000004,001527/000001,003975/000004,000115/000128,000000,000001,000001
008043,single_repeat,000000,001035/000002,000033/000001,001527/000001,000999/000001,000459/000512,000000,000001,000001
000000,single_repeat,000000,000315/000001,000081/000001,001353/000001,002025/000002,001967/002048,000000,000002,000001
000201,single_repeat,000000,002505/000008,000171/000002,002703/000002,001011/000001,001961/002048,000000,000002,000001
000401,single_repeat,000000,001251/000004,000072/000001,005415/000004,001011/000001,001967/002048,000000,000002,000001
000602,single_repeat,000000,001245/000004,000093/000001,005415/000004,001011/000001,001955/002048,000000,000002,000001
000803,single_repeat,000000,000615/000002,000159/000002,001353/000001,002025/000002,001967/002048,000000,000002,000001
001003,single_repeat,000000,001227/000004,000081/000001,005415/000004,002025/000002,000981/001024,000000,000002,000001
001204,single_repeat,000000,002487/000008,000315/000004,002721/000002,001011/000001,000489/000512,000000,000002,000001
001404,single_repeat,000000,000312/000001,000153/000002,001356/000001,004047/000004,001967/002048,000000,000002,000001
001605,single_repeat,000000,000627/000002,000081/000002,001359/000001,001011/000001,001981/002048,000000,000002,000001
001806,single_repeat,000000,002505/000008,000039/000001,002727/000002,002025/000002,000495/000512,000000,000002,000001
002006,single_repeat,000000,000270/000001,000009/000004,002859/000002,004047/000004,001929/002048,000000,000002,000001
002207,single_repeat,000000,001263/000004,000024/000001,005823/000004,002025/000002,001965/002048,000000,000002,000001
002408,single_repeat,000000,000429/000002,000042/000001,001344/000001,002025/000002,000059/000064,000000,000002,000001
002608,single_repeat,000000,001845/000004,000123/000002,005343/000004,002019/000002,000123/000128,000000,000002,000001
002809,single_repeat,000000,000468/000001,000237/000004,002697/000002,004041/000004,001961/002048,000000,000002,000001
003010,single_repeat,000000,000933/000002,000255/000004,001347/000001,004041/000004,000981/001024,000000,000002,000001
003210,single_repeat,000000,001755/000004,000189/000004,005319/000004,004041/000004,000489/000512,000000,000002,000001
003411,single_repeat,000000,000432/000001,000099/000002,001323/000001,001011/000001,001947/002048,000000,000002,000001
003612,single_repeat,000000,001719/000004,000087/000002,005355/000004,002013/000002,000973/001024,000000,000002,000001
003812,single_repeat,000000,000417/000001,000153/000002,001311/000001,001011/000001,000487/000512,000000,000002,000001
004013,single_repeat,000000,000855/000002,000111/000002,002643/000002,001011/000001,001927/002048,000000,000002,000001
004213,single_repeat,000000,003483/000008,000261/000004,001398/000001,004041/000004,000059/000064,000000,000002,000001
004414,single_repeat,000000,003537/000008,000327/000004,002697/000002,004035/000004,000955/001024,000000,000002,000001
