frame_index,arm,box_index,x1,y1,x2,y2,score,class,slot,n_boxes
000000,nmsord,000000,001971/000004,000048/000001,005901/000004,000984/000001,001837/002048,000000,000001,000001
000206,nmsord,000000,001965/000004,000081/000002,005805/000004,000804/000001,001889/002048,000000,000001,000001
000412,nmsord,000000,001011/000002,000099/000002,003099/000002,001743/000002,001835/002048,000000,000001,000001
000619,nmsord,000000,000513/000001,000048/000001,001542/000001,001002/000001,001849/002048,000000,000001,000001
000825,nmsord,000000,000513/000001,000048/000001,001539/000001,001995/000002,000231/000256,000000,000001,000001
001031,nmsord,000000,001029/000002,000051/000001,001554/000001,000864/000001,001835/002048,000000,000001,000001
001237,nmsord,000000,004107/000008,000045/000001,001536/000001,001995/000002,000459/000512,000000,000001,000001
001444,nmsord,000000,000516/000001,000087/000002,003099/000002,000849/000001,001843/002048,000000,000001,000001
001650,nmsord,000000,001035/000002,000147/000004,001554/000001,000867/000001,001849/002048,000000,000001,000001
001856,nmsord,000000,000516/000001,000048/000001,003069/000002,003933/000004,001829/002048,000000,000001,000001
002062,nmsord,000000,000987/000002,000063/000001,003045/000002,001002/000001,000907/001024,000000,000001,000001
002269,nmsord,000000,004179/000008,000207/000004,001536/000001,003495/000004,001819/002048,000000,000001,000001
002475,nmsord,000000,000525/000001,000105/000002,001539/000001,000852/000001,000461/000512,000000,000001,000001
002681,nmsord,000000,000513/000001,000075/000001,001539/000001,000990/000001,000923/001024,000000,000001,000001
002887,nmsord,000000,002049/000004,000057/000001,006123/000004,001983/000002,000029/000032,000000,000001,000001
003093,nmsord,000000,001029/000002,000051/000001,001530/000001,001977/000002,001853/002048,000000,000001,000001
003300,nmsord,000000,001029/000002,000090/000001,003069/000002,003927/000004,001823/002048,000000,000001,000001
003506,nmsord,000000,000516/000001,000129/000002,003063/000002,000999/000001,001859/002048,000000,000001,000001
003712,nmsord,000000,000510/000001,000255/000004,003069/000002,000996/000001,000923/001024,000000,000001,000001
003918,nmsord,000000,000513/000001,000183/000004,003075/000002,001851/000002,000007/000008,000000,000001,000001
004125,nmsord,000000,000513/000001,000057/000001,001542/000001,001731/000002,001819/002048,000000,000001,000001
004331,nmsord,000000,004071/000008,000060/000001,003069/000002,001002/000001,001811/002048,000000,000001,000001
004537,nmsord,000000,001029/000002,000261/000004,003093/000002,001689/000002,001833/002048,000000,000001,000001
004743,nmsord,000000,004071/000008,000006/000001,003093/000002,001005/000001,001787/002048,000000,000001,000001
004950,nmsord,000000,000903/000002,000006/000001,001665/000001,001008/000001,001763/002048,000000,000001,000001
005156,nmsord,000000,000501/000001,000099/000002,001551/000001,001977/000002,001833/002048,000000,000001,000001
005362,nmsord,000000,004083/000008,000177/000004,001548/000001,003975/000004,000903/001024,000000,000001,000001
005568,nmsord,000000,000510/000001,000021/000001,003069/000002,000999/000001,000921/001024,000000,000001,000001
005774,nmsord,000000,000513/000001,000243/000004,001542/000001,003975/000004,000913/001024,000000,000001,000001
005981,nmsord,000000,002037/000004,000093/000002,006129/000004,001989/000002,001835/002048,000000,000001,000001
006187,nmsord,000000,000504/000001,000183/000004,001512/000001,003951/000004,000919/001024,000000,000001,000001
006393,nmsord,000000,004065/000008,000045/000001,003045/000002,001983/000002,001865/002048,000000,000001,000001
006599,nmsord,000000,000510/000001,000177/000004,001518/000001,003945/000004,000923/001024,000000,000001,000001
006806,nmsord,000000,000510/000001,000051/000001,003051/000002,000993/000001,001823/002048,000000,000001,000001
007012,nmsord,000000,001023/000002,000093/000002,003045/000002,001983/000002,000455/000512,000000,000001,000001
007218,nmsord,000000,000513/000001,000099/000002,001518/000001,000993/000001,000929/001024,000000,000001,000001
007424,nmsord,000000,002055/000004,000048/000001,006081/000004,000993/000001,000923/001024,000000,000001,000001
007631,nmsord,000000,002061/000004,000117/000002,006081/000004,001983/000002,001829/002048,000000,000001,000001
007837,nmsord,000000,004125/000008,000267/000004,001527/000001,003975/000004,000115/000128,000000,000001,000001
008043,nmsord,000000,001035/000002,000129/000004,001527/000001,003999/000004,000459/000512,000000,000001,000001
000000,nmsord,000000,000315/000001,000321/000004,001353/000001,004047/000004,001967/002048,000000,000002,000001
000201,nmsord,000000,002505/000008,000171/000002,002703/000002,001011/000001,001961/002048,000000,000002,000001
000401,nmsord,000000,001251/000004,000072/000001,005415/000004,001011/000001,001967/002048,000000,000002,000001
000602,nmsord,000000,001245/000004,000093/000001,005415/000004,001011/000001,001955/002048,000000,000002,000001
000803,nmsord,000000,002463/000008,000159/000002,002709/000002,002025/000002,001967/002048,000000,000002,000001
001003,nmsord,000000,002463/000008,000081/000001,002709/000002,002025/000002,000981/001024,000000,000002,000001
001204,nmsord,000000,002487/000008,000315/000004,002721/000002,001011/000001,000489/000512,000000,000002,000001
001404,nmsord,000000,000312/000001,000153/000002,001356/000001,004047/000004,001967/002048,000000,000002,000001
001605,nmsord,000000,000627/000002,000081/000002,001359/000001,001011/000001,001981/002048,000000,000002,000001
001806,nmsord,000000,000627/000002,000039/000001,002727/000002,002025/000002,000495/000512,000000,000002,000001
002006,nmsord,000000,002169/000008,000009/000004,002859/000002,004047/000004,001929/002048,000000,000002,000001
002207,nmsord,000000,001263/000004,000024/000001,005823/000004,002025/000002,001965/002048,000000,000002,000001
002408,nmsord,000000,000429/000002,000042/000001,001344/000001,002025/000002,000059/000064,000000,000002,000001
002608,nmsord,000000,001845/000004,000123/000002,005343/000004,002019/000002,000123/000128,000000,000002,000001
002809,nmsord,000000,000468/000001,000237/000004,002697/000002,004041/000004,001961/002048,000000,000002,000001
003010,nmsord,000000,000933/000002,000255/000004,001347/000001,004041/000004,000981/001024,000000,000002,000001
003210,nmsord,000000,000879/000002,000189/000004,002661/000002,004041/000004,000489/000512,000000,000002,000001
003411,nmsord,000000,001725/000004,000099/000002,005295/000004,001011/000001,001947/002048,000000,000002,000001
003612,nmsord,000000,003441/000008,000087/000002,002679/000002,002013/000002,000973/001024,000000,000002,000001
003812,nmsord,000000,000417/000001,000153/000002,001311/000001,001011/000001,000487/000512,000000,000002,000001
004013,nmsord,000000,000855/000002,000111/000002,002643/000002,001011/000001,001927/002048,000000,000002,000001
004213,nmsord,000000,003483/000008,000261/000004,001398/000001,004041/000004,000059/000064,000000,000002,000001
004414,nmsord,000000,003537/000008,000327/000004,002697/000002,001008/000001,000955/001024,000000,000002,000001
004615,nmsord,000000,000867/000002,000048/000001,002655/000002,001011/000001,001951/002048,000000,000002,000001
004815,nmsord,000000,003543/000008,000045/000001,002685/000002,002019/000002,001947/002048,000000,000002,000001
005016,nmsord,000000,001833/000004,000255/000004,005409/000004,002019/000002,001951/002048,000000,000002,000001
005217,nmsord,000000,000909/000002,000087/000001,001344/000001,002019/000002,001953/002048,000000,000002,000001
005417,nmsord,000000,003615/000008,000111/000002,002685/000002,001008/000001,001949/002048,000000,000002,000001
005618,nmsord,000000,000456/000001,000111/000004,001347/000001,002019/000002,001963/002048,000000,000002,000001
005819,nmsord,000000,001827/000004,000093/000004,005397/000004,004041/000004,000979/001024,000000,000002,000001
006019,nmsord,000000,001857/000004,000069/000004,005469/000004,004023/000004,001955/002048,000000,000002,000001
006220,nmsord,000000,000903/000002,000207/000004,001347/000001,002019/000002,001935/002048,000000,000002,000001
006421,nmsord,000000,000453/000001,000042/000001,001347/000001,002019/000002,001947/002048,000000,000002,000001
006621,nmsord,000000,000903/000002,000159/000004,001344/000001,004035/000004,000979/001024,000000,000002,000001
006822,nmsord,000000,000903/000002,000087/000002,002691/000002,001008/000001,001945/002048,000000,000002,000001
007022,nmsord,000000,001815/000004,000033/000001,005397/000004,001008/000001,001953/002048,000000,000002,000001
007223,nmsord,000000,000915/000002,000219/000004,002697/000002,004035/000004,000971/001024,000000,000002,000001
007424,nmsord,000000,000897/000002,000087/000002,002697/000002,002019/000002,001927/002048,000000,000002,000001
007624,nmsord,000000,003423/000008,000018/000001,002655/000002,002019/000002,001955/002048,000000,000002,000001
007825,nmsord,000000,003261/000008,000195/000004,001302/000001,001008/000001,000489/000512,000000,000002,000001
000000,nmsord,000000,001704/000001,001845/000004,001920/000001,001020/000001,000221/000256,000000,000003,000012
000000,nmsord,000001,002127/000004,000225/000004,004617/000004,004029/000004,001749/002048,000000,000003,000012
000000,nmsord,000002,000000/000001,000072/000001,004653/000016,002025/000002,000419/000512,000000,000003,000012
000000,nmsord,000003,003159/000002,005811/000016,003597/000002,001443/000002,000393/000512,000000,000003,000012
000000,nmsord,000004,000909/000004,005013/000008,001755/000004,001017/000001,000173/000256,000000,000003,000012
000000,nmsord,000005,002883/000002,001137/000002,003423/000002,001677/000002,001323/002048,000000,000003,000012
000000,nmsord,000006,003063/000008,002751/000004,004809/000008,004065/000004,001191/002048,000000,000003,000012
000000,nmsord,000007,001788/000001,000003/000032,001920/000001,000717/000002,001833/004096,000000,000003,000012
000000,nmsord,000008,004461/000004,001119/000002,005631/000004,001677/000002,000869/002048,000000,000003,000012
000000,nmsord,000009,004389/000004,004449/000008,005637/000004,001020/000001,001657/004096,000000,000003,000012
000000,nmsord,000010,005673/000004,002277/000004,001731/000001,004065/000004,001403/004096,000000,000003,000012
000000,nmsord,000011,000378/000001,000684/000001,000843/000001,001017/000001,002029/008192,000000,000003,000012
000100,nmsord,000000,003327/000002,002379/000004,003579/000002,003357/000004,000833/001024,000000,000003,000015
000100,nmsord,000001,005379/000004,002001/000004,005877/000004,003015/000004,001595/002048,000000,000003,000015
000100,nmsord,000002,001239/000002,000474/000001,001533/000002,001629/000002,000747/001024,000000,000003,000015
000100,nmsord,000003,001431/000001,002337/000008,001500/000001,003987/000008,000167/000256,000000,000003,000015
000100,nmsord,000004,003039/000004,001881/000004,003771/000004,002781/000004,000275/000512,000000,000003,000015
000100,nmsord,000005,002019/000002,004539/000016,001098/000001,000903/000002,000529/001024,000000,000003,000015
000100,nmsord,000006,000939/000001,001239/000004,001014/000001,000933/000002,000065/000128,000000,000003,000015
000100,nmsord,000007,000903/000002,001371/000004,001113/000002,001983/000004,000247/000512,000000,000003,000015
000100,nmsord,000008,001215/000001,002847/000004,002601/000002,004065/000004,000469/001024,000000,000003,000015
000100,nmsord,000009,000639/000001,000645/000002,003015/000004,002037/000004,001841/004096,000000,000003,000015
