report,sport,source,source_sha256,before_verdict,after_verdict,legacy_jump_p95_ft,jump_max_ft,modal_stride_frames,measurement_scope
0022400625,basketball,data/tracking/0022400625/tracking_data.csv,6800735E3976522C93C1649EC7DF057466875BF6A332222F05F140E9E4EB6AA5,FAIL,FAIL,not_evaluated,not_evaluated,not_evaluated,coordinate_contract
0022400687,basketball,data/tracking/0022400687/tracking_data.csv,6ED47E31B9DA5BBA3D931F8DD1378594F2471E390C4A3C233D2AE908E9C915F6,FAIL,FAIL,not_evaluated,not_evaluated,not_evaluated,coordinate_contract
0022400690,basketball,data/tracking/0022400690/tracking_data.csv,F89B33A8EAF8BA987AD31B14FD66042726AC5A86379A0CCDC0890FEF90A386C3,FAIL,FAIL,not_evaluated,not_evaluated,not_evaluated,coordinate_contract
0022400710,basketball,data/tracking/0022400710/tracking_data.csv,B7D1AF9565444C1C7ABCC0A96D0824B27C85DB5E5DBF2902FC24554CFC328B50,FAIL,FAIL,not_evaluated,not_evaluated,not_evaluated,coordinate_contract
0022400852,basketball,data/tracking/0022400852/tracking_data.csv,D8989E1D774938DD6C2D2F9C994E2A6BA6986E67F719669BB8EA376E7F8EE9E1,FAIL,FAIL,not_evaluated,not_evaluated,not_evaluated,coordinate_contract
0022400909,basketball,data/tracking/0022400909/tracking_data.csv,3634CFF27CCD852DD59CB1B9648D5CFA3AC16898B1DEA171A0D04B609E4D35F1,FAIL,FAIL,not_evaluated,not_evaluated,not_evaluated,coordinate_contract
0022401156,basketball,data/tracking/0022401156/tracking_data.csv,8667B297F67AA02176E91DDE0799F92C697FBD01CE6BA096CD75E434F4B063E1,FAIL,FAIL,not_evaluated,not_evaluated,not_evaluated,coordinate_contract
0022401183,basketball,data/tracking/0022401183/tracking_data.csv,D2D48DA7F67EADF093BCF39AB6BBBA293EFDAE8CDB0CB6FEE9DEAA27B571517F,FAIL,FAIL,not_evaluated,not_evaluated,not_evaluated,coordinate_contract
0022401190,basketball,data/tracking/0022401190/tracking_data.csv,4352DA12C4C4CAAEF0BBC50F356C6279BF8E1E6D9C5497ACDAE673A43D6AA068,FAIL,FAIL,not_evaluated,not_evaluated,not_evaluated,coordinate_contract
0022401194,basketball,data/tracking/0022401194/tracking_data.csv,444443EC3D08C337CEAE9AB18D6039080494329A9E65D6B39C07D2AFECAD3003,FAIL,FAIL,not_evaluated,not_evaluated,not_evaluated,coordinate_contract
0022501165,basketball,data/tracking/0022501165/tracking_data.csv,F59952797DB47442C380D069E1D9C3BA6782D8422D0F2E16133D9D06C3B60CAC,FAIL,FAIL,2.160134,10.207963,3,quality_only_statistic_and_coordinate_contract
G83_tennis_09,tennis,data/tracking/G83_tennis_09/tracking_data.csv,3928D7CF773BC20CCD637383A933F5AB0CF21A356BB7F361E9E72098F83A7555,PASS,PASS,1.64,2.32,2,full_harness
