variant,clip,frame_index,role,stage_lost,mechanism,baseline_segment_count,intervention_segment_count,baseline_group_count,intervention_group_count,baseline_matching_indices,intervention_matching_indices,closest_intervention_index,shared_baseline_source_segments,baseline_matching_endpoints,closest_intervention_endpoints,render
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,free_throw,LSD proposal generation,CLAHE changed the LSD proposal set before grouping,81,116,41,48,25,,10,0,"[[1,258],[441,256]]","[[1,258],[457,256]]",renders/g123_clahe__ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f19200__free_throw.jpg
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,lane_right,LSD proposal generation,CLAHE changed the LSD proposal set before grouping,81,116,41,48,0;31,,8,0,"[[51,274],[357,278]]","[[32,299],[408,293]]",renders/g123_clahe__ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f19200__lane_right.jpg
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,lane_left,pre-group fragment merge,merged fragment span refit changed the grouped candidate geometry,84,84,51,40,30,,18,1,"[[4,187],[4,224]]","[[2,156],[4,224]]",renders/g120_merge__ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f20160__lane_left.jpg
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,lane_left,LSD proposal generation,CLAHE changed the LSD proposal set before grouping,84,97,51,55,30,,48,0,"[[4,187],[4,224]]","[[2,154],[4,184]]",renders/g123_clahe__ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f20160__lane_left.jpg
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,lane_right,pre-group fragment merge,merged fragment span refit changed the grouped candidate geometry,78,78,43,38,8,,11,0,"[[2,293],[341,271]]","[[2,231],[239,241]]",renders/g120_merge__ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__f1560__lane_right.jpg
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,lane_right,LSD proposal generation,CLAHE changed the LSD proposal set before grouping,76,89,38,37,4;24,,20,0,"[[361,223],[551,217]]","[[283,257],[545,253]]",renders/g123_clahe__ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__f11760__lane_right.jpg
g123_clahe,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,lane_left,LSD proposal generation,CLAHE changed the LSD proposal set before grouping,80,101,43,51,42,,10,0,"[[83,118],[86,147]]","[[52,98],[108,100]]",renders/g123_clahe__ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__f192__lane_left.jpg
g123_clahe,ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,lane_right,LSD proposal generation,CLAHE changed the LSD proposal set before grouping,72,95,53,56,47,,42,0,"[[414,274],[415,244]]","[[356,229],[388,230]]",renders/g123_clahe__ncaa_basketball__ncaa_basketball_zqBCKovJCQU__f19200__lane_right.jpg
g120_merge,wnba__wnba_01_1080p,12720,free_throw,pre-group fragment merge,merged fragment span refit changed the grouped candidate geometry,73,73,50,43,2,,10,2,"[[179,165],[638,198]]","[[357,185],[638,197]]",renders/g120_merge__wnba__wnba_01_1080p__f12720__free_throw.jpg
g123_clahe,wnba__wnba_05,6912,lane_right,LSD proposal generation,CLAHE changed the LSD proposal set before grouping,77,82,58,57,55,,50,0,"[[420,258],[448,261]]","[[392,267],[421,262]]",renders/g123_clahe__wnba__wnba_05__f6912__lane_right.jpg
