variant,clip,frame_index,role,visible,detected,lsd_segments,candidate_groups
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,baseline,true,false,89,50
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,free_throw,true,false,89,50
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,lane_left,true,true,89,50
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,lane_right,true,true,89,50
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,baseline,true,false,89,45
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,free_throw,true,false,89,45
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,lane_left,true,true,89,45
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,lane_right,true,true,89,45
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,baseline,true,false,96,59
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,free_throw,true,false,96,59
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,lane_left,true,true,96,59
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,lane_right,true,true,96,59
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,baseline,true,false,81,41
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,free_throw,true,true,81,41
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,lane_left,true,true,81,41
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,lane_right,true,true,81,41
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,baseline,true,false,81,36
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,free_throw,true,true,81,36
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,lane_left,true,true,81,36
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,lane_right,true,true,81,36
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,baseline,true,false,116,48
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,free_throw,true,false,116,48
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,lane_left,true,true,116,48
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,lane_right,true,false,116,48
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,baseline,true,false,84,51
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,free_throw,true,false,84,51
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,lane_left,true,true,84,51
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,lane_right,true,true,84,51
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,baseline,true,false,84,40
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,free_throw,true,false,84,40
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,lane_left,true,false,84,40
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,lane_right,true,true,84,40
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,baseline,true,false,97,55
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,free_throw,true,false,97,55
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,lane_left,true,false,97,55
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,lane_right,true,true,97,55
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,baseline,true,false,78,43
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,free_throw,true,false,78,43
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,lane_left,true,false,78,43
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,lane_right,true,true,78,43
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,baseline,true,false,78,38
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,free_throw,true,false,78,38
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,lane_left,true,false,78,38
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,lane_right,true,false,78,38
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,baseline,true,false,114,41
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,free_throw,true,false,114,41
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,lane_left,true,false,114,41
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,lane_right,true,true,114,41
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,baseline,true,false,87,41
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,free_throw,true,false,87,41
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,lane_left,true,false,87,41
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,lane_right,true,false,87,41
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,baseline,true,false,87,32
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,free_throw,true,false,87,32
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,lane_left,true,false,87,32
g120_merge,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,lane_right,true,true,87,32
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,baseline,true,false,104,48
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,free_throw,true,true,104,48
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,lane_left,true,false,104,48
g123_clahe,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,lane_right,true,true,104,48
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,baseline,true,true,76,38
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,free_throw,true,false,76,38
baseline,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,lane_left,true,true,76,38
