frame,track_id,cls,x,y,calibration_provenance,projection_status,projection_rejection_reason,raw_projected_x_ft,raw_projected_y_ft,coordinate_space,observation,calibration,source_fps,source_height,source_duration
1623,22,player,80.49394989013672,-6.338734149932861,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1653,23,player,-4.736353397369385,14.390352249145508,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1653,24,player,65.26400756835938,22.930355072021484,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1656,23,player,-4.691693305969238,14.153287887573242,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1656,24,player,65.85205078125,21.15064239501953,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1659,23,player,-4.720510005950928,14.151930809020996,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1659,24,player,65.58499908447266,20.090654373168945,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1668,23,player,-4.534038543701172,15.248963356018066,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1668,24,player,68.39512634277344,17.241880416870117,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1671,23,player,-4.535859107971191,15.269988059997559,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1671,24,player,69.66498565673828,16.435760498046875,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1674,23,player,-3.822796583175659,15.805342674255371,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1674,24,player,68.68972778320312,15.237789154052734,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1677,23,player,-3.3240768909454346,16.092941284179688,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1677,24,player,69.1641845703125,14.519163131713867,solved,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1680,23,player,-3.0751280784606934,16.76011848449707,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
1680,24,player,69.47409057617188,13.819421768188477,camera_lock_drift_checked,,,,,court_feet,observed,homography,29.97,360,964.5645645645646
