section_identity,measured_class,status,ledger_decoded_frames,producer_read_frames,evaluated_ticks,suspended_ticks,ledger_evaluated_frames,verdict_evaluated_frames,verdict_attempted_frames_capped,route_max_frames,reads_reconcile,schedule_status,schedule_reason,cap_status,cap_limited_span_s,available_span_s,cap_loss_s,cap_loss_over_5s,tracking_rows
2nn-umdCxXo_s1162,720p30,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,CAPPED,100.1,130.02989966666667,0.0,0,4936
2nn-umdCxXo_s2234,720p30,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,CAPPED,100.1,130.06326666666666,0.0,0,5359
2nn-umdCxXo_s3306,720p30,tracked,3898,1000,1000,0,1300,1300,1000,3000,1,KNOWN,,CAPPED,100.1,130.06326666666666,0.0,0,3900
2nn-umdCxXo_s4378,720p30,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,CAPPED,100.1,130.02989966666667,0.0,0,4401
2nn-umdCxXo_s5450,720p30,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,CAPPED,100.1,130.02989966666667,0.0,0,4038
2nn-umdCxXo_s90,720p30,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,CAPPED,100.1,130.02989966666667,0.0,0,2406
HnNYinCzPFU_s1413,720p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.06666633333333,0.0,0,5764
HnNYinCzPFU_s2736,720p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,4126
HnNYinCzPFU_s90,720p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,5664
I33o9UnUe1A_s1505,UNKNOWN,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,4009
I33o9UnUe1A_s2920,UNKNOWN,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5073
I33o9UnUe1A_s4335,UNKNOWN,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3589
I33o9UnUe1A_s5750,UNKNOWN,tracked,3901,971,971,0,1301,1301,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3011
I33o9UnUe1A_s7165,UNKNOWN,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,4323
I33o9UnUe1A_s90,UNKNOWN,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5224
LS2gHvzAW9Y_s1776,UNKNOWN,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5105
LS2gHvzAW9Y_s3462,UNKNOWN,tracked,3897,939,939,0,1299,1299,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2571
LS2gHvzAW9Y_s90,UNKNOWN,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2192
OdGDLXvM76w_s1299,UNKNOWN,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2304
OdGDLXvM76w_s2508,UNKNOWN,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,5255
OdGDLXvM76w_s3717,UNKNOWN,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3294
OdGDLXvM76w_s4926,UNKNOWN,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3720
OdGDLXvM76w_s90,UNKNOWN,tracked,3901,1271,539,732,1301,1301,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2968
SNeyXC57K1Y_s1785,720p30,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,CAPPED,100.1,130.02989966666667,0.0,0,4582
SNeyXC57K1Y_s3480,720p30,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,CAPPED,100.1,130.06326666666666,0.0,0,4027
SNeyXC57K1Y_s90,UNKNOWN,tracked,3897,990,990,0,1299,1299,1000,3000,1,KNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,3473
TcRGoJEF-Us_s1328,720p30,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,CAPPED,100.1,130.06326666666666,0.0,0,4197
TcRGoJEF-Us_s2566,720p30,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,CAPPED,100.1,130.02989966666667,0.0,0,2974
TcRGoJEF-Us_s3804,720p30,tracked,3898,1000,1000,0,1300,1300,1000,3000,1,KNOWN,,CAPPED,100.1,130.09663366666666,0.0,0,5237
TcRGoJEF-Us_s5042,720p30,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,CAPPED,100.1,130.02989966666667,0.0,0,3088
TcRGoJEF-Us_s90,720p30,tracked,3897,1000,1000,0,1299,1299,1000,3000,1,KNOWN,,CAPPED,100.1,130.06326666666666,0.0,0,3530
a2pEHm9YzFo_s1501,1080p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,3527
a2pEHm9YzFo_s2912,1080p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.06666633333333,0.0,0,4094
a2pEHm9YzFo_s4323,1080p30,tracked,3901,1000,1000,0,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.06666633333333,0.0,0,5219
a2pEHm9YzFo_s90,1080p30,tracked,3901,1301,359,942,1301,1301,1000,3000,1,KNOWN,,CAPPED,100.0,130.03333333333333,0.0,0,1520
