section_identity,retained,retention_status,receiver_path,pod_source_path,bytes,pc_sha256,pod_sha256,digest_match,probe_status,measured_width,measured_height,codec_name,avg_frame_rate_rational,r_frame_rate_rational,measured_fps,decoded_pts_count,first_pts,last_pts,sealed_start_pts,sealed_stop_pts,sealed_start_frame,sealed_stop_frame,sealed_source_frames,pod_measured_height,pod_measured_fps,probe_agreement
2nn-umdCxXo_s1162,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\nba__2nn-umdCxXo_s1162.mp4,/workspace/data/footage_corpus/nba__2nn-umdCxXo_s1162.mp4,38284469,691650ec6fe6eff58f3c6373d8f7b905cce09c48bfe2f9409869b30d1d38cb6b,691650ec6fe6eff58f3c6373d8f7b905cce09c48bfe2f9409869b30d1d38cb6b,1,OK,1280,720,h264,30000/1001,30000/1001,29.97002997002997,3897,0.0,129.996533,63.998267,65.998267,1919,1978,59,720,29.97002997002997,AGREE
2nn-umdCxXo_s2234,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\nba__2nn-umdCxXo_s2234.mp4,/workspace/data/footage_corpus/nba__2nn-umdCxXo_s2234.mp4,37051546,e34b7a57e5cae7e156fb8dbf8bc8703762fe4be95c0014c2deb1fa06343b1072,e34b7a57e5cae7e156fb8dbf8bc8703762fe4be95c0014c2deb1fa06343b1072,1,OK,1280,720,h264,30000/1001,30000/1001,29.97002997002997,3897,0.0,130.0299,63.998267,65.998267,1919,1978,59,720,29.97002997002997,AGREE
2nn-umdCxXo_s3306,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\nba__2nn-umdCxXo_s3306.mp4,/workspace/data/footage_corpus/nba__2nn-umdCxXo_s3306.mp4,37960988,fac24843ca9e865765a871bef4b5e643a93626ec919a10070d0d184d7ecc32a4,fac24843ca9e865765a871bef4b5e643a93626ec919a10070d0d184d7ecc32a4,1,OK,1280,720,h264,30000/1001,30000/1001,29.97002997002997,3898,0.0,130.0299,63.998267,65.998267,1919,1978,59,720,29.97002997002997,AGREE
2nn-umdCxXo_s4378,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\nba__2nn-umdCxXo_s4378.mp4,/workspace/data/footage_corpus/nba__2nn-umdCxXo_s4378.mp4,37703342,d7d7ca1e420a74366fa60ce0218aff1abca0457e2daac4fc5fae01d8e491a3ef,d7d7ca1e420a74366fa60ce0218aff1abca0457e2daac4fc5fae01d8e491a3ef,1,OK,1280,720,h264,30000/1001,30000/1001,29.97002997002997,3897,0.0,129.996533,63.998267,65.998267,1919,1978,59,720,29.97002997002997,AGREE
2nn-umdCxXo_s5450,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\nba__2nn-umdCxXo_s5450.mp4,/workspace/data/footage_corpus/nba__2nn-umdCxXo_s5450.mp4,36633555,8dd3b08160c68619da3e3bdf929b4bec401873c6f7671f6dcdc3dc7b17e9f794,8dd3b08160c68619da3e3bdf929b4bec401873c6f7671f6dcdc3dc7b17e9f794,1,OK,1280,720,h264,30000/1001,30000/1001,29.97002997002997,3897,0.0,129.996533,63.998267,65.998267,1919,1978,59,720,29.97002997002997,AGREE
2nn-umdCxXo_s90,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\nba__2nn-umdCxXo_s90.mp4,/workspace/data/footage_corpus/nba__2nn-umdCxXo_s90.mp4,36939742,d780f4f86dc1720b3c7ce26bf3fbd252a047bd93303ba548c4092979580f1613,d780f4f86dc1720b3c7ce26bf3fbd252a047bd93303ba548c4092979580f1613,1,OK,1280,720,h264,30000/1001,30000/1001,29.97002997002997,3897,0.0,129.996533,63.998267,65.998267,1919,1978,59,720,29.97002997002997,AGREE
HnNYinCzPFU_s1413,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\wnba__HnNYinCzPFU_s1413.mp4,/workspace/data/footage_corpus/wnba__HnNYinCzPFU_s1413.mp4,29156359,33a82e766df59806212b58e400fee507fed3f94a6d0936c6740b631559755fcc,33a82e766df59806212b58e400fee507fed3f94a6d0936c6740b631559755fcc,1,OK,1280,720,h264,30/1,30/1,30.0,3901,0.0,130.033333,64.0,66.0,1920,1980,60,720,30.0,AGREE
HnNYinCzPFU_s2736,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\wnba__HnNYinCzPFU_s2736.mp4,/workspace/data/footage_corpus/wnba__HnNYinCzPFU_s2736.mp4,38387302,21a487ca1ef08a1e3eda4e6206047d3aba03ff1b894cfe78307465cc294e00a6,21a487ca1ef08a1e3eda4e6206047d3aba03ff1b894cfe78307465cc294e00a6,1,OK,1280,720,h264,30/1,30/1,30.0,3901,0.0,130.0,64.0,66.0,1920,1980,60,720,30.0,AGREE
HnNYinCzPFU_s90,1,RETAINED_OFF_POD,C:\Users\neelj\g407_receiver\wnba__HnNYinCzPFU_s90.mp4,/workspace/data/footage_corpus/wnba__HnNYinCzPFU_s90.mp4,38017353,ccf32b238daaefcf09a3b5ef41916f4d8e984506ae7f6ef2e6d653df80bcc17b,ccf32b238daaefcf09a3b5ef41916f4d8e984506ae7f6ef2e6d653df80bcc17b,1,OK,1280,720,h264,30/1,30/1,30.0,3901,0.0,130.0,64.0,66.0,1920,1980,60,720,30.0,AGREE
I33o9UnUe1A_s1505,0,PRUNED_BEFORE_CENSUS,,,UNKNOWN,UNKNOWN,PRUNED,UNKNOWN,SOURCE_NOT_RETAINED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
