section_identity,competition,canonical_game,section_offset_s,terminal_utc,fetch_utc,status,requested_format_id,fetch_receipt_status,retained,retention_status,rows,decoded_frames,evaluated_frames,stride,source_height,source_fps,source_duration,probe_status,degenerate,resumed_partial,repeat_attempts_in_window,attempt_id
2nn-umdCxXo_s1162,nba,2nn-umdCxXo,1162,2026-09-11T19:06:32Z,2026-09-11T19:01:08Z,tracked,232,BOUND,1,RETAINED_OFF_POD,4936,3897,1299,3,720,29.97002997002997,133.19973333333334,OK,False,False,0,2nn-umdCxXo_s1162@1789153592
2nn-umdCxXo_s2234,nba,2nn-umdCxXo,2234,2026-09-11T19:06:12Z,2026-09-11T19:01:08Z,tracked,232,BOUND,1,RETAINED_OFF_POD,5359,3897,1299,3,720,29.97002997002997,132.132,OK,False,False,0,2nn-umdCxXo_s2234@1789153572
2nn-umdCxXo_s3306,nba,2nn-umdCxXo,3306,2026-09-11T19:06:32Z,2026-09-11T19:01:08Z,tracked,232,BOUND,1,RETAINED_OFF_POD,3900,3898,1300,3,720,29.97002997002997,133.2331,OK,False,False,0,2nn-umdCxXo_s3306@1789153592
2nn-umdCxXo_s4378,nba,2nn-umdCxXo,4378,2026-09-11T19:06:52Z,2026-09-11T19:01:08Z,tracked,232,BOUND,1,RETAINED_OFF_POD,4401,3897,1299,3,720,29.97002997002997,133.0329,OK,False,False,0,2nn-umdCxXo_s4378@1789153612
2nn-umdCxXo_s5450,nba,2nn-umdCxXo,5450,2026-09-11T19:07:33Z,2026-09-11T19:01:08Z,tracked,232,BOUND,1,RETAINED_OFF_POD,4038,3897,1299,3,720,29.97002997002997,135.70223333333334,OK,False,False,0,2nn-umdCxXo_s5450@1789153653
2nn-umdCxXo_s90,nba,2nn-umdCxXo,90,2026-09-11T19:06:53Z,2026-09-11T19:01:08Z,tracked,232,BOUND,1,RETAINED_OFF_POD,2406,3897,1299,3,720,29.97002997002997,130.86406666666667,OK,False,False,0,2nn-umdCxXo_s90@1789153613
HnNYinCzPFU_s1413,wnba,HnNYinCzPFU,1413,2026-09-11T18:33:29Z,2026-09-11T18:26:46Z,tracked,270,BOUND,1,RETAINED_OFF_POD,5764,3901,1301,3,720,30.0,130.73333333333332,OK,False,False,0,HnNYinCzPFU_s1413@1789151609
HnNYinCzPFU_s2736,wnba,HnNYinCzPFU,2736,2026-09-11T18:33:49Z,2026-09-11T18:26:46Z,tracked,270,BOUND,1,RETAINED_OFF_POD,4126,3901,1301,3,720,30.0,133.33333333333334,OK,False,False,0,HnNYinCzPFU_s2736@1789151629
HnNYinCzPFU_s90,wnba,HnNYinCzPFU,90,2026-09-11T18:33:49Z,2026-09-11T18:26:46Z,tracked,270,BOUND,1,RETAINED_OFF_POD,5664,3901,1301,3,720,30.0,131.6,OK,False,False,0,HnNYinCzPFU_s90@1789151629
I33o9UnUe1A_s1505,nba,I33o9UnUe1A,1505,2026-09-11T17:43:38Z,2026-09-11T17:38:07Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,4009,3901,1301,3,720,30.0,132.3,SOURCE_NOT_RETAINED,False,False,0,I33o9UnUe1A_s1505@1789148618
I33o9UnUe1A_s2920,nba,I33o9UnUe1A,2920,2026-09-11T17:43:58Z,2026-09-11T17:38:07Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,5073,3901,1301,3,720,30.0,130.86666666666667,SOURCE_NOT_RETAINED,False,False,0,I33o9UnUe1A_s2920@1789148638
I33o9UnUe1A_s4335,nba,I33o9UnUe1A,4335,2026-09-11T17:43:38Z,2026-09-11T17:38:07Z,tracked,270,BOUND,0,PRUNED_BEFORE_CENSUS,3589,3901,1301,3,720,30.0,130.36666666666667,SOURCE_NOT_RETAINED,False,False,0,I33o9UnUe1A_s4335@1789148618
