source_name,arm,rule,frame_cap,read_frames,admitted_frames,first_admitted_index,last_admitted_index,last_admitted_pts_units,first_excluded_index,first_excluded_pts_units,time_base,validated_fps,deadline_s,first_boundary_extent_exact,first_boundary_extent_s,last_admitted_extent_exact,last_admitted_extent_s,inherited_bar_exact,first_excluded_within_bar,last_admitted_within_bar,contained,termination_reason,unknown_reason,draw_j
basketball__acb-jHcR5UxPGuE_s90.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7801,3000,0,2999,4498500,3000,4500000,1/90000,60.0,100,50/1,50.000000000000,2999/60,49.983333333333,1/60,False,False,False,FRAME_CAP,,0
basketball__acb-jHcR5UxPGuE_s90.mp4,B_g401_fps_frame_cap,frame_cap,6000,7801,6000,0,5999,8998500,6000,9000000,1/90000,60.0,100,100/1,100.000000000000,5999/60,99.983333333333,1/60,True,True,True,FRAME_CAP,,0
basketball__acb-jHcR5UxPGuE_s90.mp4,C_proposed_pts_stop,pts_stop,,7801,6000,0,5999,8998500,6000,9000000,1/90000,60.0,100,100/1,100.000000000000,5999/60,99.983333333333,1/60,True,True,True,DEADLINE,,0
basketball__acb-jHcR5UxPGuE_s3999.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7801,3000,0,2999,4498500,3000,4500000,1/90000,60.0,100,50/1,50.000000000000,2999/60,49.983333333333,1/60,False,False,False,FRAME_CAP,,1
basketball__acb-jHcR5UxPGuE_s3999.mp4,B_g401_fps_frame_cap,frame_cap,6000,7801,6000,0,5999,8998500,6000,9000000,1/90000,60.0,100,100/1,100.000000000000,5999/60,99.983333333333,1/60,True,True,True,FRAME_CAP,,1
basketball__acb-jHcR5UxPGuE_s3999.mp4,C_proposed_pts_stop,pts_stop,,7801,6000,0,5999,8998500,6000,9000000,1/90000,60.0,100,100/1,100.000000000000,5999/60,99.983333333333,1/60,True,True,True,DEADLINE,,1
nba__1rZZ_7buX_Y_s5474.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7787,3000,0,2999,4506236,3000,4507738,1/90000,59.94005994005994,100,2253869/45000,50.085977777778,1126559/22500,50.069288888889,50000000000000/2997002997002997,False,False,False,FRAME_CAP,,2
nba__1rZZ_7buX_Y_s5474.mp4,B_g401_fps_frame_cap,frame_cap,5995,7787,5995,0,5994,9006461,5995,9007964,1/90000,59.94005994005994,100,2251991/22500,100.088488888889,9006461/90000,100.071788888889,50000000000000/2997002997002997,False,False,True,FRAME_CAP,,2
nba__1rZZ_7buX_Y_s5474.mp4,C_proposed_pts_stop,pts_stop,,7787,5990,0,5989,8998948,5990,9000451,1/90000,59.94005994005994,100,9000451/90000,100.005011111111,2249737/22500,99.988311111111,50000000000000/2997002997002997,True,True,True,DEADLINE,,2
nba__3gBeJyl7Szg_s1196.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7801,3000,0,2999,4498500,3000,4500000,1/90000,60.0,100,50/1,50.000000000000,2999/60,49.983333333333,1/60,False,False,False,FRAME_CAP,,3
nba__3gBeJyl7Szg_s1196.mp4,B_g401_fps_frame_cap,frame_cap,6000,7801,6000,0,5999,8998500,6000,9000000,1/90000,60.0,100,100/1,100.000000000000,5999/60,99.983333333333,1/60,True,True,True,FRAME_CAP,,3
nba__3gBeJyl7Szg_s1196.mp4,C_proposed_pts_stop,pts_stop,,7801,6000,0,5999,8998500,6000,9000000,1/90000,60.0,100,100/1,100.000000000000,5999/60,99.983333333333,1/60,True,True,True,DEADLINE,,3
nba__3gBeJyl7Szg_s4514.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7801,3000,0,2999,4498500,3000,4500000,1/90000,60.0,100,50/1,50.000000000000,2999/60,49.983333333333,1/60,False,False,False,FRAME_CAP,,4
nba__3gBeJyl7Szg_s4514.mp4,B_g401_fps_frame_cap,frame_cap,6000,7801,6000,0,5999,8998500,6000,9000000,1/90000,60.0,100,100/1,100.000000000000,5999/60,99.983333333333,1/60,True,True,True,FRAME_CAP,,4
nba__3gBeJyl7Szg_s4514.mp4,C_proposed_pts_stop,pts_stop,,7801,6000,0,5999,8998500,6000,9000000,1/90000,60.0,100,100/1,100.000000000000,5999/60,99.983333333333,1/60,True,True,True,DEADLINE,,4
nba__FnbFGnX4Qgo_s2822.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7794,3000,0,2999,4502998,3000,4504500,1/90000,59.94005994005994,100,1001/20,50.050000000000,2251499/45000,50.033311111111,50000000000000/2997002997002997,False,False,False,FRAME_CAP,,5
nba__FnbFGnX4Qgo_s2822.mp4,B_g401_fps_frame_cap,frame_cap,5995,7794,5995,0,5994,8999991,5995,9001492,1/90000,59.94005994005994,100,2250373/22500,100.016577777778,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,FRAME_CAP,,5
nba__FnbFGnX4Qgo_s2822.mp4,C_proposed_pts_stop,pts_stop,,7794,5995,0,5994,8999991,5995,9001492,1/90000,59.94005994005994,100,2250373/22500,100.016577777778,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,DEADLINE,,5
nba__H1-Ns9IU-JM_s90.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7793,3000,0,2999,4502998,3000,4504500,1/90000,59.94005994005994,100,1001/20,50.050000000000,2251499/45000,50.033311111111,50000000000000/2997002997002997,False,False,False,FRAME_CAP,,6
nba__H1-Ns9IU-JM_s90.mp4,B_g401_fps_frame_cap,frame_cap,5995,7793,5995,0,5994,8999991,5995,9001492,1/90000,59.94005994005994,100,2250373/22500,100.016577777778,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,FRAME_CAP,,6
nba__H1-Ns9IU-JM_s90.mp4,C_proposed_pts_stop,pts_stop,,7793,5995,0,5994,8999991,5995,9001492,1/90000,59.94005994005994,100,2250373/22500,100.016577777778,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,DEADLINE,,6
nba__H1-Ns9IU-JM_s4314.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7793,3000,0,2999,4502999,3000,4504500,1/90000,59.94005994005994,100,1001/20,50.050000000000,4502999/90000,50.033322222222,50000000000000/2997002997002997,False,False,False,FRAME_CAP,,7
nba__H1-Ns9IU-JM_s4314.mp4,B_g401_fps_frame_cap,frame_cap,5995,7793,5995,0,5994,8999991,5995,9001493,1/90000,59.94005994005994,100,9001493/90000,100.016588888889,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,FRAME_CAP,,7
nba__H1-Ns9IU-JM_s4314.mp4,C_proposed_pts_stop,pts_stop,,7793,5995,0,5994,8999991,5995,9001493,1/90000,59.94005994005994,100,9001493/90000,100.016588888889,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,DEADLINE,,7
nba__Kh7Fj4ogPN4_s1262.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7793,3000,0,2999,4502998,3000,4504500,1/90000,59.94005994005994,100,1001/20,50.050000000000,2251499/45000,50.033311111111,50000000000000/2997002997002997,False,False,False,FRAME_CAP,,8
nba__Kh7Fj4ogPN4_s1262.mp4,B_g401_fps_frame_cap,frame_cap,5995,7793,5995,0,5994,8999991,5995,9001492,1/90000,59.94005994005994,100,2250373/22500,100.016577777778,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,FRAME_CAP,,8
nba__Kh7Fj4ogPN4_s1262.mp4,C_proposed_pts_stop,pts_stop,,7793,5995,0,5994,8999991,5995,9001492,1/90000,59.94005994005994,100,2250373/22500,100.016577777778,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,DEADLINE,,8
nba__Kh7Fj4ogPN4_s4778.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7793,3000,0,2999,4502999,3000,4504500,1/90000,59.94005994005994,100,1001/20,50.050000000000,4502999/90000,50.033322222222,50000000000000/2997002997002997,False,False,False,FRAME_CAP,,9
nba__Kh7Fj4ogPN4_s4778.mp4,B_g401_fps_frame_cap,frame_cap,5995,7793,5995,0,5994,8999991,5995,9001493,1/90000,59.94005994005994,100,9001493/90000,100.016588888889,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,FRAME_CAP,,9
nba__Kh7Fj4ogPN4_s4778.mp4,C_proposed_pts_stop,pts_stop,,7793,5995,0,5994,8999991,5995,9001493,1/90000,59.94005994005994,100,9001493/90000,100.016588888889,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,DEADLINE,,9
nba__Ktu6yFS9iMo_s1311.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7793,3000,0,2999,4502999,3000,4504500,1/90000,59.94005994005994,100,1001/20,50.050000000000,4502999/90000,50.033322222222,50000000000000/2997002997002997,False,False,False,FRAME_CAP,,10
nba__Ktu6yFS9iMo_s1311.mp4,B_g401_fps_frame_cap,frame_cap,5995,7793,5995,0,5994,8999991,5995,9001493,1/90000,59.94005994005994,100,9001493/90000,100.016588888889,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,FRAME_CAP,,10
nba__Ktu6yFS9iMo_s1311.mp4,C_proposed_pts_stop,pts_stop,,7793,5995,0,5994,8999991,5995,9001493,1/90000,59.94005994005994,100,9001493/90000,100.016588888889,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,DEADLINE,,10
nba__Ktu6yFS9iMo_s4974.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7794,3000,0,2999,4502999,3000,4504500,1/90000,59.94005994005994,100,1001/20,50.050000000000,4502999/90000,50.033322222222,50000000000000/2997002997002997,False,False,False,FRAME_CAP,,11
nba__Ktu6yFS9iMo_s4974.mp4,B_g401_fps_frame_cap,frame_cap,5995,7794,5995,0,5994,8999991,5995,9001493,1/90000,59.94005994005994,100,9001493/90000,100.016588888889,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,FRAME_CAP,,11
nba__Ktu6yFS9iMo_s4974.mp4,C_proposed_pts_stop,pts_stop,,7794,5995,0,5994,8999991,5995,9001493,1/90000,59.94005994005994,100,9001493/90000,100.016588888889,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,DEADLINE,,11
nba__L7o4UCIIqS4_s1373.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7793,3000,0,2999,4502999,3000,4504500,1/90000,59.94005994005994,100,1001/20,50.050000000000,4502999/90000,50.033322222222,50000000000000/2997002997002997,False,False,False,FRAME_CAP,,12
nba__L7o4UCIIqS4_s1373.mp4,B_g401_fps_frame_cap,frame_cap,5995,7793,5995,0,5994,8999991,5995,9001493,1/90000,59.94005994005994,100,9001493/90000,100.016588888889,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,FRAME_CAP,,12
nba__L7o4UCIIqS4_s1373.mp4,C_proposed_pts_stop,pts_stop,,7793,5995,0,5994,8999991,5995,9001493,1/90000,59.94005994005994,100,9001493/90000,100.016588888889,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,DEADLINE,,12
nba__L7o4UCIIqS4_s5222.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7794,3000,0,2999,4502998,3000,4504500,1/90000,59.94005994005994,100,1001/20,50.050000000000,2251499/45000,50.033311111111,50000000000000/2997002997002997,False,False,False,FRAME_CAP,,13
nba__L7o4UCIIqS4_s5222.mp4,B_g401_fps_frame_cap,frame_cap,5995,7794,5995,0,5994,8999991,5995,9001492,1/90000,59.94005994005994,100,2250373/22500,100.016577777778,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,FRAME_CAP,,13
nba__L7o4UCIIqS4_s5222.mp4,C_proposed_pts_stop,pts_stop,,7794,5995,0,5994,8999991,5995,9001492,1/90000,59.94005994005994,100,2250373/22500,100.016577777778,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,DEADLINE,,13
nba__oL9Uaie2v2A_s2438.mp4,A_legacy_frame_cap_3000,frame_cap,3000,7794,3000,0,2999,4502999,3000,4504500,1/90000,59.94005994005994,100,1001/20,50.050000000000,4502999/90000,50.033322222222,50000000000000/2997002997002997,False,False,False,FRAME_CAP,,14
nba__oL9Uaie2v2A_s2438.mp4,B_g401_fps_frame_cap,frame_cap,5995,7794,5995,0,5994,8999991,5995,9001493,1/90000,59.94005994005994,100,9001493/90000,100.016588888889,999999/10000,99.999900000000,50000000000000/2997002997002997,True,True,True,FRAME_CAP,,14
