section,arm,n_frames,valid_frames,valid_permille,feet_total,feet_evaluated,feet_inside,feet_inside_permille,forward_in_px_median,forward_in_px_p90,n_forward_in_points,forward_all_px_median,forward_all_px_p90,n_forward_all_points,in_frame_points,in_frame_denominator,in_frame_permille,boot_spread_p95_ft_median,n_boot_frames,margin_median,n_margins,n_hypotheses,n_heldout_segments,frames_scored,sealed_list_n,frames_decoded,bar_feet_inside,bar_valid_h,bar_forward_px,bar_all_three
S1,G352A,000015,000015,001000,000029,000029,000025,000862,34.127,48.000,005893,34.686,48.000,005970,005893,005970,000987,0.165,000015,0.044,000015,1621060,001005,000015,000060,007793,NOT_MET,MET,NOT_MET,NOT_MET
S1,G352B,000006,000006,001000,000011,000011,000011,001000,44.305,48.000,002388,44.305,48.000,002388,002388,002388,001000,0.139,000006,0.041,000006,2117512,000389,000006,000060,007793,NOT_MET,MET,NOT_MET,NOT_MET
S1,ROUTE,000059,000059,001000,000118,000118,000000,000000,13.370,48.000,012736,48.000,48.000,023482,012736,023482,000542,0.523,000059,-,000000,000000,003899,000059,000060,007793,NOT_MET,MET,NOT_MET,NOT_MET
S2,G352A,000015,000015,001000,000015,000015,000006,000400,32.575,48.000,005970,32.575,48.000,005970,005970,005970,001000,0.236,000015,0.148,000015,1625620,001187,000015,000060,008044,NOT_MET,MET,NOT_MET,NOT_MET
S2,G352B,000006,000006,001000,000006,000006,000002,000333,30.307,48.000,002383,30.377,48.000,002388,002383,002388,000998,0.179,000006,0.071,000006,1836776,000491,000006,000060,008044,NOT_MET,MET,NOT_MET,NOT_MET
S2,ROUTE,000060,000060,001000,000060,000060,000000,000000,24.830,48.000,023880,24.830,48.000,023880,023880,023880,001000,0.141,000060,-,000000,000000,004862,000060,000060,008044,NOT_MET,MET,NOT_MET,NOT_MET
S3,G352A,000015,000015,001000,000065,000065,000032,000492,34.612,48.000,005822,35.749,48.000,005970,005822,005970,000975,0.236,000012,0.072,000015,1322488,001557,000015,000060,003901,NOT_MET,MET,NOT_MET,NOT_MET
S3,G352B,000006,000006,001000,000015,000015,000000,000000,42.828,48.000,002367,43.144,48.000,002388,002367,002388,000991,0.297,000005,0.096,000006,1763692,000570,000006,000060,003901,NOT_MET,MET,NOT_MET,NOT_MET
S3,ROUTE,000058,000058,001000,000182,000182,000000,000000,44.864,48.000,021492,48.000,48.000,023084,021492,023084,000931,0.102,000046,-,000000,000000,004895,000058,000060,003901,NOT_MET,MET,NOT_MET,NOT_MET
S4,G352A,000015,000015,001000,000025,000025,000009,000360,26.557,48.000,005970,26.557,48.000,005970,005970,005970,001000,0.133,000008,0.140,000015,1494592,001470,000015,000060,003251,NOT_MET,MET,NOT_MET,NOT_MET
S4,G352B,000006,000006,001000,000010,000010,000002,000200,36.290,48.000,002364,36.557,48.000,002388,002364,002388,000990,0.170,000003,0.095,000006,1950996,000391,000006,000060,003251,NOT_MET,MET,NOT_MET,NOT_MET
S4,ROUTE,000058,000058,001000,000129,000129,000000,000000,26.143,48.000,021094,31.045,48.000,023084,021094,023084,000914,3.129,000031,-,000000,000000,004883,000058,000060,003251,NOT_MET,MET,NOT_MET,NOT_MET
