section,frame_index,n_matches,n_fit,n_held,fit_inliers,held_inliers,held_median_px
S1,000000,000059,000030,000029,000005,000000,1382.853
S1,003299,000072,000036,000036,000004,000001,1196.965
S1,003599,000046,000023,000023,000004,000000,708.533
S2,000000,000067,000034,000033,000004,000000,1635.985
S2,004799,000031,000016,000015,000004,000000,1782.568
S2,005099,000102,000051,000051,000005,000000,1105.586
S3,000000,000111,000056,000055,000005,000000,1628.976
S3,000299,000076,000038,000038,000005,000001,836.146
S3,000599,000095,000048,000047,000006,000003,901.699
S3,000899,000048,000024,000024,000005,000000,857.101
S3,001799,000061,000031,000030,000004,000001,728.949
S3,002099,000020,000010,000010,000004,000000,1415.714
S3,002399,000034,000017,000017,000004,000000,1454.200
S3,002699,000071,000036,000035,000005,000000,872.445
S3,002999,000091,000046,000045,000005,000002,532.890
S3,003599,000181,000091,000090,000005,000000,1143.330
S3,003899,000077,000039,000038,000005,000000,667.645
S4,000000,000247,000124,000123,000005,000002,1018.339
S4,001499,000188,000094,000094,000005,000001,740.534
S4,001799,000181,000091,000090,000005,000000,996.660
S4,002099,000147,000074,000073,000004,000000,1173.469
S4,002399,000027,000014,000013,000004,000000,1872.942
S4,002699,000176,000088,000088,000005,000000,1087.349
S4,002999,000068,000034,000034,000005,000001,851.502
