section,arm,level,bucket,n
S1,G352A,frame,valid,000015
S1,G352A,hypothesis,folded,966248
S1,G352A,hypothesis,implausible_scale,117687
S1,G352A,hypothesis,low_in_frame,130080
S1,G352A,hypothesis,no_valid_h,000400
S1,G352A,hypothesis,valid,406645
S1,G352B,frame,valid,000006
S1,G352B,hypothesis,folded,1340303
S1,G352B,hypothesis,implausible_scale,134382
S1,G352B,hypothesis,low_in_frame,151729
S1,G352B,hypothesis,no_valid_h,000417
S1,G352B,hypothesis,valid,490681
S1,ROUTE,frame,valid,000059
S2,G352A,frame,valid,000015
S2,G352A,hypothesis,folded,882786
S2,G352A,hypothesis,implausible_scale,144121
S2,G352A,hypothesis,low_in_frame,090693
S2,G352A,hypothesis,no_valid_h,000288
S2,G352A,hypothesis,valid,507732
S2,G352B,frame,valid,000006
S2,G352B,hypothesis,folded,1030608
S2,G352B,hypothesis,implausible_scale,180128
S2,G352B,hypothesis,low_in_frame,108522
S2,G352B,hypothesis,no_valid_h,000354
S2,G352B,hypothesis,valid,517164
S2,ROUTE,frame,valid,000060
S3,G352A,frame,valid,000015
S3,G352A,hypothesis,folded,684919
S3,G352A,hypothesis,implausible_scale,100771
S3,G352A,hypothesis,low_in_frame,154987
S3,G352A,hypothesis,no_valid_h,000256
S3,G352A,hypothesis,valid,381555
S3,G352B,frame,valid,000006
S3,G352B,hypothesis,folded,1080979
S3,G352B,hypothesis,implausible_scale,131145
S3,G352B,hypothesis,low_in_frame,178118
S3,G352B,hypothesis,no_valid_h,000546
S3,G352B,hypothesis,valid,372904
S3,ROUTE,frame,valid,000058
S4,G352A,frame,valid,000015
S4,G352A,hypothesis,folded,787729
S4,G352A,hypothesis,implausible_scale,146804
S4,G352A,hypothesis,low_in_frame,098304
S4,G352A,hypothesis,no_valid_h,000318
S4,G352A,hypothesis,valid,461437
S4,G352B,frame,valid,000006
S4,G352B,hypothesis,folded,1149245
S4,G352B,hypothesis,implausible_scale,178149
S4,G352B,hypothesis,low_in_frame,117668
S4,G352B,hypothesis,no_valid_h,000455
S4,G352B,hypothesis,valid,505479
S4,ROUTE,frame,valid,000058
