section,arm,eval_index,reason,loss,margin,n_in_frame,n_hypotheses,n_fit_segments,n_heldout_segments,heldout_digest,forward_in_px,n_forward_in,forward_all_px,feet,feet_inside,boot_spread_p95_ft
S1,G352A,000066,valid,22.905,0.021,000398,114676,000203,000068,f007742f2e03add1,35.335,000398,35.335,000001,000001,0.108
S1,G352A,000598,valid,23.798,0.221,000398,124280,000186,000063,950fdf80ce3f1093,26.459,000398,26.459,000002,000002,0.194
S1,G352A,001130,valid,21.617,0.002,000398,112256,000200,000069,8ed8625b948363f6,43.495,000398,43.495,000002,000002,0.160
S1,G352A,001662,valid,22.218,0.023,000398,093200,000197,000066,9c459a9f71c85cc4,43.740,000398,43.740,000002,000002,0.224
S1,G352A,002194,valid,22.686,0.142,000398,116340,000187,000072,c9cfe7a6c67997ad,28.991,000398,28.991,000002,000002,0.221
S1,G352A,002726,valid,20.724,0.155,000398,090692,000176,000058,e70fb4032a5bcf5e,46.848,000398,46.848,000002,000002,0.165
S1,G352A,003258,valid,24.006,0.044,000382,115960,000217,000077,24dd3d5bb521aa0f,21.235,000382,22.541,000002,000002,0.125
S1,G352A,003790,valid,21.142,0.025,000398,109316,000199,000077,0ff115559c1587a4,17.190,000398,17.190,000002,000002,0.159
S1,G352A,004322,valid,21.967,0.242,000398,095716,000204,000051,0430d6e81ac96323,31.522,000398,31.522,000002,000002,0.251
S1,G352A,004854,valid,22.905,0.002,000391,083540,000183,000066,7818aaa673989558,38.467,000391,39.253,000002,000002,0.140
S1,G352A,005386,valid,20.319,0.004,000344,101140,000196,000061,ed9bb43cbd540400,5.730,000344,9.550,000002,000002,0.297
S1,G352A,005918,valid,23.225,0.444,000398,118656,000187,000073,7f0fe74c3afe4a21,48.000,000398,48.000,000002,000000,0.187
S1,G352A,006450,valid,24.561,0.050,000398,104104,000182,000073,f2a02c16e5a81e62,21.495,000398,21.495,000002,000000,1.549
S1,G352A,006982,valid,20.666,0.023,000398,120032,000188,000072,c05d504ff9831667,47.423,000398,47.423,000002,000002,0.154
S1,G352A,007514,valid,21.293,0.159,000398,121152,000190,000059,dc7eb9333f2365bf,48.000,000398,48.000,000002,000002,0.153
S1,G352B,000066,valid,22.784,0.000,000398,301796,000516,000068,f007742f2e03add1,44.074,000398,44.074,000001,000001,0.094
S1,G352B,001396,valid,21.121,0.031,000398,363452,000523,000063,bd08cf156e120301,48.000,000398,48.000,000002,000002,0.135
S1,G352B,002726,valid,20.746,0.043,000398,373724,000479,000058,e70fb4032a5bcf5e,40.549,000398,40.549,000002,000002,0.143
S1,G352B,004056,valid,19.421,0.463,000398,338924,000560,000076,9ab06551613490ca,40.433,000398,40.433,000002,000002,0.149
S1,G352B,005386,valid,21.243,0.177,000398,370592,000506,000061,ed9bb43cbd540400,36.873,000398,36.873,000002,000002,0.153
S1,G352B,006716,valid,19.836,0.039,000398,369024,000471,000063,be74d4d3da254baa,48.000,000398,48.000,000002,000002,0.116
S1,ROUTE,000066,valid,-,-,000000,000000,000000,000068,f007742f2e03add1,-,000000,48.000,000001,000000,0.428
S1,ROUTE,000199,valid,-,-,000000,000000,000000,000070,8b75aa328e7f84f8,-,000000,48.000,000002,000000,0.486
S1,ROUTE,000332,valid,-,-,000000,000000,000000,000062,51776fecf675b5c4,-,000000,48.000,000002,000000,0.505
S1,ROUTE,000465,valid,-,-,000000,000000,000000,000068,cb3e79309b110364,-,000000,48.000,000002,000000,0.606
S1,ROUTE,000598,valid,-,-,000000,000000,000000,000063,950fdf80ce3f1093,-,000000,48.000,000002,000000,0.517
S1,ROUTE,000731,valid,-,-,000000,000000,000000,000060,5cdd74bb1bf51e8b,-,000000,48.000,000002,000000,0.437
S1,ROUTE,000864,valid,-,-,000000,000000,000000,000064,de37fba584bbaeea,-,000000,48.000,000002,000000,0.522
S1,ROUTE,000997,valid,-,-,000000,000000,000000,000067,6a2f0b56ef08ac6f,-,000000,48.000,000002,000000,0.459
S1,ROUTE,001130,valid,-,-,000000,000000,000000,000069,8ed8625b948363f6,-,000000,48.000,000002,000000,0.539
S1,ROUTE,001263,valid,-,-,000000,000000,000000,000057,59a59879460913f1,-,000000,48.000,000002,000000,0.512
S1,ROUTE,001396,valid,-,-,000000,000000,000000,000063,bd08cf156e120301,-,000000,48.000,000002,000000,0.538
S1,ROUTE,001529,valid,-,-,000000,000000,000000,000061,af833f9f8c72f347,-,000000,48.000,000002,000000,0.601
S1,ROUTE,001662,valid,-,-,000000,000000,000000,000066,9c459a9f71c85cc4,-,000000,48.000,000002,000000,0.553
S1,ROUTE,001795,valid,-,-,000000,000000,000000,000070,8ea3430236e60057,-,000000,48.000,000002,000000,0.540
S1,ROUTE,001928,valid,-,-,000000,000000,000000,000055,587ff747abc9280a,-,000000,48.000,000002,000000,0.604
S1,ROUTE,002061,valid,-,-,000000,000000,000000,000074,18835551f0ffa2d1,-,000000,48.000,000002,000000,0.534
S1,ROUTE,002194,valid,-,-,000000,000000,000000,000072,c9cfe7a6c67997ad,-,000000,48.000,000002,000000,0.585
S1,ROUTE,002327,valid,-,-,000000,000000,000000,000070,15fb3ad3daf85337,-,000000,48.000,000002,000000,0.538
S1,ROUTE,002460,valid,-,-,000000,000000,000000,000062,bc237909a2013387,-,000000,48.000,000001,000000,0.474
S1,ROUTE,002593,valid,-,-,000000,000000,000000,000075,b1c0413f2152a084,-,000000,48.000,000001,000000,0.484
S1,ROUTE,002726,valid,-,-,000000,000000,000000,000058,e70fb4032a5bcf5e,-,000000,48.000,000002,000000,0.436
S1,ROUTE,002859,valid,-,-,000000,000000,000000,000055,07b9dd2fbee1edca,-,000000,48.000,000002,000000,0.456
S1,ROUTE,002992,valid,-,-,000000,000000,000000,000059,ef2ba463822ea44a,-,000000,48.000,000002,000000,0.530
S1,ROUTE,003125,valid,-,-,000000,000000,000000,000071,53b963a4f41f943d,-,000000,48.000,000002,000000,0.400
S1,ROUTE,003258,valid,-,-,000000,000000,000000,000077,24dd3d5bb521aa0f,-,000000,48.000,000002,000000,0.479
S1,ROUTE,003391,valid,-,-,000000,000000,000000,000073,0a71ac4123777008,-,000000,48.000,000002,000000,0.414
S1,ROUTE,003524,valid,-,-,000000,000000,000000,000067,01c4448501008ee5,-,000000,48.000,000002,000000,0.508
S1,ROUTE,003657,valid,-,-,000398,000000,000000,000071,2f5f0c70ec344c94,4.649,000398,4.649,000003,000000,0.509
S1,ROUTE,003790,valid,-,-,000398,000000,000000,000077,0ff115559c1587a4,11.460,000398,11.460,000002,000000,2.443
S1,ROUTE,003923,valid,-,-,000398,000000,000000,000066,ddbecd4462e3778e,27.386,000398,27.386,000002,000000,0.556
S1,ROUTE,004056,valid,-,-,000398,000000,000000,000076,9ab06551613490ca,11.460,000398,11.460,000002,000000,0.548
S1,ROUTE,004189,valid,-,-,000398,000000,000000,000059,0135f9df18883029,13.693,000398,13.693,000002,000000,0.526
S1,ROUTE,004322,valid,-,-,000398,000000,000000,000051,0430d6e81ac96323,9.378,000398,9.378,000002,000000,0.539
S1,ROUTE,004455,valid,-,-,000398,000000,000000,000066,be7193c5c12ebab0,27.386,000398,27.386,000002,000000,0.500
S1,ROUTE,004588,valid,-,-,000398,000000,000000,000063,351a00f903763a19,6.639,000398,6.639,000003,000000,10.350
S1,ROUTE,004721,valid,-,-,000398,000000,000000,000071,c3865b739a9c08ff,13.370,000398,13.370,000002,000000,0.459
S1,ROUTE,004854,valid,-,-,000398,000000,000000,000066,7818aaa673989558,9.171,000398,9.171,000002,000000,0.500
S1,ROUTE,004987,valid,-,-,000398,000000,000000,000067,afbe31886c847adf,36.234,000398,36.234,000002,000000,0.546
S1,ROUTE,005120,valid,-,-,000398,000000,000000,000061,0d07cd054080c50b,16.235,000398,16.235,000002,000000,0.546
S1,ROUTE,005253,valid,-,-,000398,000000,000000,000065,4e13ae39ae26ebcf,48.000,000398,48.000,000002,000000,0.445
S1,ROUTE,005386,valid,-,-,000398,000000,000000,000061,ed9bb43cbd540400,13.370,000398,13.370,000002,000000,0.486
S1,ROUTE,005519,valid,-,-,000398,000000,000000,000066,9b8daba2f2c8a2f8,13.370,000398,13.370,000002,000000,0.412
S1,ROUTE,005652,valid,-,-,000398,000000,000000,000063,744e6c4fec78d067,10.540,000398,10.540,000002,000000,0.376
S1,ROUTE,005785,valid,-,-,000398,000000,000000,000063,1f873414b6c96335,48.000,000398,48.000,000002,000000,0.489
S1,ROUTE,005918,valid,-,-,000398,000000,000000,000073,7f0fe74c3afe4a21,12.415,000398,12.415,000002,000000,0.463
S1,ROUTE,006051,valid,-,-,000398,000000,000000,000076,84e6cd41ff32e061,10.540,000398,10.540,000002,000000,0.536
S1,ROUTE,006184,valid,-,-,000398,000000,000000,000073,d525b3f133cde8fe,9.171,000398,9.171,000002,000000,0.471
S1,ROUTE,006317,valid,-,-,000398,000000,000000,000068,cd77f833ef5f5d2c,16.235,000398,16.235,000002,000000,0.634
S1,ROUTE,006450,valid,-,-,000398,000000,000000,000073,f2a02c16e5a81e62,12.415,000398,12.415,000002,000000,0.525
S1,ROUTE,006583,valid,-,-,000398,000000,000000,000065,450d9369bfce465f,12.415,000398,12.415,000002,000000,0.493
S1,ROUTE,006716,valid,-,-,000398,000000,000000,000063,be74d4d3da254baa,48.000,000398,48.000,000002,000000,0.537
S1,ROUTE,006849,valid,-,-,000398,000000,000000,000060,f3f29392873b0ca2,16.235,000398,16.235,000002,000000,0.523
S1,ROUTE,006982,valid,-,-,000398,000000,000000,000072,c05d504ff9831667,48.000,000398,48.000,000002,000000,0.577
S1,ROUTE,007115,valid,-,-,000398,000000,000000,000066,8e12cbd0d1c02016,16.432,000398,16.432,000002,000000,0.688
S1,ROUTE,007248,valid,-,-,000398,000000,000000,000067,8051ce1589096246,8.216,000398,8.216,000002,000000,0.679
S1,ROUTE,007381,valid,-,-,000398,000000,000000,000060,920f9190c3f635b0,9.585,000398,9.585,000002,000000,0.618
S1,ROUTE,007514,valid,-,-,000398,000000,000000,000059,dc7eb9333f2365bf,6.846,000398,6.846,000002,000000,0.432
S1,ROUTE,007647,valid,-,-,000398,000000,000000,000077,26c2aa1dc1e6ea85,16.270,000398,16.270,000003,000000,13.897
S1,ROUTE,007780,valid,-,-,000398,000000,000000,000059,21cef37aa13be432,48.000,000398,48.000,000002,000000,0.543
S2,G352A,000067,valid,22.060,0.201,000398,101584,000255,000088,29179eb73e984412,24.233,000398,24.233,000001,000000,0.168
S2,G352A,000603,valid,21.624,0.189,000398,099728,000255,000079,62f6447ad611f1be,26.684,000398,26.684,000001,000000,0.178
