closure,field,archived,recomputed,match
G363,coverage,0.0,0.0,1
G363,fp,8,8,1
G363,fp_per_absent,0.03292181069958848,0.03292181069958848,1
G363,n_absent,243,243,1
G363,n_frames,549,549,1
G363,n_unknown,21,21,1
G363,n_visible,285,285,1
G363,precision_wilson_lo,0.0,0.0,1
G363,tp,0,0,1
G364,ABSTAIN,0,0,1
G364,CLOSEUP,74,74,1
G364,COURT,125,125,1
G364,CROWD_GRAPHICS,40,40,1
G364,NON_COURT,115,115,1
G364,UNKNOWN,1,1,1
G364,USABLE_COURT,125,125,1
G364,abstention_share,0.0,0.0,1
G364,kappa,0.916186,0.916186,1
G364,n,240,240,1
G364,precision,1.0,1.0,1
G364,recall,1.0,1.0,1
G367,G1_SYNTH_QUAD:candidate_b,1.128714,1.128714,1
G367,G1_SYNTH_QUAD:corner4,1.651646,1.651641,0
G367,G2_WIDE:candidate_b,1.068990,1.068990,1
G367,G2_WIDE:corner4,1.915938,1.915938,1
G367,G3_TIGHT:candidate_b,1.116470,1.116470,1
G367,G3_TIGHT:corner4,2.015967,2.015967,1
G367,G4_OFF_AXIS:candidate_b,0.763620,0.763620,1
G367,G4_OFF_AXIS:corner4,1.800281,1.800281,1
G367,recovery.csv sha256 (LF),a42b1a69f1590feb56ba0a67be9ef16c4b3f86c0e75204a764de3ff7d4a3f9b0,d68e2b6e523625d56d04d0a8536095d161238be7f607c4e2a9d95dad78279730,0
G367,recovery.csv sha256 (LF) local repeat,d68e2b6e523625d56d04d0a8536095d161238be7f607c4e2a9d95dad78279730,d68e2b6e523625d56d04d0a8536095d161238be7f607c4e2a9d95dad78279730,1
G370,absent,0,0,1
G370,games,16,16,1
G370,rated,69,69,1
G370,rejected,0,0,1
G370,scored,51,51,1
G370,share,0.0000,0.0000,1
G370,usable,51,51,1
G363,digest:eye_check_manifest.csv,01e57b3647ce035f22c68c10210d097117540bac98caa1656023a2069b96814d,01e57b3647ce035f22c68c10210d097117540bac98caa1656023a2069b96814d,1
