card_id,render_path,producer_boxes,comparator_boxes,status
1080p30_00,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_00.jpg,4,11,OK
1080p30_01,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_01.jpg,4,11,OK
1080p30_02,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_02.jpg,2,2,OK
1080p30_03,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_03.jpg,3,9,OK
1080p30_04,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_04.jpg,3,14,OK
1080p30_05,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_05.jpg,4,10,OK
1080p30_06,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_06.jpg,6,11,OK
1080p30_07,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_07.jpg,6,11,OK
1080p30_08,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_08.jpg,1,15,OK
1080p30_09,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_09.jpg,0,9,OK
1080p30_10,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_10.jpg,2,5,OK
1080p30_11,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_11.jpg,5,11,OK
1080p30_12,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_12.jpg,6,13,OK
1080p30_13,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_13.jpg,4,13,OK
1080p30_14,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_14.jpg,4,4,OK
1080p30_15,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_15.jpg,5,4,OK
1080p30_16,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_16.jpg,1,3,OK
1080p30_17,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_17.jpg,4,15,OK
1080p30_18,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_18.jpg,7,15,OK
1080p30_19,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_19.jpg,3,4,OK
1080p30_20,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_20.jpg,2,6,OK
1080p30_21,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_21.jpg,4,14,OK
1080p30_22,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_22.jpg,3,12,OK
1080p30_23,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_23.jpg,2,8,OK
1080p30_24,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_24.jpg,6,11,OK
1080p30_25,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_25.jpg,7,15,OK
1080p30_26,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_26.jpg,3,11,OK
1080p30_27,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_27.jpg,5,17,OK
1080p30_28,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_28.jpg,3,7,OK
1080p30_29,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/1080p30_29.jpg,2,14,OK
720p60_00,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_00.jpg,0,11,OK
720p60_01,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_01.jpg,2,12,OK
720p60_02,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_02.jpg,2,6,OK
720p60_03,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_03.jpg,2,13,OK
720p60_04,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_04.jpg,4,11,OK
720p60_05,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_05.jpg,3,11,OK
720p60_06,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_06.jpg,2,12,OK
720p60_07,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_07.jpg,5,12,OK
720p60_08,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_08.jpg,3,2,OK
720p60_09,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_09.jpg,3,2,OK
720p60_10,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_10.jpg,2,2,OK
720p60_11,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_11.jpg,6,16,OK
720p60_12,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_12.jpg,5,8,OK
720p60_13,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_13.jpg,1,8,OK
720p60_14,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_14.jpg,4,19,OK
720p60_15,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_15.jpg,0,10,OK
720p60_16,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_16.jpg,9,11,OK
720p60_17,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_17.jpg,3,11,OK
720p60_18,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_18.jpg,2,4,OK
720p60_19,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_19.jpg,0,9,OK
720p60_20,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_20.jpg,6,10,OK
720p60_21,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_21.jpg,2,8,OK
720p60_22,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_22.jpg,2,4,OK
720p60_23,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_23.jpg,7,9,OK
720p60_24,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_24.jpg,5,12,OK
720p60_25,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_25.jpg,2,13,OK
720p60_26,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_26.jpg,5,10,OK
720p60_27,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_27.jpg,0,13,OK
720p60_28,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_28.jpg,4,11,OK
720p60_29,docs/evidence/tracking/g413_native_box_reaudit_2026-09-12/renders/720p60_29.jpg,4,7,OK
