box_id,card_id,draw_kind,section_id,sealed_start_frame,sealed_end_frame_exclusive,frame,player_id,position_source,source_branch,matched_event_id,matched_event_valid,repeated_coordinate,x_position,y_position,bbox_x1,bbox_y1,bbox_x2,bbox_y2,target_weight,mask_reason,native_width,native_height,native_form,transform_status,clip_left,clip_top,clip_right,clip_bottom,original_bbox_x1,original_bbox_y1,original_bbox_x2,original_bbox_y2,native_bbox_x1,native_bbox_y1,native_bbox_x2,native_bbox_y2,nominal_detector_form
720p60_21_r00,720p60_21,720p60,KZK9rv9TnGE_s4242,5105,5705,5579,3,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,0,0,2751,533,574.0,329.0,692.0,580.0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,0,574.0,269.0,692.0,520.0,574.0,329.0,692.0,580.0,yes
720p60_21_r01,720p60_21,720p60,KZK9rv9TnGE_s4242,5105,5705,5579,10,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,0,0,2778,573,669.0,279.0,791.0,479.0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,0,669.0,219.0,791.0,419.0,669.0,279.0,791.0,479.0,yes
720p60_22_r00,720p60_22,720p60,KZK9rv9TnGE_s90,5337,5937,5793,3,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,0,1,66,850,996.4097,655.15704,1090.7378,720,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,1,996.4097,595.15704,1090.7378,698.3193,996.4097,655.15704,1090.7378,720,yes
720p60_22_r01,720p60_22,720p60,KZK9rv9TnGE_s90,5337,5937,5793,5,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,0,1,594,1575,1148.6562,462.81845,1280,720,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,1,1,1148.6562,402.81845,1354.0618,721.97156,1148.6562,462.81845,1280,720,yes
720p60_23_r00,720p60_23,720p60,dAy3tnlu3EQ_s4326,5570,6170,6008,1,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,0,1,2585,944,0.0,276.0,80.0,466.0,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,0,0.0,216.0,80.0,406.0,0.0,276.0,80.0,466.0,yes
720p60_23_r01,720p60_23,720p60,dAy3tnlu3EQ_s4326,5570,6170,6008,4,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,6008_289_200_465_325,1,0,2576,733,200.0,349.0,325.0,525.0,1,CANDIDATE_ONLY,1280,720,padded,OK,0,0,0,0,200.0,289.0,325.0,465.0,200.0,349.0,325.0,525.0,yes
720p60_23_r02,720p60_23,720p60,dAy3tnlu3EQ_s4326,5570,6170,6008,5,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,0,1,1445,672,187.0,196.0,273.0,361.0,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,0,187.0,136.0,273.0,301.0,187.0,196.0,273.0,361.0,yes
720p60_23_r03,720p60_23,720p60,dAy3tnlu3EQ_s4326,5570,6170,6008,7,CLAMP,src/pipeline/unified_pipeline.py:jump_clamp,,0,1,1576,1141,556.0,264.0,652.0,446.0,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,0,556.0,204.0,652.0,386.0,556.0,264.0,652.0,446.0,yes
720p60_23_r04,720p60_23,720p60,dAy3tnlu3EQ_s4326,5570,6170,6008,2,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,0,0,3086,744,525.844,169.42287399999998,594.2799,345.9077,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,0,525.844,109.422874,594.2799,285.9077,525.844,169.42287399999998,594.2799,345.9077,yes
720p60_23_r05,720p60_23,720p60,dAy3tnlu3EQ_s4326,5570,6170,6008,8,PREDICTION,src/tracking/advanced_tracker.py:kalman_homography,,0,0,3245,925,691.0,271.0,759.0,433.0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,0,691.0,211.0,759.0,373.0,691.0,271.0,759.0,433.0,yes
720p60_23_r06,720p60_23,720p60,dAy3tnlu3EQ_s4326,5570,6170,6008,6,SUBPIXEL,src/pipeline/unified_pipeline.py:subpixel_hold,,0,1,2783,545,0.0,94.33524299999999,80.41524,259.25525,0,PROVENANCE_MASKED;REPEATED_COORDINATE;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,1,0,0,0,-0.8247566,34.335243,80.41524,199.25525,0.0,94.33524299999999,80.41524,259.25525,yes
720p60_24_r00,720p60_24,720p60,qTXrSRHHR2M_s2262,5803,6403,6313,3,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,6313_267_306_470_394,1,0,320,1038,306.0,327.0,394.0,530.0,1,CANDIDATE_ONLY,1280,720,padded,OK,0,0,0,0,306.0,267.0,394.0,470.0,306.0,327.0,394.0,530.0,yes
720p60_24_r01,720p60_24,720p60,qTXrSRHHR2M_s2262,5803,6403,6313,4,DETECTION,src/tracking/advanced_tracker.py:_activate_slot,6313_330_771_506_862,1,0,412,1247,771.0,390.0,862.0,566.0,1,CANDIDATE_ONLY,1280,720,padded,OK,0,0,0,0,771.0,330.0,862.0,506.0,771.0,390.0,862.0,566.0,yes
720p60_24_r02,720p60_24,720p60,qTXrSRHHR2M_s2262,5803,6403,6313,5,PREDICTION,src/tracking/advanced_tracker.py:id_merge,,0,0,265,1436,301.0,222.0,373.0,362.0,0,PROVENANCE_MASKED;MATCHED_EVENT_ABSENT;NOT_DETECTION,1280,720,padded,OK,0,0,0,0,301.0,162.0,373.0,302.0,301.0,222.0,373.0,362.0,yes
