card_id,section_id,frame,receiver_path,source_bytes,source_sha256,decoded_width,decoded_height,decoded_bgr_sha256,actual_pts_s,g406_actual_pts_s,pts_delta_s,pts_status,frame_index_equal,dimensions_equal,status
1080p30_00,9sq-YMlIo9Q_s2346,118,C:/Users/neelj/g402_receiver/9sq-YMlIo9Q_s2346.mp4,64995066,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,1920,1080,a3f5a5f6046e47e9c2003ff64f9da97edc0db57fc5558b823392cd35a48d0750,3.937267,3.937267,3.333333329358368e-07,EXACT,1,1,OK
1080p30_01,9sq-YMlIo9Q_s2346,376,C:/Users/neelj/g402_receiver/9sq-YMlIo9Q_s2346.mp4,64995066,a5d300b6beb34128d2535062c51fb6727f982bd91630484d5d7c08a8a91cafbb,1920,1080,dfa4a403c4c1b72062e31ccdf72890d6636f5a9387851d23b2822fd1b8fbfe3c,12.545867,12.545867,3.3333333249174757e-07,EXACT,1,1,OK
1080p30_02,UCVSlzgun0o_s2298,474,C:/Users/neelj/g402_receiver/UCVSlzgun0o_s2298.mp4,68986280,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,1920,1080,4b132567f5fe48edef44ca1689fb32f22e7f299797da8d3bfe1a13887512b6eb,15.815800,15.8158,1.7763568394002505e-15,EXACT,1,1,OK
1080p30_03,UCVSlzgun0o_s2298,735,C:/Users/neelj/g402_receiver/UCVSlzgun0o_s2298.mp4,68986280,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,1920,1080,bf5aa19008fa29d35dc31986861298e5f311d0d57da45f53163764ccc77b9893,24.524500,24.5245,0.0,EXACT,1,1,OK
1080p30_04,UCVSlzgun0o_s90,820,C:/Users/neelj/g402_receiver/UCVSlzgun0o_s90.mp4,74729263,50397259a00b0706ad9d2f7207eb6caa51a10abb3b7c46d0a213aadcb517c35e,1920,1080,591474d863ed8fbfa0c3860c23698f0483a01fd0d7a4a676763cc4fe5fdb1771,27.360667,27.360667,3.3333333249174757e-07,EXACT,1,1,OK
1080p30_05,UzaYBYy3GZg_s90,908,C:/Users/neelj/g402_receiver/UzaYBYy3GZg_s90.mp4,70876617,a8c2f18b4509e1f7fc74e23d96d1657c996ea95e6fce1a86b0b24b0b13f3fc85,1920,1080,a2d440a691524993d6113f260423f751149127c44be5264c5c5f39a06891a2c8,30.296933,30.296933,3.3333333604446125e-07,EXACT,1,1,OK
1080p30_06,Vm0FqeGo-8g_s1317,960,C:/Users/neelj/g402_receiver/Vm0FqeGo-8g_s1317.mp4,65439426,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,1920,1080,29a4b72fd58da21dc5e8f98efffddfe0b29b8973b010658b4298514f9cf233c3,32.032000,32.032,7.105427357601002e-15,EXACT,1,1,OK
1080p30_07,Vm0FqeGo-8g_s90,1067,C:/Users/neelj/g402_receiver/Vm0FqeGo-8g_s90.mp4,78483924,dd161f33b5ac3ca12cffbb56c07486878d88b9e5bf2792035a02284f66f7cbde,1920,1080,9fa5d6af213334a2e91c6e9e8ceb885189b2c0f34ef75257aa026815bfcecaab,35.602233,35.602233,3.3333333959717493e-07,EXACT,1,1,OK
1080p30_08,X5w3V6rh26s_s90,1145,C:/Users/neelj/g402_receiver/X5w3V6rh26s_s90.mp4,71367114,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,1920,1080,4aadf072d7145b0fedeb07af6f3417d6f68fddd78fe7e3386bddcdab13467f6e,38.204833,38.204833,3.3333333249174757e-07,EXACT,1,1,OK
1080p30_09,Y1cgaIWW8gk_s1437,1239,C:/Users/neelj/g402_receiver/Y1cgaIWW8gk_s1437.mp4,73218045,7077f787eb256e82e4d8c0bba660ee40c32ba7926ba36a2f3af364987c6fd96a,1920,1080,2e5bb17111d355412bd7261e40c9b5b85ae8e94cf3c2f18798b94e96f995476c,41.300000,41.3,7.105427357601002e-15,EXACT,1,1,OK
1080p30_10,Y1cgaIWW8gk_s2784,1337,C:/Users/neelj/g402_receiver/Y1cgaIWW8gk_s2784.mp4,68904225,22a91f62f26f48260e14d5c5a0646b8dcb15cbe0394e696558211ab64370e6a6,1920,1080,a5353000b3ac218719c39712321b768dd04727c4c3f23d82940a2cfd71305030,44.566667,44.566667,3.3333333249174757e-07,EXACT,1,1,OK
1080p30_11,Y1cgaIWW8gk_s2784,1595,C:/Users/neelj/g402_receiver/Y1cgaIWW8gk_s2784.mp4,68904225,22a91f62f26f48260e14d5c5a0646b8dcb15cbe0394e696558211ab64370e6a6,1920,1080,0a48a723e2ba4166d2f532782e4cdcecbcd9548d2026c30803acf6dba54746e1,53.166667,53.166667,3.333333253863202e-07,EXACT,1,1,OK
