card_id,draw_kind,box_id,det_id,iou,dx,dy,association_status,visual_adjudication
720p60_05,720p60,720p60_05_r00,720p60_05_d04,0.6182539682539683,-4.5,2.0,MATCHED,UNKNOWN
1080p30_25,1080p30,1080p30_25_r03,1080p30_25_d07,0.6146570427978073,-42.23580000000004,-6.369019999999978,MATCHED,UNKNOWN
720p60_06,720p60,720p60_06_r00,720p60_06_d04,0.6138942617666022,1.0,1.75,MATCHED,UNKNOWN
1080p30_00,1080p30,1080p30_00_r01,1080p30_00_d07,0.6136441269841271,1.25,-5.843999999999994,MATCHED,UNKNOWN
720p60_16,720p60,720p60_16_r01,720p60_16_d02,0.6122119247902191,59.0,14.25,MATCHED,UNKNOWN
720p60_28,720p60,720p60_28_r02,720p60_28_d01,0.6116886116886117,0.0,-0.25,MATCHED,UNKNOWN
1080p30_13,1080p30,1080p30_13_r01,1080p30_13_d10,0.6114766081871345,0.0,4.75,MATCHED,UNKNOWN
1080p30_17,1080p30,1080p30_17_r03,1080p30_17_d11,0.611078431372549,-0.25,-1.0,MATCHED,UNKNOWN
1080p30_05,1080p30,1080p30_05_r01,1080p30_05_d05,0.6090909090909091,1.5,-2.0,MATCHED,UNKNOWN
1080p30_11,1080p30,1080p30_11_r02,1080p30_11_d04,0.6049695368854163,34.375,-48.5,MATCHED,UNKNOWN
1080p30_03,1080p30,1080p30_03_r01,1080p30_03_d00,0.5894540455616654,-3.75,-1.25,MATCHED,UNKNOWN
720p60_25,720p60,720p60_25_r00,720p60_25_d08,0.5856702415601112,-2.071770000000015,-16.421690000000012,MATCHED,UNKNOWN
1080p30_01,1080p30,1080p30_01_r00,1080p30_01_d06,0.5850853548966757,-6.5,-6.0,MATCHED,UNKNOWN
1080p30_27,1080p30,1080p30_27_r00,1080p30_27_d01,0.583863843055736,15.0,-31.625,MATCHED,UNKNOWN
1080p30_12,1080p30,1080p30_12_r01,1080p30_12_d12,0.5734633645579366,-10.5,9.625,MATCHED,UNKNOWN
720p60_14,720p60,720p60_14_r03,720p60_14_d15,0.5707140954692078,16.25,-13.5,MATCHED,UNKNOWN
720p60_26,720p60,720p60_26_r00,720p60_26_d03,0.569683908045977,15.0,-1.125,MATCHED,UNKNOWN
720p60_24,720p60,720p60_24_r01,720p60_24_d04,0.5690559440559441,-4.5,2.5,MATCHED,UNKNOWN
1080p30_01,1080p30,1080p30_01_r01,1080p30_01_d09,0.56773423712498,10.1875,5.25,MATCHED,UNKNOWN
1080p30_26,1080p30,1080p30_26_r01,1080p30_26_d04,0.5641025641025641,0.0,-3.75,MATCHED,UNKNOWN
720p60_28,720p60,720p60_28_r01,720p60_28_d07,0.5614035087719298,-1.0,-0.5,MATCHED,UNKNOWN
1080p30_06,1080p30,1080p30_06_r01,1080p30_06_d01,0.5558823529411765,9.5,-7.75,MATCHED,UNKNOWN
1080p30_00,1080p30,1080p30_00_r02,1080p30_00_d06,0.5525383707201889,-14.0,16.125,MATCHED,UNKNOWN
1080p30_26,1080p30,1080p30_26_r00,1080p30_26_d01,0.5483870967741935,-0.5,-6.0,MATCHED,UNKNOWN
1080p30_25,1080p30,1080p30_25_r01,1080p30_25_d09,0.5472335046519414,-30.01156500000002,12.970550000000003,MATCHED,UNKNOWN
1080p30_28,1080p30,1080p30_28_r00,1080p30_28_d06,0.5415494394448312,-19.70092999999997,-29.48975999999999,MATCHED,UNKNOWN
1080p30_05,1080p30,1080p30_05_r02,1080p30_05_d04,0.5400031811674885,22.5,-0.75,MATCHED,UNKNOWN
720p60_26,720p60,720p60_26_r01,720p60_26_d08,0.5337641087290456,7.0,-7.25,MATCHED,UNKNOWN
720p60_05,720p60,720p60_05_r02,720p60_05_d02,0.5325943989281285,-1.1084500000000048,-43.25189,MATCHED,UNKNOWN
720p60_24,720p60,720p60_24_r00,720p60_24_d03,0.5312639946260636,-0.5,-5.75,MATCHED,UNKNOWN
720p60_07,720p60,720p60_07_r04,720p60_07_d08,0.5259142201567487,-9.026869999999917,1.2199000000000524,MATCHED,UNKNOWN
1080p30_26,1080p30,1080p30_26_r02,1080p30_26_d02,0.5250321061643836,-2.375,-4.0,MATCHED,UNKNOWN
1080p30_21,1080p30,1080p30_21_r02,1080p30_21_d04,0.5219360262926587,-31.5,-1.3125,MATCHED,UNKNOWN
720p60_05,720p60,720p60_05_r01,720p60_05_d09,0.5099401829697396,-3.1875,16.0,MATCHED,UNKNOWN
720p60_01,720p60,720p60_01_r00,720p60_01_d08,0.5042183622828784,-4.0,-1.5,MATCHED,UNKNOWN
720p60_17,720p60,720p60_17_r00,720p60_17_d07,0.5013040233614536,-2.218999999999994,2.5,MATCHED,UNKNOWN
