row_type,card_id,draw_kind,matched_boxes,median_dx,median_dy,matched_frames,equal_frame_median_dx,equal_frame_median_dy,absolute_p50,absolute_p90,absolute_max,budget_status
frame,1080p30_00,1080p30,4,5.3125,-0.20300000000000296,,,,,,,
frame,1080p30_01,1080p30,4,3.25,-0.375,,,,,,,
frame,1080p30_02,1080p30,1,-7.5,11.5,,,,,,,
frame,1080p30_03,1080p30,2,-2.5625,0.42199999999999704,,,,,,,
frame,1080p30_05,1080p30,2,12.0,-1.375,,,,,,,
frame,1080p30_06,1080p30,4,6.1875,-7.5,,,,,,,
frame,1080p30_07,1080p30,4,4.5,-0.375,,,,,,,
frame,1080p30_08,1080p30,1,14.5,-0.6875,,,,,,,
frame,1080p30_10,1080p30,1,-18.5,-1.8125,,,,,,,
frame,1080p30_11,1080p30,1,34.375,-48.5,,,,,,,
frame,1080p30_12,1080p30,5,-1.0,0.5,,,,,,,
frame,1080p30_13,1080p30,3,0.0,1.25,,,,,,,
frame,1080p30_14,1080p30,3,-5.0,4.125,,,,,,,
frame,1080p30_15,1080p30,1,11.218200000000024,3.260324999999966,,,,,,,
frame,1080p30_16,1080p30,1,-9.406000000000006,9.296999999999997,,,,,,,
frame,1080p30_17,1080p30,4,-1.0,2.703000000000003,,,,,,,
frame,1080p30_18,1080p30,5,6.375,-0.75,,,,,,,
frame,1080p30_20,1080p30,2,-3.930425000000014,8.907935000000009,,,,,,,
frame,1080p30_21,1080p30,2,-25.1875,1.84375,,,,,,,
frame,1080p30_22,1080p30,3,-20.61897500000009,-8.14331500000003,,,,,,,
frame,1080p30_24,1080p30,2,27.5,6.8125,,,,,,,
frame,1080p30_25,1080p30,3,-30.01156500000002,-6.369019999999978,,,,,,,
frame,1080p30_26,1080p30,3,-0.5,-4.0,,,,,,,
frame,1080p30_27,1080p30,3,15.0,-10.75,,,,,,,
frame,1080p30_28,1080p30,1,-19.70092999999997,-29.48975999999999,,,,,,,
frame,1080p30_29,1080p30,2,2.0,-5.78125,,,,,,,
frame,720p60_01,720p60,1,-4.0,-1.5,,,,,,,
frame,720p60_02,720p60,1,39.81719999999996,-3.485779999999977,,,,,,,
frame,720p60_03,720p60,1,-2.3487499999999955,-1.0,,,,,,,
frame,720p60_04,720p60,4,-6.5,-1.875,,,,,,,
frame,720p60_05,720p60,3,-3.1875,2.0,,,,,,,
frame,720p60_06,720p60,1,1.0,1.75,,,,,,,
frame,720p60_07,720p60,1,-9.026869999999917,1.2199000000000524,,,,,,,
frame,720p60_08,720p60,1,-0.5,15.0,,,,,,,
frame,720p60_10,720p60,1,-13.0,23.5,,,,,,,
frame,720p60_11,720p60,6,-0.25,0.625,,,,,,,
frame,720p60_12,720p60,4,-4.375,23.625,,,,,,,
frame,720p60_14,720p60,4,13.125,-6.625,,,,,,,
frame,720p60_16,720p60,3,1.5,14.25,,,,,,,
frame,720p60_17,720p60,1,-2.218999999999994,2.5,,,,,,,
frame,720p60_20,720p60,3,3.0,1.25,,,,,,,
frame,720p60_21,720p60,2,-4.75,-1.75,,,,,,,
frame,720p60_23,720p60,2,4.577999999999999,-0.875,,,,,,,
frame,720p60_24,720p60,2,-2.5,-1.625,,,,,,,
frame,720p60_25,720p60,1,-2.071770000000015,-16.421690000000012,,,,,,,
frame,720p60_26,720p60,2,11.0,-4.1875,,,,,,,
frame,720p60_28,720p60,3,-1.0,-0.25,,,,,,,
frame,720p60_29,720p60,3,0.25,-5.5,,,,,,,
summary,POOLED,,117,,,48,-0.75,-0.375,5.609499999999997,24.0,100.5,PASS
summary,1080p30,,67,,,26,-0.25,-0.375,6.835245000000015,26.962200000000053,100.5,NOT_VALIDATED
summary,720p60,,50,,,22,-1.5358850000000075,-0.5625,3.4928899999999885,22.218999999999994,59.0,NOT_VALIDATED
