unit_set,unit_id,card_id,reason,status
producer,720p60_22_r00,720p60_22,NO_IOU_0_50_MATCH,UNKNOWN
producer,720p60_22_r01,720p60_22,NO_IOU_0_50_MATCH,UNKNOWN
producer,720p60_23_r02,720p60_23,NO_IOU_0_50_MATCH,UNKNOWN
producer,720p60_23_r03,720p60_23,NO_IOU_0_50_MATCH,UNKNOWN
producer,720p60_23_r04,720p60_23,NO_IOU_0_50_MATCH,UNKNOWN
producer,720p60_23_r05,720p60_23,NO_IOU_0_50_MATCH,UNKNOWN
producer,720p60_23_r06,720p60_23,NO_IOU_0_50_MATCH,UNKNOWN
producer,720p60_24_r02,720p60_24,NO_IOU_0_50_MATCH,UNKNOWN
producer,720p60_24_r03,720p60_24,NO_IOU_0_50_MATCH,UNKNOWN
producer,720p60_24_r04,720p60_24,NO_IOU_0_50_MATCH,UNKNOWN
producer,720p60_25_r01,720p60_25,NO_IOU_0_50_MATCH,UNKNOWN
producer,720p60_26_r02,720p60_26,NO_IOU_0_50_MATCH,UNKNOWN
producer,720p60_26_r03,720p60_26,NO_IOU_0_50_MATCH,UNKNOWN
producer,720p60_26_r04,720p60_26,NO_IOU_0_50_MATCH,UNKNOWN
producer,720p60_28_r00,720p60_28,NO_IOU_0_50_MATCH,UNKNOWN
producer,720p60_29_r03,720p60_29,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_00_d01,1080p30_00,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_00_d02,1080p30_00,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_00_d03,1080p30_00,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_00_d04,1080p30_00,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_00_d05,1080p30_00,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_00_d09,1080p30_00,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_00_d10,1080p30_00,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_01_d00,1080p30_01,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_01_d02,1080p30_01,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_01_d03,1080p30_01,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_01_d04,1080p30_01,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_01_d05,1080p30_01,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_01_d07,1080p30_01,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_01_d08,1080p30_01,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_02_d01,1080p30_02,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_03_d01,1080p30_03,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_03_d03,1080p30_03,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_03_d04,1080p30_03,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_03_d05,1080p30_03,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_03_d06,1080p30_03,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_03_d07,1080p30_03,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_03_d08,1080p30_03,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_04_d00,1080p30_04,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_04_d01,1080p30_04,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_04_d02,1080p30_04,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_04_d03,1080p30_04,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_04_d04,1080p30_04,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_04_d05,1080p30_04,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_04_d06,1080p30_04,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_04_d07,1080p30_04,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_04_d08,1080p30_04,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_04_d09,1080p30_04,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_04_d10,1080p30_04,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_04_d11,1080p30_04,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_04_d12,1080p30_04,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_04_d13,1080p30_04,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_05_d00,1080p30_05,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_05_d01,1080p30_05,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_05_d02,1080p30_05,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_05_d03,1080p30_05,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_05_d06,1080p30_05,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_05_d07,1080p30_05,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_05_d08,1080p30_05,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_05_d09,1080p30_05,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_06_d00,1080p30_06,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_06_d02,1080p30_06,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_06_d05,1080p30_06,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_06_d06,1080p30_06,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_06_d08,1080p30_06,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_06_d09,1080p30_06,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_06_d10,1080p30_06,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_07_d03,1080p30_07,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_07_d05,1080p30_07,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_07_d06,1080p30_07,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_07_d07,1080p30_07,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_07_d08,1080p30_07,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_07_d09,1080p30_07,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_07_d10,1080p30_07,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_08_d00,1080p30_08,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_08_d01,1080p30_08,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_08_d02,1080p30_08,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_08_d04,1080p30_08,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_08_d05,1080p30_08,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_08_d06,1080p30_08,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_08_d07,1080p30_08,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_08_d08,1080p30_08,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_08_d09,1080p30_08,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_08_d10,1080p30_08,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_08_d11,1080p30_08,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_08_d12,1080p30_08,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_08_d13,1080p30_08,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_08_d14,1080p30_08,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_09_d00,1080p30_09,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_09_d01,1080p30_09,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_09_d02,1080p30_09,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_09_d03,1080p30_09,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_09_d04,1080p30_09,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_09_d05,1080p30_09,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_09_d06,1080p30_09,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_09_d07,1080p30_09,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_09_d08,1080p30_09,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_10_d00,1080p30_10,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_10_d02,1080p30_10,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_10_d03,1080p30_10,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_10_d04,1080p30_10,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_11_d00,1080p30_11,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_11_d01,1080p30_11,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_11_d02,1080p30_11,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_11_d03,1080p30_11,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_11_d05,1080p30_11,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_11_d06,1080p30_11,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_11_d07,1080p30_11,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_11_d08,1080p30_11,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_11_d09,1080p30_11,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_11_d10,1080p30_11,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_12_d00,1080p30_12,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_12_d02,1080p30_12,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_12_d04,1080p30_12,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_12_d05,1080p30_12,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_12_d06,1080p30_12,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_12_d08,1080p30_12,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_12_d09,1080p30_12,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_12_d11,1080p30_12,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_13_d00,1080p30_13,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_13_d01,1080p30_13,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_13_d02,1080p30_13,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_13_d03,1080p30_13,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_13_d04,1080p30_13,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_13_d06,1080p30_13,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_13_d08,1080p30_13,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_13_d09,1080p30_13,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_13_d11,1080p30_13,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_13_d12,1080p30_13,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_14_d02,1080p30_14,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_15_d01,1080p30_15,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_15_d02,1080p30_15,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_15_d03,1080p30_15,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_16_d01,1080p30_16,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_16_d02,1080p30_16,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_17_d00,1080p30_17,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_17_d02,1080p30_17,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_17_d04,1080p30_17,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_17_d05,1080p30_17,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_17_d06,1080p30_17,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_17_d07,1080p30_17,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_17_d09,1080p30_17,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_17_d10,1080p30_17,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_17_d12,1080p30_17,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_17_d13,1080p30_17,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_17_d14,1080p30_17,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_18_d03,1080p30_18,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_18_d04,1080p30_18,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_18_d07,1080p30_18,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_18_d08,1080p30_18,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_18_d09,1080p30_18,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_18_d10,1080p30_18,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_18_d11,1080p30_18,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_18_d12,1080p30_18,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_18_d13,1080p30_18,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_18_d14,1080p30_18,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_19_d00,1080p30_19,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_19_d01,1080p30_19,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_19_d02,1080p30_19,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_19_d03,1080p30_19,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_20_d00,1080p30_20,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_20_d01,1080p30_20,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_20_d03,1080p30_20,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_20_d04,1080p30_20,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_21_d01,1080p30_21,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_21_d02,1080p30_21,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_21_d03,1080p30_21,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_21_d05,1080p30_21,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_21_d06,1080p30_21,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_21_d07,1080p30_21,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_21_d08,1080p30_21,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_21_d09,1080p30_21,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_21_d10,1080p30_21,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_21_d11,1080p30_21,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_21_d12,1080p30_21,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_21_d13,1080p30_21,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_22_d01,1080p30_22,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_22_d03,1080p30_22,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_22_d04,1080p30_22,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_22_d05,1080p30_22,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_22_d06,1080p30_22,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_22_d07,1080p30_22,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_22_d08,1080p30_22,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_22_d10,1080p30_22,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_22_d11,1080p30_22,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_23_d00,1080p30_23,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_23_d01,1080p30_23,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_23_d02,1080p30_23,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_23_d03,1080p30_23,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_23_d04,1080p30_23,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_23_d05,1080p30_23,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_23_d06,1080p30_23,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_23_d07,1080p30_23,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_24_d02,1080p30_24,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_24_d03,1080p30_24,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_24_d04,1080p30_24,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_24_d05,1080p30_24,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_24_d06,1080p30_24,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_24_d07,1080p30_24,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_24_d08,1080p30_24,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_24_d09,1080p30_24,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_24_d10,1080p30_24,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_25_d00,1080p30_25,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_25_d01,1080p30_25,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_25_d02,1080p30_25,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_25_d03,1080p30_25,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_25_d04,1080p30_25,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_25_d06,1080p30_25,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_25_d08,1080p30_25,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_25_d10,1080p30_25,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_25_d11,1080p30_25,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_25_d12,1080p30_25,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_25_d13,1080p30_25,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_25_d14,1080p30_25,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_26_d00,1080p30_26,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_26_d03,1080p30_26,NO_IOU_0_50_MATCH,UNKNOWN
comparator,1080p30_26_d05,1080p30_26,NO_IOU_0_50_MATCH,UNKNOWN
