card_id,draw_kind,draw_order,section_id,sealed_start_frame,sealed_end_frame_exclusive,frame,sealed_ordinal,universe_n,draw_formula,producer_boxes,comparator_boxes,matched_boxes,producer_silence,comparator_silence,status
1080p30_00,1080p30,0,9sq-YMlIo9Q_s2346,118,418,118,0,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,4,11,4,0,0,source_OK&transform_accounted&sealed_association
1080p30_01,1080p30,0,9sq-YMlIo9Q_s2346,118,418,376,86,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,4,11,4,0,0,source_OK&transform_accounted&sealed_association
1080p30_02,1080p30,3,UCVSlzgun0o_s2298,468,768,474,172,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,2,2,1,0,0,source_OK&transform_accounted&sealed_association
1080p30_03,1080p30,3,UCVSlzgun0o_s2298,468,768,735,259,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,3,9,2,0,0,source_OK&transform_accounted&sealed_association
1080p30_04,1080p30,4,UCVSlzgun0o_s90,595,895,820,345,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,3,14,0,0,0,source_OK&transform_accounted&sealed_association
1080p30_05,1080p30,5,UzaYBYy3GZg_s90,725,1025,908,431,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,4,10,2,0,0,source_OK&transform_accounted&sealed_association
1080p30_06,1080p30,6,Vm0FqeGo-8g_s1317,819,1119,960,517,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,6,11,4,0,0,source_OK&transform_accounted&sealed_association
1080p30_07,1080p30,7,Vm0FqeGo-8g_s90,968,1268,1067,603,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,6,11,4,0,0,source_OK&transform_accounted&sealed_association
1080p30_08,1080p30,8,X5w3V6rh26s_s90,1088,1388,1145,689,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,1,15,1,0,0,source_OK&transform_accounted&sealed_association
1080p30_09,1080p30,9,Y1cgaIWW8gk_s1437,1191,1491,1239,776,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,0,9,0,1,0,source_OK&transform_accounted&sealed_association
1080p30_10,1080p30,10,Y1cgaIWW8gk_s2784,1331,1631,1337,862,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,2,5,1,0,0,source_OK&transform_accounted&sealed_association
1080p30_11,1080p30,10,Y1cgaIWW8gk_s2784,1331,1631,1595,948,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,5,11,1,0,0,source_OK&transform_accounted&sealed_association
1080p30_12,1080p30,12,tFnl0NVn6FA_s2774,1574,1874,1586,1034,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,6,13,5,0,0,source_OK&transform_accounted&sealed_association
1080p30_13,1080p30,12,tFnl0NVn6FA_s2774,1574,1874,1844,1120,2500,int(j*(N-1)/29+0.5) over draw_order then bounded receipt ticks,4,13,3,0,0,source_OK&transform_accounted&sealed_association
