frame_index,x1,y1,x2,y2,score,class
461,1158.299,417.578,1280.677,729.681,0.711500,0
461,349.306,463.062,473.631,739.126,0.698649,0
461,920.959,578.064,1069.575,851.186,0.698527,0
461,1358.035,625.978,1447.626,940.635,0.634282,0
461,1280.886,580.588,1379.119,893.360,0.608418,0
461,449.545,449.543,530.997,706.807,0.599107,0
461,1100.228,317.613,1209.467,556.463,0.531476,0
461,926.481,336.729,1027.156,584.876,0.470597,0
461,1390.729,459.630,1528.758,749.708,0.437269,0
461,823.471,259.768,913.916,509.223,0.394643,0
461,217.341,339.957,282.980,433.430,0.330125,0
461,445.332,267.908,520.122,372.657,0.322882,0
461,742.261,223.262,821.195,433.238,0.313311,0
461,1407.872,321.099,1501.872,381.929,0.302331,0
922,168.518,392.822,364.627,784.190,0.726018,0
922,842.036,441.379,990.891,757.415,0.720475,0
922,421.647,396.067,553.420,728.697,0.655750,0
922,1145.776,578.314,1266.432,945.084,0.630283,0
922,639.900,469.331,743.005,825.313,0.584400,0
922,675.702,363.626,787.100,684.463,0.541143,0
922,584.724,474.976,676.685,813.354,0.529928,0
922,409.374,340.177,494.943,460.235,0.438120,0
922,334.714,347.757,415.260,461.667,0.426245,0
922,1551.979,558.664,1720.544,813.103,0.418090,0
922,621.925,302.542,705.706,446.648,0.404118,0
922,844.444,300.483,917.429,440.593,0.399949,0
922,21.930,351.999,113.500,507.329,0.386014,0
922,264.510,360.800,344.419,464.455,0.372174,0
922,1376.657,547.354,1498.475,806.624,0.363914,0
922,765.265,305.926,855.490,442.375,0.351576,0
922,365.726,255.761,444.677,372.085,0.346079,0
922,108.748,354.865,192.990,484.565,0.345796,0
922,548.625,300.992,631.387,450.216,0.329929,0
922,916.495,337.945,995.459,440.370,0.315339,0
922,1488.499,204.807,1565.950,309.674,0.311698,0
1383,1774.869,520.663,1920.000,873.929,0.748193,0
1383,1340.543,290.210,1491.461,594.980,0.743976,0
1383,979.652,309.148,1115.491,600.736,0.708666,0
1383,1044.100,405.886,1211.270,740.519,0.622674,0
1383,295.185,192.424,407.178,483.327,0.549619,0
1383,1207.023,175.071,1292.811,453.411,0.465807,0
1383,1672.245,220.710,1770.266,367.681,0.419321,0
1383,1540.381,209.953,1640.335,367.768,0.411099,0
1383,846.293,162.938,938.127,265.735,0.383899,0
1383,1448.859,179.034,1523.504,266.043,0.376145,0
1383,712.862,240.135,790.621,308.154,0.367164,0
1383,1670.247,221.725,1772.666,439.582,0.355121,0
1383,1883.934,248.396,1920.000,368.093,0.345648,0
1383,1353.456,165.886,1450.273,263.752,0.335295,0
1383,1763.439,251.647,1850.295,360.106,0.328696,0
1383,556.161,132.312,632.390,238.033,0.320097,0
1383,1761.795,251.208,1852.148,416.177,0.301713,0
1844,176.200,588.201,311.937,910.035,0.810654,0
1844,624.753,503.939,739.901,804.835,0.780602,0
1844,1059.291,478.191,1181.214,761.878,0.779977,0
1844,744.635,576.278,903.599,903.460,0.767390,0
1844,1285.815,493.904,1410.400,828.778,0.725165,0
1844,481.296,400.338,578.487,685.587,0.699884,0
1844,1332.938,612.138,1466.762,942.043,0.697927,0
