G376 strip 6 of 10 -- declared ticks 67745..67824 of 135497
O observed  D scheduled_no_detection (evaluated, no track row)  N not_scheduled (declaration over-counts)  U unknown

9F5q5jCbrMI_s90          FRESH69   frame=6702     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6708     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6714     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6720     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6726     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6732     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6738     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6744     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6750     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6756     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6762     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6768     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6774     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6780     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6786     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6792     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6798     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6804     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6810     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6816     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6822     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6828     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6834     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6840     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6846     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6852     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6858     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6864     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6870     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6876     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6882     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6888     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6894     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6900     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6906     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6912     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6918     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6924     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6930     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6936     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6942     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6948     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6954     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6960     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6966     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6972     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6978     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6984     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6990     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=6996     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7002     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7008     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7014     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7020     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7026     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7032     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7038     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7044     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7050     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7056     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7062     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7068     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7074     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7080     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7086     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7092     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7098     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7104     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7110     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7116     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7122     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7128     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7134     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7140     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7146     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7152     N BEYOND_ROUTE_CAP
9F5q5jCbrMI_s90          FRESH69   frame=7158     N BEYOND_ROUTE_CAP
