G376 strip 1 of 10 -- declared ticks 0..79 of 135497
O observed  D scheduled_no_detection (evaluated, no track row)  N not_scheduled (declaration over-counts)  U unknown

1zPhldjbJnU_s1196        SEALED34  frame=0        O 
1zPhldjbJnU_s1196        SEALED34  frame=3        O 
1zPhldjbJnU_s1196        SEALED34  frame=6        O 
1zPhldjbJnU_s1196        SEALED34  frame=9        O 
1zPhldjbJnU_s1196        SEALED34  frame=12       O 
1zPhldjbJnU_s1196        SEALED34  frame=15       O 
1zPhldjbJnU_s1196        SEALED34  frame=18       O 
1zPhldjbJnU_s1196        SEALED34  frame=21       O 
1zPhldjbJnU_s1196        SEALED34  frame=24       O 
1zPhldjbJnU_s1196        SEALED34  frame=27       O 
1zPhldjbJnU_s1196        SEALED34  frame=30       O 
1zPhldjbJnU_s1196        SEALED34  frame=33       O 
1zPhldjbJnU_s1196        SEALED34  frame=36       O 
1zPhldjbJnU_s1196        SEALED34  frame=39       O 
1zPhldjbJnU_s1196        SEALED34  frame=42       O 
1zPhldjbJnU_s1196        SEALED34  frame=45       O 
1zPhldjbJnU_s1196        SEALED34  frame=48       O 
1zPhldjbJnU_s1196        SEALED34  frame=51       O 
1zPhldjbJnU_s1196        SEALED34  frame=54       O 
1zPhldjbJnU_s1196        SEALED34  frame=57       O 
1zPhldjbJnU_s1196        SEALED34  frame=60       O 
1zPhldjbJnU_s1196        SEALED34  frame=63       O 
1zPhldjbJnU_s1196        SEALED34  frame=66       O 
1zPhldjbJnU_s1196        SEALED34  frame=69       O 
1zPhldjbJnU_s1196        SEALED34  frame=72       O 
1zPhldjbJnU_s1196        SEALED34  frame=75       O 
1zPhldjbJnU_s1196        SEALED34  frame=78       O 
1zPhldjbJnU_s1196        SEALED34  frame=81       O 
1zPhldjbJnU_s1196        SEALED34  frame=84       O 
1zPhldjbJnU_s1196        SEALED34  frame=87       O 
1zPhldjbJnU_s1196        SEALED34  frame=90       O 
1zPhldjbJnU_s1196        SEALED34  frame=93       O 
1zPhldjbJnU_s1196        SEALED34  frame=96       O 
1zPhldjbJnU_s1196        SEALED34  frame=99       O 
1zPhldjbJnU_s1196        SEALED34  frame=102      O 
1zPhldjbJnU_s1196        SEALED34  frame=105      O 
1zPhldjbJnU_s1196        SEALED34  frame=108      O 
1zPhldjbJnU_s1196        SEALED34  frame=111      O 
1zPhldjbJnU_s1196        SEALED34  frame=114      O 
1zPhldjbJnU_s1196        SEALED34  frame=117      O 
1zPhldjbJnU_s1196        SEALED34  frame=120      O 
1zPhldjbJnU_s1196        SEALED34  frame=123      O 
1zPhldjbJnU_s1196        SEALED34  frame=126      O 
1zPhldjbJnU_s1196        SEALED34  frame=129      O 
1zPhldjbJnU_s1196        SEALED34  frame=132      O 
1zPhldjbJnU_s1196        SEALED34  frame=135      O 
1zPhldjbJnU_s1196        SEALED34  frame=138      O 
1zPhldjbJnU_s1196        SEALED34  frame=141      O 
1zPhldjbJnU_s1196        SEALED34  frame=144      O 
1zPhldjbJnU_s1196        SEALED34  frame=147      O 
1zPhldjbJnU_s1196        SEALED34  frame=150      O 
1zPhldjbJnU_s1196        SEALED34  frame=153      O 
1zPhldjbJnU_s1196        SEALED34  frame=156      O 
1zPhldjbJnU_s1196        SEALED34  frame=159      O 
1zPhldjbJnU_s1196        SEALED34  frame=162      O 
1zPhldjbJnU_s1196        SEALED34  frame=165      O 
1zPhldjbJnU_s1196        SEALED34  frame=168      O 
1zPhldjbJnU_s1196        SEALED34  frame=171      O 
1zPhldjbJnU_s1196        SEALED34  frame=174      O 
1zPhldjbJnU_s1196        SEALED34  frame=177      O 
1zPhldjbJnU_s1196        SEALED34  frame=180      O 
1zPhldjbJnU_s1196        SEALED34  frame=183      O 
1zPhldjbJnU_s1196        SEALED34  frame=186      O 
1zPhldjbJnU_s1196        SEALED34  frame=189      O 
1zPhldjbJnU_s1196        SEALED34  frame=192      O 
1zPhldjbJnU_s1196        SEALED34  frame=195      O 
1zPhldjbJnU_s1196        SEALED34  frame=198      O 
1zPhldjbJnU_s1196        SEALED34  frame=201      O 
1zPhldjbJnU_s1196        SEALED34  frame=204      O 
1zPhldjbJnU_s1196        SEALED34  frame=207      O 
1zPhldjbJnU_s1196        SEALED34  frame=210      O 
1zPhldjbJnU_s1196        SEALED34  frame=213      O 
1zPhldjbJnU_s1196        SEALED34  frame=216      O 
1zPhldjbJnU_s1196        SEALED34  frame=219      O 
1zPhldjbJnU_s1196        SEALED34  frame=222      O 
1zPhldjbJnU_s1196        SEALED34  frame=225      O 
1zPhldjbJnU_s1196        SEALED34  frame=228      O 
1zPhldjbJnU_s1196        SEALED34  frame=231      O 
1zPhldjbJnU_s1196        SEALED34  frame=234      O 
1zPhldjbJnU_s1196        SEALED34  frame=237      O 
