G376 strip 5 of 10 -- declared ticks 54196..54275 of 135497
O observed  D scheduled_no_detection (evaluated, no track row)  N not_scheduled (declaration over-counts)  U unknown

1E5Rw89keTg_s312         FRESH69   frame=1680     O 
1E5Rw89keTg_s312         FRESH69   frame=1683     O 
1E5Rw89keTg_s312         FRESH69   frame=1686     O 
1E5Rw89keTg_s312         FRESH69   frame=1689     O 
1E5Rw89keTg_s312         FRESH69   frame=1692     O 
1E5Rw89keTg_s312         FRESH69   frame=1695     O 
1E5Rw89keTg_s312         FRESH69   frame=1698     O 
1E5Rw89keTg_s312         FRESH69   frame=1701     O 
1E5Rw89keTg_s312         FRESH69   frame=1704     O 
1E5Rw89keTg_s312         FRESH69   frame=1707     O 
1E5Rw89keTg_s312         FRESH69   frame=1710     O 
1E5Rw89keTg_s312         FRESH69   frame=1713     O 
1E5Rw89keTg_s312         FRESH69   frame=1716     O 
1E5Rw89keTg_s312         FRESH69   frame=1719     O 
1E5Rw89keTg_s312         FRESH69   frame=1722     O 
1E5Rw89keTg_s312         FRESH69   frame=1725     O 
1E5Rw89keTg_s312         FRESH69   frame=1728     O 
1E5Rw89keTg_s312         FRESH69   frame=1731     O 
1E5Rw89keTg_s312         FRESH69   frame=1734     O 
1E5Rw89keTg_s312         FRESH69   frame=1737     O 
1E5Rw89keTg_s312         FRESH69   frame=1740     O 
1E5Rw89keTg_s312         FRESH69   frame=1743     O 
1E5Rw89keTg_s312         FRESH69   frame=1746     O 
1E5Rw89keTg_s312         FRESH69   frame=1749     O 
1E5Rw89keTg_s312         FRESH69   frame=1752     O 
1E5Rw89keTg_s312         FRESH69   frame=1755     O 
1E5Rw89keTg_s312         FRESH69   frame=1758     O 
1E5Rw89keTg_s312         FRESH69   frame=1761     O 
1E5Rw89keTg_s312         FRESH69   frame=1764     O 
1E5Rw89keTg_s312         FRESH69   frame=1767     O 
1E5Rw89keTg_s312         FRESH69   frame=1770     O 
1E5Rw89keTg_s312         FRESH69   frame=1773     O 
1E5Rw89keTg_s312         FRESH69   frame=1776     O 
1E5Rw89keTg_s312         FRESH69   frame=1779     O 
1E5Rw89keTg_s312         FRESH69   frame=1782     O 
1E5Rw89keTg_s312         FRESH69   frame=1785     O 
1E5Rw89keTg_s312         FRESH69   frame=1788     O 
1E5Rw89keTg_s312         FRESH69   frame=1791     O 
1E5Rw89keTg_s312         FRESH69   frame=1794     O 
1E5Rw89keTg_s312         FRESH69   frame=1797     O 
1E5Rw89keTg_s312         FRESH69   frame=1800     O 
1E5Rw89keTg_s312         FRESH69   frame=1803     O 
1E5Rw89keTg_s312         FRESH69   frame=1806     O 
1E5Rw89keTg_s312         FRESH69   frame=1809     O 
1E5Rw89keTg_s312         FRESH69   frame=1812     O 
1E5Rw89keTg_s312         FRESH69   frame=1815     O 
1E5Rw89keTg_s312         FRESH69   frame=1818     O 
1E5Rw89keTg_s312         FRESH69   frame=1821     O 
1E5Rw89keTg_s312         FRESH69   frame=1824     O 
1E5Rw89keTg_s312         FRESH69   frame=1827     O 
1E5Rw89keTg_s312         FRESH69   frame=1830     O 
1E5Rw89keTg_s312         FRESH69   frame=1833     O 
1E5Rw89keTg_s312         FRESH69   frame=1836     O 
1E5Rw89keTg_s312         FRESH69   frame=1839     O 
1E5Rw89keTg_s312         FRESH69   frame=1842     O 
1E5Rw89keTg_s312         FRESH69   frame=1845     O 
1E5Rw89keTg_s312         FRESH69   frame=1848     O 
1E5Rw89keTg_s312         FRESH69   frame=1851     O 
1E5Rw89keTg_s312         FRESH69   frame=1854     O 
1E5Rw89keTg_s312         FRESH69   frame=1857     O 
1E5Rw89keTg_s312         FRESH69   frame=1860     O 
1E5Rw89keTg_s312         FRESH69   frame=1863     O 
1E5Rw89keTg_s312         FRESH69   frame=1866     O 
1E5Rw89keTg_s312         FRESH69   frame=1869     O 
1E5Rw89keTg_s312         FRESH69   frame=1872     O 
1E5Rw89keTg_s312         FRESH69   frame=1875     O 
1E5Rw89keTg_s312         FRESH69   frame=1878     O 
1E5Rw89keTg_s312         FRESH69   frame=1881     O 
1E5Rw89keTg_s312         FRESH69   frame=1884     O 
1E5Rw89keTg_s312         FRESH69   frame=1887     O 
1E5Rw89keTg_s312         FRESH69   frame=1890     O 
1E5Rw89keTg_s312         FRESH69   frame=1893     O 
1E5Rw89keTg_s312         FRESH69   frame=1896     O 
1E5Rw89keTg_s312         FRESH69   frame=1899     O 
1E5Rw89keTg_s312         FRESH69   frame=1902     O 
1E5Rw89keTg_s312         FRESH69   frame=1905     O 
1E5Rw89keTg_s312         FRESH69   frame=1908     O 
1E5Rw89keTg_s312         FRESH69   frame=1911     O 
1E5Rw89keTg_s312         FRESH69   frame=1914     O 
1E5Rw89keTg_s312         FRESH69   frame=1917     O 
