G376 strip 4 of 10 -- declared ticks 40647..40726 of 135497
O observed  D scheduled_no_detection (evaluated, no track row)  N not_scheduled (declaration over-counts)  U unknown

tDpmV777-IQ_s5262        SEALED34  frame=6        O 
tDpmV777-IQ_s5262        SEALED34  frame=12       O 
tDpmV777-IQ_s5262        SEALED34  frame=18       O 
tDpmV777-IQ_s5262        SEALED34  frame=24       O 
tDpmV777-IQ_s5262        SEALED34  frame=30       O 
tDpmV777-IQ_s5262        SEALED34  frame=36       O 
tDpmV777-IQ_s5262        SEALED34  frame=42       O 
tDpmV777-IQ_s5262        SEALED34  frame=48       O 
tDpmV777-IQ_s5262        SEALED34  frame=54       O 
tDpmV777-IQ_s5262        SEALED34  frame=60       O 
tDpmV777-IQ_s5262        SEALED34  frame=66       O 
tDpmV777-IQ_s5262        SEALED34  frame=72       O 
tDpmV777-IQ_s5262        SEALED34  frame=78       O 
tDpmV777-IQ_s5262        SEALED34  frame=84       O 
tDpmV777-IQ_s5262        SEALED34  frame=90       O 
tDpmV777-IQ_s5262        SEALED34  frame=96       O 
tDpmV777-IQ_s5262        SEALED34  frame=102      O 
tDpmV777-IQ_s5262        SEALED34  frame=108      O 
tDpmV777-IQ_s5262        SEALED34  frame=114      D 
tDpmV777-IQ_s5262        SEALED34  frame=120      O 
tDpmV777-IQ_s5262        SEALED34  frame=126      O 
tDpmV777-IQ_s5262        SEALED34  frame=132      O 
tDpmV777-IQ_s5262        SEALED34  frame=138      O 
tDpmV777-IQ_s5262        SEALED34  frame=144      O 
tDpmV777-IQ_s5262        SEALED34  frame=150      O 
tDpmV777-IQ_s5262        SEALED34  frame=156      O 
tDpmV777-IQ_s5262        SEALED34  frame=162      O 
tDpmV777-IQ_s5262        SEALED34  frame=168      O 
tDpmV777-IQ_s5262        SEALED34  frame=174      O 
tDpmV777-IQ_s5262        SEALED34  frame=180      O 
tDpmV777-IQ_s5262        SEALED34  frame=186      O 
tDpmV777-IQ_s5262        SEALED34  frame=192      O 
tDpmV777-IQ_s5262        SEALED34  frame=198      O 
tDpmV777-IQ_s5262        SEALED34  frame=204      O 
tDpmV777-IQ_s5262        SEALED34  frame=210      D 
tDpmV777-IQ_s5262        SEALED34  frame=216      D 
tDpmV777-IQ_s5262        SEALED34  frame=222      D 
tDpmV777-IQ_s5262        SEALED34  frame=228      D 
tDpmV777-IQ_s5262        SEALED34  frame=234      D 
tDpmV777-IQ_s5262        SEALED34  frame=240      D 
tDpmV777-IQ_s5262        SEALED34  frame=246      D 
tDpmV777-IQ_s5262        SEALED34  frame=252      D 
tDpmV777-IQ_s5262        SEALED34  frame=258      D 
tDpmV777-IQ_s5262        SEALED34  frame=264      D 
tDpmV777-IQ_s5262        SEALED34  frame=270      D 
tDpmV777-IQ_s5262        SEALED34  frame=276      D 
tDpmV777-IQ_s5262        SEALED34  frame=282      D 
tDpmV777-IQ_s5262        SEALED34  frame=288      D 
tDpmV777-IQ_s5262        SEALED34  frame=294      D 
tDpmV777-IQ_s5262        SEALED34  frame=300      D 
tDpmV777-IQ_s5262        SEALED34  frame=306      D 
tDpmV777-IQ_s5262        SEALED34  frame=312      D 
tDpmV777-IQ_s5262        SEALED34  frame=318      D 
tDpmV777-IQ_s5262        SEALED34  frame=324      D 
tDpmV777-IQ_s5262        SEALED34  frame=330      D 
tDpmV777-IQ_s5262        SEALED34  frame=336      D 
tDpmV777-IQ_s5262        SEALED34  frame=342      D 
tDpmV777-IQ_s5262        SEALED34  frame=348      D 
tDpmV777-IQ_s5262        SEALED34  frame=354      D 
tDpmV777-IQ_s5262        SEALED34  frame=360      D 
tDpmV777-IQ_s5262        SEALED34  frame=366      D 
tDpmV777-IQ_s5262        SEALED34  frame=372      D 
tDpmV777-IQ_s5262        SEALED34  frame=378      D 
tDpmV777-IQ_s5262        SEALED34  frame=384      D 
tDpmV777-IQ_s5262        SEALED34  frame=390      D 
tDpmV777-IQ_s5262        SEALED34  frame=396      D 
tDpmV777-IQ_s5262        SEALED34  frame=402      D 
tDpmV777-IQ_s5262        SEALED34  frame=408      D 
tDpmV777-IQ_s5262        SEALED34  frame=414      D 
tDpmV777-IQ_s5262        SEALED34  frame=420      D 
tDpmV777-IQ_s5262        SEALED34  frame=426      D 
tDpmV777-IQ_s5262        SEALED34  frame=432      D 
tDpmV777-IQ_s5262        SEALED34  frame=438      D 
tDpmV777-IQ_s5262        SEALED34  frame=444      D 
tDpmV777-IQ_s5262        SEALED34  frame=450      D 
tDpmV777-IQ_s5262        SEALED34  frame=456      D 
tDpmV777-IQ_s5262        SEALED34  frame=462      D 
tDpmV777-IQ_s5262        SEALED34  frame=468      D 
tDpmV777-IQ_s5262        SEALED34  frame=474      D 
tDpmV777-IQ_s5262        SEALED34  frame=480      D 
