G376 strip 2 of 10 -- declared ticks 13549..13628 of 135497
O observed  D scheduled_no_detection (evaluated, no track row)  N not_scheduled (declaration over-counts)  U unknown

acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3258     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3264     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3270     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3276     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3282     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3288     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3294     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3300     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3306     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3312     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3318     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3324     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3330     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3336     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3342     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3348     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3354     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3360     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3366     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3372     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3378     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3384     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3390     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3396     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3402     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3408     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3414     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3420     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3426     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3432     N BEYOND_ROUTE_CAP
acb-8Oh7-GrvKvE_s6440    SEALED34  frame=3438     N BEYOND_ROUTE_CAP
