frame,timestamp,ball_x2d,ball_y2d,detected,live,ball_inferred
573,19.119,25,1575,1,1,0
576,19.219,25,1575,1,1,0
579,19.319,24,1575,1,1,0
582,19.419,24,1575,1,1,0
585,19.52,24,1575,1,1,0
588,19.62,24,1575,1,1,0
591,19.72,24,1575,1,1,0
594,19.82,24,1575,1,1,0
597,19.92,23,1575,1,1,0
600,20.02,21,1576,1,1,0
603,20.12,19,1576,1,1,0
606,20.22,16,1576,1,1,0
609,20.32,14,1574,1,1,0
612,20.42,14,1574,1,1,0
615,20.521,11,1577,1,1,0
618,20.621,9,1576,1,1,0
621,20.721,11,1573,1,1,0
624,20.821,,,0,1,0
627,20.921,9,1569,1,1,0
630,21.021,6,1569,1,1,0
633,21.121,9,1568,1,1,0
636,21.221,6,1569,1,1,0
639,21.321,8,1569,1,1,0
642,21.421,10,1569,1,1,0
645,21.521,8,1572,1,1,0
648,21.622,11,1571,1,1,0
651,21.722,9,1572,1,1,0
654,21.822,10,1572,1,1,0
657,21.922,12,1572,1,1,0
660,22.022,10,1573,1,1,0
663,22.122,7,1573,1,1,0
666,22.222,5,1573,1,1,0
669,22.322,3,1572,1,1,0
672,22.422,1,1572,1,1,0
675,22.523,0,1572,1,1,0
678,22.623,7,1567,1,1,0
681,22.723,4,1567,1,1,0
684,22.823,2,1566,1,1,0
687,22.923,2,1553,1,1,0
690,23.023,3,1551,1,1,0
693,23.123,2,1551,1,1,0
696,23.223,0,1550,1,1,0
699,23.323,1,1552,1,1,0
702,23.423,1,1551,1,1,0
705,23.524,1,1551,1,1,0
708,23.624,0,1552,1,1,0
711,23.724,,,0,1,0
714,23.824,,,0,1,0
717,23.924,,,0,1,0
720,24.024,,,0,1,0
723,24.124,,,0,1,0
726,24.224,,,0,1,0
729,24.324,,,0,1,0
732,24.424,,,0,1,0
735,24.524,,,0,1,0
738,24.625,,,0,1,0
741,24.725,,,0,1,0
744,24.825,,,0,1,0
747,24.925,1,1584,1,1,0
750,25.025,,,0,1,0
753,25.125,,,0,1,0
756,25.225,,,0,1,0
759,25.325,,,0,1,0
762,25.425,,,0,1,0
765,25.526,,,0,1,0
768,25.626,0,1552,1,1,0
771,25.726,0,1550,1,1,0
774,25.826,0,1550,1,1,0
777,25.926,0,1560,1,1,0
780,26.026,1,1559,1,1,0
783,26.126,2,1558,1,1,0
786,26.226,3,1558,1,1,0
789,26.326,4,1558,1,1,0
792,26.426,4,1558,1,1,0
795,26.527,5,1559,1,1,0
798,26.627,5,1558,1,1,0
801,26.727,3,1558,1,1,0
804,26.827,2,1559,1,1,0
807,26.927,1,1560,1,1,0
810,27.027,1,1560,1,1,0
813,27.127,2,1560,1,1,0
816,27.227,2,1560,1,1,0
819,27.327,2,1561,1,1,0
822,27.427,3,1559,1,1,0
825,27.527,4,1558,1,1,0
828,27.628,6,1559,1,1,0
831,27.728,4,1558,1,1,0
834,27.828,5,1556,1,1,0
837,27.928,5,1556,1,1,0
840,28.028,5,1556,1,1,0
843,28.128,6,1556,1,1,0
846,28.228,7,1556,1,1,0
849,28.328,8,1556,1,1,0
852,28.428,9,1556,1,1,0
855,28.529,9,1556,1,1,0
858,28.629,9,1556,1,1,0
861,28.729,8,1557,1,1,0
864,28.829,7,1557,1,1,0
867,28.929,7,1556,1,1,0
870,29.029,7,1556,1,1,0
873,29.129,8,1556,1,1,0
876,29.229,8,1556,1,1,0
879,29.329,7,1557,1,1,0
882,29.429,7,1558,1,1,0
885,29.53,7,1558,1,1,0
888,29.63,7,1558,1,1,0
891,29.73,7,1558,1,1,0
894,29.83,7,1558,1,1,0
897,29.93,6,1559,1,1,0
900,30.03,6,1559,1,1,0
903,30.13,5,1560,1,1,0
906,30.23,4,1562,1,1,0
909,30.33,2,1561,1,1,0
912,30.43,1,1561,1,1,0
915,30.53,0,1561,1,1,0
918,30.631,0,1561,1,1,0
921,30.731,0,1562,1,1,0
924,30.831,,,0,1,0
927,30.931,,,0,1,0
930,31.031,,,0,1,0
933,31.131,,,0,1,0
936,31.231,,,0,1,0
939,31.331,,,0,1,0
942,31.431,,,0,1,0
945,31.532,,,0,1,0
948,31.632,,,0,1,0
951,31.732,,,0,1,0
954,31.832,,,0,1,0
957,31.932,,,0,1,0
960,32.032,,,0,1,0
963,32.132,,,0,1,0
966,32.232,,,0,1,0
969,32.332,,,0,1,0
972,32.432,,,0,1,0
975,32.532,,,0,1,0
978,32.633,,,0,1,0
981,32.733,20,1539,1,1,0
984,32.833,21,1537,1,1,0
987,32.933,21,1537,1,1,0
990,33.033,,,0,1,0
993,33.133,,,0,1,0
996,33.233,,,0,1,0
999,33.333,,,0,1,0
1002,33.433,,,0,1,0
1005,33.534,,,0,1,0
1008,33.634,,,0,1,0
1011,33.734,7,1542,1,1,0
1014,33.834,,,0,1,0
1017,33.934,,,0,1,0
1020,34.034,,,0,1,0
1023,34.134,0,1573,1,1,0
1026,34.234,0,1573,1,1,0
1029,34.334,0,1573,1,1,0
1032,34.434,0,1572,1,1,0
1035,34.535,0,1572,1,1,0
1038,34.635,0,1572,1,1,0
1041,34.735,0,1572,1,1,0
1044,34.835,0,1572,1,1,0
1047,34.935,0,1571,1,1,0
1050,35.035,0,1571,1,1,0
1053,35.135,0,1571,1,1,0
1056,35.235,0,1570,1,1,0
1059,35.335,0,1570,1,1,0
1062,35.435,16,1539,1,1,0
1065,35.535,16,1539,1,1,0
1068,35.636,15,1542,1,1,0
1071,35.736,16,1542,1,1,0
1074,35.836,18,1540,1,1,0
1077,35.936,18,1539,1,1,0
1080,36.036,19,1539,1,1,0
1083,36.136,23,1542,1,1,0
1086,36.236,,,0,1,0
1089,36.336,,,0,1,0
1092,36.436,,,0,1,0
1095,36.537,,,0,1,0
1098,36.637,,,0,1,0
1101,36.737,,,0,1,0
1104,36.837,,,0,1,0
1107,36.937,,,0,1,0
1110,37.037,,,0,1,0
1113,37.137,,,0,1,0
1116,37.237,,,0,1,0
1119,37.337,,,0,1,0
1122,37.437,,,0,1,0
1125,37.538,,,0,1,0
1128,37.638,,,0,1,0
1131,37.738,,,0,1,0
1134,37.838,,,0,1,0
1137,37.938,,,0,1,0
1140,38.038,,,0,1,0
1143,38.138,,,0,1,0
1146,38.238,,,0,1,0
1149,38.338,,,0,1,0
1152,38.438,,,0,1,0
1155,38.538,,,0,1,0
1158,38.639,,,0,1,0
1161,38.739,,,0,1,0
1164,38.839,,,0,1,0
1167,38.939,,,0,1,0
1170,39.039,,,0,1,0
1173,39.139,,,0,1,0
1176,39.239,,,0,1,0
1179,39.339,,,0,1,0
1182,39.439,,,0,1,0
1185,39.54,,,0,1,0
1188,39.64,,,0,1,0
1191,39.74,,,0,1,0
1194,39.84,,,0,1,0
1197,39.94,,,0,1,0
1200,40.04,,,0,1,0
1203,40.14,,,0,1,0
1206,40.24,,,0,1,0
1209,40.34,,,0,1,0
1212,40.44,,,0,1,0
1215,40.541,,,0,1,0
1218,40.641,,,0,1,0
1221,40.741,,,0,1,0
1224,40.841,,,0,1,0
1227,40.941,,,0,1,0
1230,41.041,,,0,1,0
1233,41.141,,,0,1,0
1236,41.241,,,0,1,0
1239,41.341,,,0,1,0
1242,41.441,,,0,1,0
1245,41.541,,,0,1,0
1248,41.642,,,0,1,0
1251,41.742,,,0,1,0
1254,41.842,,,0,1,0
1257,41.942,,,0,1,0
1260,42.042,,,0,1,0
1263,42.142,,,0,1,0
1266,42.242,,,0,1,0
1269,42.342,,,0,1,0
1272,42.442,,,0,1,0
1275,42.543,,,0,1,0
1278,42.643,,,0,1,0
1281,42.743,,,0,1,0
1284,42.843,,,0,1,0
1287,42.943,61,1496,1,1,0
1290,43.043,62,1495,1,1,0
1293,43.143,63,1495,1,1,0
1296,43.243,69,1493,1,1,0
1299,43.343,72,1490,1,1,0
1302,43.443,76,1488,1,1,0
1305,43.544,80,1486,1,1,0
1308,43.644,,,0,1,0
1311,43.744,,,0,1,0
1314,43.844,,,0,1,0
1317,43.944,26,1506,1,1,0
1320,44.044,30,1503,1,1,0
1323,44.144,30,1502,1,1,0
1326,44.244,30,1502,1,1,0
1329,44.344,30,1502,1,1,0
1332,44.444,11,1522,1,1,0
1335,44.544,9,1522,1,1,0
1338,44.645,6,1525,1,1,0
1341,44.745,10,1521,1,1,0
1344,44.845,10,1521,1,1,0
1347,44.945,9,1521,1,1,0
1350,45.045,,,0,1,0
1353,45.145,30,1506,1,1,0
1356,45.245,30,1505,1,1,0
1359,45.345,21,1515,1,1,0
1362,45.445,19,1515,1,1,0
1365,45.546,17,1517,1,1,0
1368,45.646,14,1519,1,1,0
1371,45.746,11,1522,1,1,0
1374,45.846,8,1524,1,1,0
1377,45.946,5,1526,1,1,0
1380,46.046,3,1529,1,1,0
1383,46.146,0,1531,1,1,0
1386,46.246,,,0,1,0
1389,46.346,,,0,1,0
1392,46.446,,,0,1,0
1395,46.547,,,0,1,0
1398,46.647,,,0,1,0
1401,46.747,22,1512,1,1,0
1404,46.847,,,0,1,0
1407,46.947,,,0,1,0
1410,47.047,,,0,1,0
1413,47.147,,,0,1,0
1416,47.247,,,0,1,0
1419,47.347,,,0,1,0
1422,47.447,,,0,1,0
1425,47.547,,,0,1,0
1428,47.648,,,0,1,0
1431,47.748,,,0,1,0
1434,47.848,,,0,1,0
1437,47.948,,,0,1,0
1440,48.048,,,0,1,0
1443,48.148,,,0,1,0
1446,48.248,,,0,1,0
1449,48.348,,,0,1,0
1452,48.448,,,0,1,0
1455,48.549,,,0,1,0
1458,48.649,,,0,1,0
1461,48.749,,,0,1,0
1464,48.849,,,0,1,0
1467,48.949,,,0,1,0
1470,49.049,,,0,1,0
1473,49.149,,,0,1,0
1476,49.249,,,0,1,0
1479,49.349,,,0,1,0
1482,49.449,,,0,1,0
1485,49.55,,,0,1,0
1488,49.65,,,0,1,0
1491,49.75,,,0,1,0
1494,49.85,25,1510,1,1,0
1497,49.95,,,0,1,0
1500,50.05,,,0,1,0
1503,50.15,,,0,1,0
1506,50.25,,,0,1,0
1509,50.35,,,0,1,0
1512,50.45,,,0,1,0
1515,50.55,,,0,1,0
1518,50.651,,,0,1,0
1521,50.751,,,0,1,0
1524,50.851,,,0,1,0
1527,50.951,,,0,1,0
1530,51.051,,,0,1,0
1533,51.151,,,0,1,0
1536,51.251,,,0,1,0
1539,51.351,,,0,1,0
1542,51.451,,,0,1,0
1545,51.552,,,0,1,0
1548,51.652,,,0,1,0
1551,51.752,,,0,1,0
1554,51.852,,,0,1,0
1557,51.952,,,0,1,0
1560,52.052,,,0,1,0
1563,52.152,,,0,1,0
1566,52.252,,,0,1,0
1569,52.352,,,0,1,0
1572,52.452,,,0,1,0
1575,52.553,,,0,1,0
1578,52.653,,,0,1,0
1581,52.753,,,0,1,0
1584,52.853,,,0,1,0
1587,52.953,,,0,1,0
1590,53.053,,,0,1,0
1593,53.153,,,0,1,0
1596,53.253,,,0,1,0
1599,53.353,,,0,1,0
1602,53.453,,,0,1,0
1605,53.553,,,0,1,0
1608,53.654,,,0,1,0
1611,53.754,,,0,1,0
1614,53.854,,,0,1,0
1617,53.954,,,0,1,0
1620,54.054,,,0,1,0
1623,54.154,,,0,1,0
1626,54.254,,,0,1,0
1629,54.354,,,0,1,0
1632,54.454,,,0,1,0
1635,54.555,,,0,1,0
1638,54.655,,,0,1,0
1641,54.755,,,0,1,0
1644,54.855,,,0,1,0
1647,54.955,,,0,1,0
1650,55.055,,,0,1,0
1653,55.155,,,0,1,0
1656,55.255,,,0,1,0
1659,55.355,,,0,1,0
1662,55.455,,,0,1,0
1665,55.556,,,0,1,0
1668,55.656,,,0,1,0
1671,55.756,,,0,1,0
1674,55.856,,,0,1,0
1677,55.956,,,0,1,0
1680,56.056,,,0,1,0
1683,56.156,,,0,1,0
1686,56.256,,,0,1,0
1689,56.356,,,0,1,0
1692,56.456,,,0,1,0
1695,56.556,,,0,1,0
1698,56.657,,,0,1,0
1701,56.757,,,0,1,0
1704,56.857,,,0,1,0
1707,56.957,,,0,1,0
1710,57.057,,,0,1,0
1713,57.157,,,0,1,0
1716,57.257,,,0,1,0
1719,57.357,,,0,1,0
1722,57.457,,,0,1,0
1725,57.558,,,0,1,0
1728,57.658,,,0,1,0
1731,57.758,,,0,1,0
1734,57.858,,,0,1,0
1737,57.958,,,0,1,0
1740,58.058,,,0,1,0
1743,58.158,,,0,1,0
1746,58.258,,,0,1,0
1749,58.358,,,0,1,0
1752,58.458,,,0,1,0
1755,58.559,,,0,1,0
1758,58.659,,,0,1,0
1761,58.759,,,0,1,0
1764,58.859,,,0,1,0
1767,58.959,,,0,1,0
1770,59.059,,,0,1,0
1773,59.159,,,0,1,0
1776,59.259,,,0,1,0
1779,59.359,,,0,1,0
1782,59.459,,,0,1,0
1785,59.559,,,0,1,0
1788,59.66,,,0,1,0
1791,59.76,,,0,1,0
1794,59.86,,,0,1,0
1797,59.96,292,1628,1,1,0
1800,60.06,305,1639,1,1,0
1803,60.16,305,1638,1,1,0
1806,60.26,293,1627,1,1,0
1809,60.36,305,1637,1,1,0
1812,60.46,301,1639,1,1,0
1815,60.56,290,1628,1,1,0
1818,60.661,294,1626,1,1,0
1821,60.761,291,1619,1,1,0
1824,60.861,307,1626,1,1,0
1827,60.961,303,1619,1,1,0
1830,61.061,289,1611,1,1,0
1833,61.161,300,1620,1,1,0
1836,61.261,318,1630,1,1,0
1839,61.361,324,1638,1,1,0
1842,61.461,324,1638,1,1,0
1845,61.562,314,1635,1,1,0
1848,61.662,303,1625,1,1,0
1851,61.762,297,1622,1,1,0
1854,61.862,282,1610,1,1,0
1857,61.962,293,1618,1,1,0
1860,62.062,305,1628,1,1,0
1863,62.162,303,1627,1,1,0
1866,62.262,307,1626,1,1,0
1869,62.362,319,1629,1,1,0
1872,62.462,312,1621,1,1,0
1875,62.562,327,1629,1,1,0
1878,62.663,17,1274,1,1,0
1881,62.763,610,30,1,1,0
1884,62.863,610,27,1,1,0
1887,62.963,611,28,1,1,0
1890,63.063,601,18,1,1,0
1893,63.163,607,29,1,1,0
1896,63.263,607,30,1,1,0
1899,63.363,606,38,1,1,0
1902,63.463,600,26,1,1,0
1905,63.563,603,30,1,1,0
1908,63.664,605,31,1,1,0
1911,63.764,609,32,1,1,0
1914,63.864,604,28,1,1,0
1917,63.964,609,29,1,1,0
1920,64.064,609,21,1,1,0
1923,64.164,611,11,1,1,0
1926,64.264,613,8,1,1,0
1929,64.364,616,3,1,1,0
1932,64.464,616,0,1,1,0
1935,64.564,782,322,1,1,0
1938,64.665,785,313,1,1,0
1941,64.765,787,305,1,1,0
1944,64.865,762,350,1,1,0
1947,64.965,508,453,1,1,0
1950,65.065,,,0,1,0
1953,65.165,,,0,1,0
1956,65.265,750,363,1,1,0
1959,65.365,306,426,1,1,0
1962,65.465,286,424,1,1,0
1965,65.566,266,421,1,1,0
1968,65.666,246,419,1,1,0
1971,65.766,225,417,1,1,0
1974,65.866,205,443,1,1,0
1977,65.966,555,407,1,1,1
1980,66.066,322,418,1,1,0
1983,66.166,130,351,1,1,1
1986,66.266,,,0,1,0
1989,66.366,,,0,1,0
1992,66.466,,,0,1,0
1995,66.567,,,0,1,0
1998,66.667,,,0,1,0
2001,66.767,,,0,1,0
2004,66.867,304,432,1,1,0
2007,66.967,405,384,1,1,1
2010,67.067,,,0,1,0
2013,67.167,,,0,1,0
2016,67.267,205,443,1,1,0
2019,67.367,460,389,1,1,1
2022,67.467,,,0,1,0
2025,67.567,,,0,1,0
2028,67.668,27,402,1,1,0
2031,67.768,20,356,1,1,1
2034,67.868,619,289,1,1,0
2037,67.968,617,286,1,1,0
2040,68.068,611,283,1,1,0
2043,68.168,598,271,1,1,0
2046,68.268,689,380,1,1,1
2049,68.368,,,0,1,0
2052,68.468,,,0,1,0
2055,68.569,84,427,1,1,0
2058,68.669,36,369,1,1,1
2061,68.769,148,144,1,1,0
2064,68.869,78,412,1,1,1
2067,68.969,,,0,1,0
2070,69.069,,,0,1,0
2073,69.169,260,420,1,1,0
2076,69.269,261,420,1,1,1
2079,69.369,,,0,1,0
2082,69.469,,,0,1,0
2085,69.57,,,0,1,0
2088,69.67,,,0,1,0
2091,69.77,703,291,1,1,0
2094,69.87,576,367,1,1,1
2097,69.97,115,415,1,1,0
2100,70.07,104,359,1,1,1
2103,70.17,507,343,1,1,0
2106,70.27,507,343,1,1,0
2109,70.37,507,343,1,1,0
