game,player_snapshot_date,team_snapshot_date,league_mean_field,filled_fast_sim_fields,transform
401810022,2025-11-04,2025-11-03,ft_rate_q50,"ast_per_min,blk_per_min,dreb_per_min,fg3_pct,fg_mid,fg_paint,fg_rim,ft_pct,ft_share,height,int_d,oreb_per_min,perim_d,pf_per_min,self_create,stl_per_min,supp,tov_share,use_per_min,z_3,z_mid,z_paint,z_rim",date_mean_ft_rate_q50_scaled_baseline
401810022,2025-11-04,2025-11-03,ft_rate_q50,"ast_per_min,blk_per_min,dreb_per_min,fg3_pct,fg_mid,fg_paint,fg_rim,ft_pct,ft_share,height,int_d,oreb_per_min,perim_d,pf_per_min,self_create,stl_per_min,supp,tov_share,use_per_min,z_3,z_mid,z_paint,z_rim",date_mean_ft_rate_q50_scaled_baseline
401810022,2025-11-04,2025-11-03,ft_rate_q50,"ast_per_min,blk_per_min,dreb_per_min,fg3_pct,fg_mid,fg_paint,fg_rim,ft_pct,ft_share,height,int_d,oreb_per_min,perim_d,pf_per_min,self_create,stl_per_min,supp,tov_share,use_per_min,z_3,z_mid,z_paint,z_rim",date_mean_ft_rate_q50_scaled_baseline
401810022,2025-11-04,2025-11-03,ft_rate_q50,"ast_per_min,blk_per_min,dreb_per_min,fg3_pct,fg_mid,fg_paint,fg_rim,ft_pct,ft_share,height,int_d,oreb_per_min,perim_d,pf_per_min,self_create,stl_per_min,supp,tov_share,use_per_min,z_3,z_mid,z_paint,z_rim",date_mean_ft_rate_q50_scaled_baseline
401810022,2025-11-04,2025-11-03,ft_rate_q50,"ast_per_min,blk_per_min,dreb_per_min,fg3_pct,fg_mid,fg_paint,fg_rim,ft_pct,ft_share,height,int_d,oreb_per_min,perim_d,pf_per_min,self_create,stl_per_min,supp,tov_share,use_per_min,z_3,z_mid,z_paint,z_rim",date_mean_ft_rate_q50_scaled_baseline
401810022,2025-11-04,2025-11-03,ft_rate_q50,"ast_per_min,blk_per_min,dreb_per_min,fg3_pct,fg_mid,fg_paint,fg_rim,ft_pct,ft_share,height,int_d,oreb_per_min,perim_d,pf_per_min,self_create,stl_per_min,supp,tov_share,use_per_min,z_3,z_mid,z_paint,z_rim",date_mean_ft_rate_q50_scaled_baseline
401810042,2025-11-08,2025-11-08,ft_rate_q50,"ast_per_min,blk_per_min,dreb_per_min,fg3_pct,fg_mid,fg_paint,fg_rim,ft_pct,ft_share,height,int_d,oreb_per_min,perim_d,pf_per_min,self_create,stl_per_min,supp,tov_share,use_per_min,z_3,z_mid,z_paint,z_rim",date_mean_ft_rate_q50_scaled_baseline
401810042,2025-11-08,2025-11-08,ft_rate_q50,"ast_per_min,blk_per_min,dreb_per_min,fg3_pct,fg_mid,fg_paint,fg_rim,ft_pct,ft_share,height,int_d,oreb_per_min,perim_d,pf_per_min,self_create,stl_per_min,supp,tov_share,use_per_min,z_3,z_mid,z_paint,z_rim",date_mean_ft_rate_q50_scaled_baseline
401810042,2025-11-08,2025-11-08,ft_rate_q50,"ast_per_min,blk_per_min,dreb_per_min,fg3_pct,fg_mid,fg_paint,fg_rim,ft_pct,ft_share,height,int_d,oreb_per_min,perim_d,pf_per_min,self_create,stl_per_min,supp,tov_share,use_per_min,z_3,z_mid,z_paint,z_rim",date_mean_ft_rate_q50_scaled_baseline
401810042,2025-11-08,2025-11-08,ft_rate_q50,"ast_per_min,blk_per_min,dreb_per_min,fg3_pct,fg_mid,fg_paint,fg_rim,ft_pct,ft_share,height,int_d,oreb_per_min,perim_d,pf_per_min,self_create,stl_per_min,supp,tov_share,use_per_min,z_3,z_mid,z_paint,z_rim",date_mean_ft_rate_q50_scaled_baseline
401810042,2025-11-08,2025-11-08,ft_rate_q50,"ast_per_min,blk_per_min,dreb_per_min,fg3_pct,fg_mid,fg_paint,fg_rim,ft_pct,ft_share,height,int_d,oreb_per_min,perim_d,pf_per_min,self_create,stl_per_min,supp,tov_share,use_per_min,z_3,z_mid,z_paint,z_rim",date_mean_ft_rate_q50_scaled_baseline
401810042,2025-11-08,2025-11-08,ft_rate_q50,"ast_per_min,blk_per_min,dreb_per_min,fg3_pct,fg_mid,fg_paint,fg_rim,ft_pct,ft_share,height,int_d,oreb_per_min,perim_d,pf_per_min,self_create,stl_per_min,supp,tov_share,use_per_min,z_3,z_mid,z_paint,z_rim",date_mean_ft_rate_q50_scaled_baseline
