attempt_id,ytid,offset,pool,source_path,status,seconds
a01,-n4iviRLtsU,90,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s90.mp4,CAPTURED,2.83
a02,-n4iviRLtsU,2704,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s2704.mp4,CAPTURED,2.52
a03,-n4iviRLtsU,4011,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s4011.mp4,CAPTURED,2.75
a04,3MBv6PIsCBg,1293,live_corpus,/workspace/data/footage_corpus/nba__3MBv6PIsCBg_s1293.mp4,CAPTURED,2.96
a05,3MBv6PIsCBg,3699,live_corpus,/workspace/data/footage_corpus/nba__3MBv6PIsCBg_s3699.mp4,CAPTURED,2.19
a06,9sq-YMlIo9Q,2346,retained_g364_val,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,CAPTURED,2.33
a07,A0aHQ2A38IY,90,live_corpus,/workspace/data/footage_corpus/wnba__A0aHQ2A38IY_s90.mp4,CAPTURED,1.88
a08,A0aHQ2A38IY,2860,live_corpus,/workspace/data/footage_corpus/wnba__A0aHQ2A38IY_s2860.mp4,CAPTURED,2.18
a09,IeaneIKx1Ig,90,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s90.mp4,CAPTURED,2.02
a10,IeaneIKx1Ig,4464,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s4464.mp4,CAPTURED,2.07
a11,IeaneIKx1Ig,6651,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s6651.mp4,CAPTURED,2.02
a12,IeaneIKx1Ig,11025,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s11025.mp4,CAPTURED,2.25
a13,RIrGQJ_jsGQ,1410,retained_g364_val,/workspace/g364_scratch/val/RIrGQJ_jsGQ_s1410.mp4,CAPTURED,2.03
a14,RtiZgPwcwNA,2720,retained_g380_sources,/workspace/g380_scratch/sources/ncaa_basketball__RtiZgPwcwNA_s2720.mp4,CAPTURED,2.25
a15,UCVSlzgun0o,2298,retained_g364_val,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,CAPTURED,2.12
a16,UzaYBYy3GZg,1378,retained_g364_val,/workspace/g364_scratch/val/UzaYBYy3GZg_s1378.mp4,CAPTURED,1.93
a17,Vm0FqeGo-8g,1317,retained_g364_val,/workspace/g364_scratch/val/Vm0FqeGo-8g_s1317.mp4,CAPTURED,2.32
a18,X5w3V6rh26s,90,retained_g364_val,/workspace/g364_scratch/val/X5w3V6rh26s_s90.mp4,CAPTURED,2.0
a19,Y1cgaIWW8gk,1437,retained_g364_val,/workspace/g364_scratch/val/Y1cgaIWW8gk_s1437.mp4,CAPTURED,2.31
a20,_fl2i6vToTM,90,retained_g364_val,/workspace/g364_scratch/val/_fl2i6vToTM_s90.mp4,CAPTURED,2.85
a21,_fl2i6vToTM,2496,retained_g364_val,/workspace/g364_scratch/val/_fl2i6vToTM_s2496.mp4,CAPTURED,2.17
a22,d3_0714DiHo,217,retained_g364_val,/workspace/g364_scratch/val/d3_0714DiHo_s217.mp4,CAPTURED,2.26
a23,i2y-_7B0IUg,90,retained_g364_val,/workspace/g364_scratch/val/i2y-_7B0IUg_s90.mp4,CAPTURED,2.16
a24,iDogCL8td5Q,2282,retained_g380_sources,/workspace/g380_scratch/sources/ncaa_basketball__iDogCL8td5Q_s2282.mp4,CAPTURED,2.39
a25,iwbowtaIIz8,90,retained_g364_val,/workspace/g364_scratch/val/iwbowtaIIz8_s90.mp4,CAPTURED,2.32
a26,qrWmO434a0k,1447,retained_g364_val,/workspace/g364_scratch/val/qrWmO434a0k_s1447.mp4,CAPTURED,2.05
a27,tFnl0NVn6FA,90,retained_g364_val,/workspace/g364_scratch/val/tFnl0NVn6FA_s90.mp4,CAPTURED,2.8
a28,tZeqmc_-_sA,1332,retained_g364_val,/workspace/g364_scratch/val/tZeqmc_-_sA_s1332.mp4,CAPTURED,2.11
a29,tZeqmc_-_sA,2574,retained_g364_val,/workspace/g364_scratch/val/tZeqmc_-_sA_s2574.mp4,CAPTURED,2.1
a30,wHs1OssEcAw,2276,retained_g364_val,/workspace/g364_scratch/val/wHs1OssEcAw_s2276.mp4,CAPTURED,2.6
