elapsed_min,attempt_id,pool,source_path,original_present,source_bytes
15,a10,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s4464.mp4,1,79162595
15,a11,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s6651.mp4,1,87853287
15,a12,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s11025.mp4,1,82139114
15,a13,retained_g364_val,/workspace/g364_scratch/val/RIrGQJ_jsGQ_s1410.mp4,1,61150234
15,a14,retained_g380_sources,/workspace/g380_scratch/sources/ncaa_basketball__RtiZgPwcwNA_s2720.mp4,0,0
15,a15,retained_g364_val,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,1,68986280
15,a16,retained_g364_val,/workspace/g364_scratch/val/UzaYBYy3GZg_s1378.mp4,1,62843736
15,a17,retained_g364_val,/workspace/g364_scratch/val/Vm0FqeGo-8g_s1317.mp4,1,65439426
15,a18,retained_g364_val,/workspace/g364_scratch/val/X5w3V6rh26s_s90.mp4,1,71367114
15,a19,retained_g364_val,/workspace/g364_scratch/val/Y1cgaIWW8gk_s1437.mp4,1,73218045
15,a20,retained_g364_val,/workspace/g364_scratch/val/_fl2i6vToTM_s90.mp4,1,86508102
15,a21,retained_g364_val,/workspace/g364_scratch/val/_fl2i6vToTM_s2496.mp4,1,87504446
15,a22,retained_g364_val,/workspace/g364_scratch/val/d3_0714DiHo_s217.mp4,1,81000315
15,a23,retained_g364_val,/workspace/g364_scratch/val/i2y-_7B0IUg_s90.mp4,1,76518525
15,a24,retained_g380_sources,/workspace/g380_scratch/sources/ncaa_basketball__iDogCL8td5Q_s2282.mp4,1,85233486
15,a25,retained_g364_val,/workspace/g364_scratch/val/iwbowtaIIz8_s90.mp4,1,60983970
15,a26,retained_g364_val,/workspace/g364_scratch/val/qrWmO434a0k_s1447.mp4,1,72031233
15,a27,retained_g364_val,/workspace/g364_scratch/val/tFnl0NVn6FA_s90.mp4,1,65212592
15,a28,retained_g364_val,/workspace/g364_scratch/val/tZeqmc_-_sA_s1332.mp4,1,72183029
15,a29,retained_g364_val,/workspace/g364_scratch/val/tZeqmc_-_sA_s2574.mp4,1,75846958
15,a30,retained_g364_val,/workspace/g364_scratch/val/wHs1OssEcAw_s2276.mp4,1,100578787
15,live_observed,live_corpus,/workspace/data/footage_corpus/nba__3MBv6PIsCBg_s1293.mp4,1,95626450
15,live_observed,live_corpus,/workspace/data/footage_corpus/nba__3MBv6PIsCBg_s2496.mp4,1,100195037
15,live_observed,live_corpus,/workspace/data/footage_corpus/nba__3MBv6PIsCBg_s3699.mp4,1,79356189
15,live_observed,live_corpus,/workspace/data/footage_corpus/nba__3MBv6PIsCBg_s90.mp4,1,89071223
15,live_observed,live_corpus,/workspace/data/footage_corpus/nba__4Pc01w1n9Mg_s1296.mp4,1,67603884
15,live_observed,live_corpus,/workspace/data/footage_corpus/nba__4Pc01w1n9Mg_s2502.mp4,1,53729083
15,live_observed,live_corpus,/workspace/data/footage_corpus/nba__4Pc01w1n9Mg_s3708.mp4,1,69066821
15,live_observed,live_corpus,/workspace/data/footage_corpus/nba__4Pc01w1n9Mg_s4914.mp4,1,70018806
15,live_observed,live_corpus,/workspace/data/footage_corpus/nba__4Pc01w1n9Mg_s90.mp4,1,69346745
15,live_observed,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s11025.mp4,1,82139114
15,live_observed,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s2277.mp4,1,74025294
15,live_observed,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s4464.mp4,1,79162595
15,live_observed,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s6651.mp4,1,87853287
15,live_observed,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s8838.mp4,1,79466132
15,live_observed,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s90.mp4,1,81165805
15,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s1397.mp4,1,92539434
15,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s2704.mp4,1,94112289
15,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s4011.mp4,1,97966113
15,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s90.mp4,1,95236044
15,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__dDs075Jm4Qc_s1423.mp4,1,94169221
15,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__dDs075Jm4Qc_s2756.mp4,1,95394299
15,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__dDs075Jm4Qc_s4089.mp4,1,93838581
15,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__dDs075Jm4Qc_s90.mp4,1,93793403
15,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__rK5hXxSORdA_s1392.mp4,1,96166755
15,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__rK5hXxSORdA_s2694.mp4,1,94736997
15,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__rK5hXxSORdA_s3996.mp4,1,95358201
15,live_observed,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__rK5hXxSORdA_s90.mp4,1,96910428
15,live_observed,live_corpus,/workspace/data/footage_corpus/wnba__A0aHQ2A38IY_s1475.mp4,1,52696637
15,live_observed,live_corpus,/workspace/data/footage_corpus/wnba__A0aHQ2A38IY_s2860.mp4,1,68429941
15,live_observed,live_corpus,/workspace/data/footage_corpus/wnba__A0aHQ2A38IY_s4245.mp4,1,53206932
15,live_observed,live_corpus,/workspace/data/footage_corpus/wnba__A0aHQ2A38IY_s90.mp4,1,68061448
30,a01,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s90.mp4,1,95236044
30,a02,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s2704.mp4,1,94112289
30,a03,live_corpus,/workspace/data/footage_corpus/ncaa_basketball__-n4iviRLtsU_s4011.mp4,1,97966113
30,a04,live_corpus,/workspace/data/footage_corpus/nba__3MBv6PIsCBg_s1293.mp4,1,95626450
30,a05,live_corpus,/workspace/data/footage_corpus/nba__3MBv6PIsCBg_s3699.mp4,1,79356189
30,a06,retained_g364_val,/workspace/g364_scratch/val/9sq-YMlIo9Q_s2346.mp4,1,64995066
30,a07,live_corpus,/workspace/data/footage_corpus/wnba__A0aHQ2A38IY_s90.mp4,0,0
30,a08,live_corpus,/workspace/data/footage_corpus/wnba__A0aHQ2A38IY_s2860.mp4,0,0
30,a09,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s90.mp4,1,81165805
30,a10,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s4464.mp4,1,79162595
30,a11,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s6651.mp4,1,87853287
30,a12,live_corpus,/workspace/data/footage_corpus/nba__IeaneIKx1Ig_s11025.mp4,1,82139114
30,a13,retained_g364_val,/workspace/g364_scratch/val/RIrGQJ_jsGQ_s1410.mp4,1,61150234
30,a14,retained_g380_sources,/workspace/g380_scratch/sources/ncaa_basketball__RtiZgPwcwNA_s2720.mp4,0,0
30,a15,retained_g364_val,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,1,68986280
30,a16,retained_g364_val,/workspace/g364_scratch/val/UzaYBYy3GZg_s1378.mp4,1,62843736
30,a17,retained_g364_val,/workspace/g364_scratch/val/Vm0FqeGo-8g_s1317.mp4,1,65439426
30,a18,retained_g364_val,/workspace/g364_scratch/val/X5w3V6rh26s_s90.mp4,1,71367114
30,a19,retained_g364_val,/workspace/g364_scratch/val/Y1cgaIWW8gk_s1437.mp4,1,73218045
30,a20,retained_g364_val,/workspace/g364_scratch/val/_fl2i6vToTM_s90.mp4,1,86508102
30,a21,retained_g364_val,/workspace/g364_scratch/val/_fl2i6vToTM_s2496.mp4,1,87504446
30,a22,retained_g364_val,/workspace/g364_scratch/val/d3_0714DiHo_s217.mp4,1,81000315
30,a23,retained_g364_val,/workspace/g364_scratch/val/i2y-_7B0IUg_s90.mp4,1,76518525
30,a24,retained_g380_sources,/workspace/g380_scratch/sources/ncaa_basketball__iDogCL8td5Q_s2282.mp4,1,85233486
30,a25,retained_g364_val,/workspace/g364_scratch/val/iwbowtaIIz8_s90.mp4,1,60983970
30,a26,retained_g364_val,/workspace/g364_scratch/val/qrWmO434a0k_s1447.mp4,1,72031233
30,a27,retained_g364_val,/workspace/g364_scratch/val/tFnl0NVn6FA_s90.mp4,1,65212592
30,a28,retained_g364_val,/workspace/g364_scratch/val/tZeqmc_-_sA_s1332.mp4,1,72183029
30,a29,retained_g364_val,/workspace/g364_scratch/val/tZeqmc_-_sA_s2574.mp4,1,75846958
30,a30,retained_g364_val,/workspace/g364_scratch/val/wHs1OssEcAw_s2276.mp4,1,100578787
30,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-mXTDT3_sQbk_s90.mp4,1,42323024
30,live_observed,live_corpus,/workspace/data/footage_corpus/basketball__euroleague-mXTDT3_sQbk_s9405.mp4,1,28232540
30,live_observed,live_corpus,/workspace/data/footage_corpus/nba__3MBv6PIsCBg_s1293.mp4,1,95626450
30,live_observed,live_corpus,/workspace/data/footage_corpus/nba__3MBv6PIsCBg_s2496.mp4,1,100195037
30,live_observed,live_corpus,/workspace/data/footage_corpus/nba__3MBv6PIsCBg_s3699.mp4,1,79356189
30,live_observed,live_corpus,/workspace/data/footage_corpus/nba__3MBv6PIsCBg_s90.mp4,1,89071223
