attempt_id,source_path,source_sha256,source_bytes,source_device,source_inode,ffprobe_stream_sha256,ledger_snapshot_line
a13,/workspace/g364_scratch/val/RIrGQJ_jsGQ_s1410.mp4,ee8f89ad65e8c1280aa68141918b3a39880da821b50d27883244c8e4064977d7,61150234,71,97316326,04c3e329eb4f03567906002302e964de1e6ef6e820ecf38fe5d8f49c5de4d454,track_daemon_ledger.jsonl@a285edb02b785892a03f2c270491a4de2ad0fa89940aa3370b76500f57f05c22
a14,/workspace/g380_scratch/sources/ncaa_basketball__RtiZgPwcwNA_s2720.mp4,0853a624062dc1cbb4a97947e1dc2843b54156d88860a2997bcf864cc6652a26,62835904,71,2917149,b4fe112c89bbc0cedc3f72a3cbd834ca34a20a5331ab3eb1051db92f57f9dcbe,track_daemon_ledger.jsonl@a285edb02b785892a03f2c270491a4de2ad0fa89940aa3370b76500f57f05c22
a15,/workspace/g364_scratch/val/UCVSlzgun0o_s2298.mp4,1c85f2c131f251b0f4113d0f5b4eec57b6e83903e0e3dddcb15252e3833e6631,68986280,71,68732602,a589b2c0e40318cdaa31a43b0852bafcc930c7f585bc7a9cedb63cc72367062c,track_daemon_ledger.jsonl@a285edb02b785892a03f2c270491a4de2ad0fa89940aa3370b76500f57f05c22
a16,/workspace/g364_scratch/val/UzaYBYy3GZg_s1378.mp4,c5fca9b20bda39bbdb2c55454bc502ba07699f13af51601e290c32397e87928a,62843736,71,5061223,ad0228e95214fa9775244af2edf6a5fca164d53eb4a98ba7caabf3f6ec873bd9,track_daemon_ledger.jsonl@a285edb02b785892a03f2c270491a4de2ad0fa89940aa3370b76500f57f05c22
a17,/workspace/g364_scratch/val/Vm0FqeGo-8g_s1317.mp4,71fe96c38e5f01972ddcb6db59f5dbf410a2cb02ba03daab0a2e0b64ec3e7e5a,65439426,71,68681334,1e6673403027bd0121fa4d7b18e973963d9d2abde4e1f72732e91f0aeb5060bd,track_daemon_ledger.jsonl@a285edb02b785892a03f2c270491a4de2ad0fa89940aa3370b76500f57f05c22
a18,/workspace/g364_scratch/val/X5w3V6rh26s_s90.mp4,781a0a74b4488c1c69c99b7b5c2c593cb11a8ea44442b6eb3a23a8e0bcb21c4a,71367114,71,47110828,96e63663b73b6ee3434eaeb6d479f02083bbb54496ec8005692ab1aa26b3fbf4,track_daemon_ledger.jsonl@a285edb02b785892a03f2c270491a4de2ad0fa89940aa3370b76500f57f05c22
a19,/workspace/g364_scratch/val/Y1cgaIWW8gk_s1437.mp4,7077f787eb256e82e4d8c0bba660ee40c32ba7926ba36a2f3af364987c6fd96a,73218045,71,94914629,d47b5a04ef716261952a4f89c7f0921bf209ba6ecc03610474b3de73c24a4606,track_daemon_ledger.jsonl@a285edb02b785892a03f2c270491a4de2ad0fa89940aa3370b76500f57f05c22
a20,/workspace/g364_scratch/val/_fl2i6vToTM_s90.mp4,4638270b60ddf67acf4b71638ad26de95c8fd71adfaf8bf79f291087fa0db345,86508102,71,95129476,b797b7ce1d86805e7937be51eed8bae39ee3bdbf1ad85b8bda5fb578d35926a8,track_daemon_ledger.jsonl@a285edb02b785892a03f2c270491a4de2ad0fa89940aa3370b76500f57f05c22
a21,/workspace/g364_scratch/val/_fl2i6vToTM_s2496.mp4,4e04a523599c4a8eb9bb45f97b59e29e4d1da3128a9bcf83da5ac41c4a0df9f7,87504446,71,74992053,c0b1efcd47200f3a7afa6910460e8d52786335e69517e7e78e2dff586d27808c,track_daemon_ledger.jsonl@a285edb02b785892a03f2c270491a4de2ad0fa89940aa3370b76500f57f05c22
a22,/workspace/g364_scratch/val/d3_0714DiHo_s217.mp4,299048a6420e357f97db0ebfe9db789562cd01bac1eea9fd72ff0a47577b5588,81000315,71,75530661,46bcfbed1fe8af5de6223cc0e195f1e61ac7077ff04e7b2393b5627a618c6d92,track_daemon_ledger.jsonl@a285edb02b785892a03f2c270491a4de2ad0fa89940aa3370b76500f57f05c22
a23,/workspace/g364_scratch/val/i2y-_7B0IUg_s90.mp4,cf0c723aa1593f7c30044653d75543ea653e118b89bbd5a213c7b77d14698cc3,76518525,71,95638714,81c0d71d7d9783645db6f4cbe72ec7c633fb35457f979db3dce29d8e691f1d81,track_daemon_ledger.jsonl@a285edb02b785892a03f2c270491a4de2ad0fa89940aa3370b76500f57f05c22
a24,/workspace/g380_scratch/sources/ncaa_basketball__iDogCL8td5Q_s2282.mp4,c254700c60ba9898c64be0abcfb8a29f608d046865b0e0c698e768c6dfa603f1,85233486,71,28304284,2ceecec8389ea27891340fa8d3bfb89332b2f4ab15d149264ea457361fdabee2,track_daemon_ledger.jsonl@a285edb02b785892a03f2c270491a4de2ad0fa89940aa3370b76500f57f05c22
a25,/workspace/g364_scratch/val/iwbowtaIIz8_s90.mp4,8c6d06adc9560e7314ddf5963a93dd8798b03775feb994dcc74f8783d47e807b,60983970,71,74336694,86c0281bfe6dea8d80ecd052bda05422d746d2bb91bf2e7ba10ff2dd77584b76,track_daemon_ledger.jsonl@a285edb02b785892a03f2c270491a4de2ad0fa89940aa3370b76500f57f05c22
a26,/workspace/g364_scratch/val/qrWmO434a0k_s1447.mp4,db5854c4f6dca5b82c1a3ca87fff42861fff4bb5093e651a54078c601864f513,72031233,71,96049153,c0a3cc1b7b48a0f57ed338483f398792b7d4bce54dc87a75d07e016fbcc17a20,track_daemon_ledger.jsonl@a285edb02b785892a03f2c270491a4de2ad0fa89940aa3370b76500f57f05c22
a27,/workspace/g364_scratch/val/tFnl0NVn6FA_s90.mp4,f7b6d933bc6f93b65843014bfc0a230c678f645b31cb8995d4616f86e1209e5b,65212592,71,96231588,b21d74a2593f13ce410b60b1db9b5c864ee57d9838b207315afad256ecf779d3,track_daemon_ledger.jsonl@a285edb02b785892a03f2c270491a4de2ad0fa89940aa3370b76500f57f05c22
a28,/workspace/g364_scratch/val/tZeqmc_-_sA_s1332.mp4,6ed357a28fae8afd9964cc61981220f335c247337ff9ba23e1d9406f33366710,72183029,71,96587657,d82df0dcee5bb56942f0c777498e6e98e5c5256b32f5c7c22d8dced7ba85662e,track_daemon_ledger.jsonl@a285edb02b785892a03f2c270491a4de2ad0fa89940aa3370b76500f57f05c22
a29,/workspace/g364_scratch/val/tZeqmc_-_sA_s2574.mp4,fa1af41f9feec5521f0115083f0ae6150d9679e320030b1b5cd332a5d801f90b,75846958,71,97178543,89f6dff35d2e75a6e9d1d122578d9cc25705cfa19de804481d815e116738257b,track_daemon_ledger.jsonl@a285edb02b785892a03f2c270491a4de2ad0fa89940aa3370b76500f57f05c22
a30,/workspace/g364_scratch/val/wHs1OssEcAw_s2276.mp4,af9bf71d5fa732f6c6e5cb1b0b056b35f2cd4f8498e3b7d9f55ffee47d1878ed,100578787,71,97675134,40b14812abf7eeb4a9004ba53bab98c79501320ab2f081e425919fc9b2856133,track_daemon_ledger.jsonl@a285edb02b785892a03f2c270491a4de2ad0fa89940aa3370b76500f57f05c22
